Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.73,12.94,12.64,12.68,6.343195,190500
2012-02-22,12.8,12.8,12.55,12.62,6.313178,90900
2012-02-23,12.7,12.7,12.5,12.6,6.303174,145100
2012-02-24,12.67,12.69,12.55,12.63,6.318181,100400
2012-02-27,12.63,12.72,12.6,12.67,6.338191,117200
2012-02-28,12.72,12.78,12.62,12.7,6.353198,84500
2012-02-29,12.7,12.96,12.7,12.9,6.453249,117200
2012-03-01,12.95,13.2,12.95,13.12,6.563303,92000
2012-03-02,13.21,13.28,13.11,13.18,6.593319,108000
2012-03-05,13.18,13.33,13.15,13.22,6.613328,115000
2012-03-06,13.15,13.15,12.62,12.77,6.388218,126500
2012-03-07,12.76,13.26,12.76,13.17,6.588315,61600
2012-03-08,13.42,13.5,13.24,13.3,6.653349,103300
2012-03-09,13.41,13.56,13.33,13.46,6.733388,65100
2012-03-12,13.5,13.7,13.47,13.59,6.798422,102300
2012-03-13,13.61,13.61,13.45,13.5,6.805482,17800
2012-03-14,13.57,13.57,13.35,13.39,6.750027,78200
2012-03-15,13.45,13.65,13.36,13.59,6.85085,52300
2012-03-16,13.65,13.67,13.45,13.59,6.85085,28700
2012-03-19,13.62,13.66,13.5,13.61,6.86093,87700
2012-03-20,13.6,13.6,13.37,13.53,6.820604,54200
2012-03-21,13.55,13.56,13.46,13.55,6.830685,40500
2012-03-22,13.49,13.49,13.25,13.35,6.729865,74600
2012-03-23,13.27,13.43,13.2,13.37,6.739946,45500
2012-03-26,13.37,13.81,13.37,13.76,6.936548,102400
2012-03-27,13.81,13.94,13.71,13.86,6.986959,55900
2012-03-28,13.9,13.94,13.74,13.86,6.986959,71200
2012-03-29,13.81,13.85,13.6,13.7,6.906301,73900
2012-03-30,13.74,13.87,13.7,13.84,6.976876,40200
2012-04-02,13.91,14.11,13.84,14.11,7.112988,169600
2012-04-03,14.11,14.15,14.03,14.14,7.128111,125700
2012-04-04,14.04,14.14,13.8,13.96,7.037372,145700
2012-04-05,13.97,14.1,13.95,13.96,7.037372,86200
2012-04-09,13.9,14.05,13.89,14.01,7.062576,102400
2012-04-10,14,14.07,13.85,13.92,7.017207,104900
2012-04-11,14.02,14.08,13.92,13.96,7.037372,73500
2012-04-12,14,14,13.81,13.89,7.05413,9600
2012-04-13,13.88,13.88,13.45,13.51,6.861145,109800
2012-04-16,13.51,13.51,13.03,13.17,6.688473,182600
2012-04-17,13.19,13.28,12.34,12.64,6.419308,415200
2012-04-18,12.59,12.8,12.5,12.72,6.459937,77900
2012-04-19,12.63,12.75,12.51,12.74,6.470095,87800
2012-04-20,12.78,13.14,12.64,12.96,6.581823,70100
2012-04-23,12.93,12.93,12.78,12.78,6.490408,65900
2012-04-24,12.86,12.93,12.78,12.89,6.546274,71600
2012-04-25,13,13,12.75,12.89,6.546274,58400
2012-04-26,12.94,13.19,12.91,13.12,6.663079,46900
2012-04-27,13.18,13.47,13.14,13.35,6.779888,49500
2012-04-30,13.34,13.34,13,13.13,6.668159,66000
2012-05-01,13.17,13.33,13.14,13.27,6.739259,52200
2012-05-02,13.2,13.39,13.08,13.34,6.774809,36000
2012-05-03,13.41,13.42,13.2,13.22,6.713866,35000
2012-05-04,13.17,13.25,12.83,12.91,6.55643,68800
2012-05-07,12.85,13.03,12.76,12.99,6.597056,67000
2012-05-08,12.85,12.93,12.66,12.72,6.459937,82600
2012-05-09,12.61,12.84,12.6,12.81,6.505643,70400
2012-05-10,12.95,12.98,12.86,12.91,6.55643,59000
2012-05-11,12.86,12.98,12.86,12.89,6.598922,3000
2012-05-14,12.76,12.9,12.75,12.82,6.563083,41500
2012-05-15,12.88,12.88,12.41,12.54,6.41974,63000
2012-05-16,12.48,12.61,12.33,12.33,6.312233,90700
2012-05-17,12.3,12.44,12.25,12.3,6.296877,87200
2012-05-18,12.29,12.34,11.95,12.02,6.153533,106400
2012-05-21,12.02,12.03,11.83,11.97,6.127936,62400
2012-05-22,12.05,12.05,11.44,11.6,5.938518,137800
2012-05-23,11.5,11.53,10.74,11.03,5.646711,260000
2012-05-24,11.09,11.11,10.86,11.04,5.651828,106800
2012-05-25,10.93,11.13,10.93,10.98,5.621114,77800
2012-05-29,10.96,11.12,10.89,11.07,5.66719,64200
2012-05-30,10.98,10.99,10.79,10.83,5.544322,79400
2012-05-31,10.86,10.88,10.4,10.64,5.447055,93300
2012-06-01,10.41,10.43,10.14,10.34,5.29347,113400
2012-06-04,10.34,10.45,10.16,10.43,5.339546,127400
2012-06-05,10.43,11.01,10.43,10.98,5.621114,69000
2012-06-06,11.13,11.47,11.09,11.29,5.779814,72600
2012-06-07,11.49,11.51,11.02,11.1,5.682547,44300
2012-06-08,10.97,11.3,10.89,11.24,5.754218,41500
2012-06-11,11.39,11.39,11.1,11.11,5.687666,76000
2012-06-12,11.16,11.16,11,11.05,5.656949,45700
2012-06-13,11.01,11.05,10.92,10.97,5.667799,98900
2012-06-14,11.06,11.07,10.99,11.02,5.693633,73000
2012-06-15,11.02,11.09,10.95,11.06,5.714301,57800
2012-06-18,11.02,11.14,10.92,11.07,5.719466,22600
2012-06-19,11.1,11.5,11.1,11.44,5.910632,71400
2012-06-20,11.52,11.63,11.4,11.45,5.915798,70300
2012-06-21,11.42,11.44,11.21,11.22,5.796965,117200
2012-06-22,11.26,11.28,10.96,11.21,5.7918,58500
2012-06-25,11.1,11.13,10.94,10.96,5.662632,70800
2012-06-26,11,11.08,10.86,10.9,5.631633,50600
2012-06-27,10.89,11.12,10.85,10.9,5.631633,43800
2012-06-28,10.84,10.88,10.73,10.84,5.600633,43600
2012-06-29,11.03,11.24,10.98,10.99,5.678132,32800
2012-07-02,11.08,11.3,11.08,11.25,5.812464,23900
2012-07-03,11.25,11.33,11.18,11.26,5.817631,52800
2012-07-05,11.5,11.6,11.39,11.42,5.9003,34600
2012-07-06,11.38,11.46,11.32,11.38,5.879632,40800
2012-07-09,11.4,11.45,11.33,11.38,5.879632,68400
2012-07-10,11.49,11.71,11.43,11.64,6.013965,59100
2012-07-11,11.65,11.78,11.55,11.63,6.008798,36900
