Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.98,22.98,22.799999,22.91,11.512315,28700
2012-02-22,22.9,22.98,22.82,22.98,11.547487,15200
2012-02-23,22.950001,23.17,22.940001,23.030001,11.572615,23300
2012-02-24,22.99,23.15,22.870001,23.040001,11.577642,20400
2012-02-27,22.959999,23.540001,22.959999,23.450001,11.783667,20100
2012-02-28,23.4,23.49,22.969999,23.16,11.63794,25300
2012-02-29,23.07,23.190001,23.07,23.190001,11.653013,3800
2012-03-01,23.41,23.41,23.219999,23.34,11.728389,18000
2012-03-02,23.280001,23.35,23.200001,23.33,11.723366,5900
2012-03-05,23.360001,23.469999,23.27,23.27,11.693213,12100
2012-03-06,23.040001,23.27,22.98,22.99,11.552512,15300
2012-03-07,23.030001,23.23,23.030001,23.120001,11.617838,13700
2012-03-08,22.709999,23.049999,22.709999,23.040001,11.833558,15200
2012-03-09,22.969999,23.200001,22.92,22.98,11.802737,11300
2012-03-12,22.959999,22.969999,22.82,22.860001,11.741105,11100
2012-03-13,22.860001,22.9,22.6,22.68,11.648658,16300
2012-03-14,22.799999,22.940001,22.74,22.799999,11.710288,19500
2012-03-15,22.92,22.940001,22.75,22.860001,11.741105,11100
2012-03-16,22.790001,23.1,22.6,22.99,11.807873,22500
2012-03-19,22.83,22.860001,22.67,22.719999,11.669199,10700
2012-03-20,22.950001,22.950001,22.709999,22.82,11.720563,11200
2012-03-21,22.85,22.98,22.85,22.959999,11.792465,6700
2012-03-22,22.950001,23.290001,22.9,22.940001,11.782196,17300
2012-03-23,22.99,22.99,22.93,22.959999,11.792465,4000
2012-03-26,23.01,23.01,22.879999,23,11.81301,9200
2012-03-27,23,23.209999,22.98,23.030001,11.828419,13700
2012-03-28,23.01,23.01,22.74,22.790001,11.705151,15200
2012-03-29,22.719999,22.77,22.6,22.709999,11.664063,18900
2012-03-30,22.9,23.07,22.82,23.01,11.818146,26600
2012-04-02,22.950001,23.18,22.879999,22.92,11.771918,37900
2012-04-03,23.049999,23.049999,22.84,22.879999,11.75138,13700
2012-04-04,22.950001,23.059999,22.9,22.91,11.766785,22700
2012-04-05,22.91,23.129999,22.860001,23.030001,11.828419,26100
2012-04-09,23.040001,23.09,22.91,22.950001,11.787333,22800
2012-04-10,22.83,23,22.83,22.92,11.771918,19300
2012-04-11,22.91,23,22.870001,22.889999,11.756513,10700
2012-04-12,22.82,23,22.82,22.940001,11.782196,16300
2012-04-13,22.85,23,22.83,23,11.81301,7800
2012-04-16,23,23.059999,22.98,23.049999,11.83869,15700
2012-04-17,23.07,23.08,23.02,23.049999,11.83869,8500
2012-04-18,23.049999,23.110001,22.98,22.98,11.802737,7500
2012-04-19,22.93,22.99,22.809999,22.9,11.76165,17200
2012-04-20,22.99,22.99,22.85,22.969999,11.797604,8300
2012-04-23,22.969999,22.969999,22.83,22.959999,11.792465,7400
2012-04-24,22.889999,23.07,22.889999,23.07,11.848962,12000
2012-04-25,23.1,23.34,23.09,23.18,11.905461,15000
2012-04-26,23.200001,23.200001,23.08,23.09,11.859238,9300
2012-04-27,23.15,23.379999,23.08,23.379999,12.008183,13600
2012-04-30,23.24,23.33,23.129999,23.33,11.982502,12000
2012-05-01,23.34,23.57,23.309999,23.51,12.074951,10400
2012-05-02,23.49,23.49,23.42,23.459999,12.049269,4700
2012-05-03,23.42,23.440001,23.35,23.35,11.992775,5100
2012-05-04,23.32,23.379999,23.299999,23.299999,11.967098,2500
2012-05-07,23.43,23.59,23.34,23.57,12.105766,11000
2012-05-08,23.52,23.549999,23.469999,23.469999,12.054409,4700
2012-05-09,23.4,23.450001,23.07,23.299999,11.967098,19000
2012-05-10,23.27,23.43,23.23,23.379999,12.008183,15100
2012-05-11,23.24,23.49,23.23,23.42,12.028726,13000
2012-05-14,23.33,23.450001,23.299999,23.42,12.028726,11000
2012-05-15,23.469999,23.48,23.34,23.48,12.05954,11000
2012-05-16,23.48,23.5,23.200001,23.34,11.98764,27600
2012-05-17,23.290001,23.34,23.02,23.030001,11.828419,23900
2012-05-18,22.98,23.1,22.98,23.08,11.854098,9100
2012-05-21,23.049999,23.17,23.049999,23.049999,11.83869,9800
2012-05-22,23.209999,23.27,23.08,23.110001,11.869511,10000
2012-05-23,23.200001,23.200001,23.02,23.16,11.895189,11000
2012-05-24,23.059999,23.200001,23,23.07,11.848962,19300
2012-05-25,22.950001,23.129999,22.950001,23.07,11.848962,12000
2012-05-29,23.049999,23.290001,23.049999,23.27,11.951685,48600
2012-05-30,23.200001,23.200001,22.99,23.09,11.859238,27700
2012-05-31,23.049999,23.16,23,23.059999,11.843827,8600
2012-06-01,22.950001,23.190001,22.950001,23.040001,11.833558,11100
2012-06-04,22.969999,23.049999,22.809999,22.870001,11.746242,14300
2012-06-05,22.809999,22.889999,22.75,22.85,11.73597,12300
2012-06-06,22.85,23.209999,22.85,23.110001,11.869511,14900
2012-06-07,22.629999,22.950001,22.629999,22.889999,11.997395,23600
2012-06-08,22.780001,23.18,22.75,23.129999,12.123187,24300
2012-06-11,23.209999,23.209999,22.85,22.860001,11.981671,18900
2012-06-12,22.799999,23.15,22.790001,23.049999,12.081256,23100
2012-06-13,22.98,23.139999,22.91,22.950001,12.028847,24100
2012-06-14,22.950001,23.15,22.790001,23.15,12.133672,38400
2012-06-15,23.15,23.549999,22.75,22.76,11.929257,60300
2012-06-18,22.75,23.15,22.75,23.02,12.065533,19700
2012-06-19,23.02,23.16,22.83,22.870001,11.986914,67900
2012-06-20,22.959999,22.959999,22.76,22.83,11.965949,17700
2012-06-21,22.76,23.27,22.76,23.200001,12.159879,35300
2012-06-22,23.18,23.459999,22.950001,23.41,12.269944,42700
2012-06-25,23.360001,23.360001,23.030001,23.280001,12.201807,19300
2012-06-26,23.389999,23.700001,23.200001,23.690001,12.416705,63000
2012-06-27,23.549999,23.799999,23.360001,23.639999,12.390495,26600
2012-06-28,23.59,23.67,23.549999,23.6,12.369529,8800
2012-06-29,24.030001,24.190001,23.889999,24.059999,12.610631,21900
2012-07-02,24.23,24.24,24.15,24.200001,12.68401,11000
2012-07-03,24.129999,24.34,24.129999,24.280001,12.725939,8500
2012-07-05,24.18,24.299999,23.790001,24.049999,12.605391,25800
2012-07-06,23.98,24.030001,23.93,23.99,12.573943,44500
2012-07-09,23.99,24.209999,23.99,24.129999,12.64732,36100
2012-07-10,24.209999,24.26,24.02,24.02,12.589666,15400
2012-07-11,24.02,24.42,24.02,24.360001,12.767874,17200
2012-07-12,24.35,24.379999,24.139999,24.379999,12.778356,8700
2012-07-13,24.4,24.799999,24.4,24.629999,12.909388,15000
2012-07-16,24.59,24.74,24.35,24.530001,12.856973,24100
2012-07-17,24.620001,24.620001,24.219999,24.23,12.699732,20700
2012-07-18,24.23,24.290001,24.01,24.139999,12.652559,16400
2012-07-19,24.1,24.549999,24.059999,24.34,12.757386,22700
2012-07-20,24.17,24.459999,24.17,24.360001,12.767874,25500
2012-07-23,24.450001,24.549999,24.32,24.549999,12.867454,17300
2012-07-24,24.5,24.549999,24.4,24.459999,12.820286,10000
2012-07-25,24.4,24.469999,24.290001,24.290001,12.731184,10200
2012-07-26,24.35,24.49,24.280001,24.379999,12.778356,36700
2012-07-27,24.32,24.4,24.299999,24.389999,12.783594,11000
2012-07-30,24.33,24.440001,24.25,24.25,12.710214,14700
2012-07-31,24.25,24.32,24,24.129999,12.64732,12100
2012-08-01,24.059999,24.540001,24.02,24.450001,12.815042,15800
2012-08-02,24.299999,24.5,24.299999,24.389999,12.783594,10600
2012-08-03,24.34,24.540001,24.34,24.440001,12.809803,13200
2012-08-06,24.32,24.540001,24.309999,24.34,12.757386,21400
2012-08-07,24.299999,24.549999,24.26,24.280001,12.725939,16300
2012-08-08,24.42,24.450001,24.1,24.1,12.631594,29300
2012-08-09,24.09,24.209999,24.07,24.139999,12.652559,24600
2012-08-10,24.1,24.190001,24.059999,24.190001,12.678768,44200
2012-08-13,24.1,24.23,24.059999,24.219999,12.694493,16700
2012-08-14,24.190001,24.280001,24.129999,24.25,12.710214,9100
2012-08-15,24.190001,24.49,24.190001,24.35,12.762628,28200
2012-08-16,24.35,24.49,24.35,24.450001,12.815042,11400
2012-08-17,24.41,24.51,24.41,24.459999,12.820286,15400
2012-08-20,24.389999,24.48,24.370001,24.370001,12.773114,21800
2012-08-21,24.33,24.51,24.33,24.48,12.830769,20600
2012-08-22,24.370001,24.450001,24.35,24.440001,12.809803,11100
2012-08-23,24.4,24.4,24.27,24.389999,12.783594,11300
2012-08-24,24.34,24.469999,24.209999,24.469999,12.825527,15600
2012-08-27,24.41,24.6,24.379999,24.6,12.893661,21300
2012-08-28,24.5,24.540001,24.190001,24.280001,12.725939,25200
2012-08-29,24.25,24.280001,24.059999,24.24,12.704978,10400
2012-08-30,24.15,24.459999,24.040001,24.440001,12.809803,25500
2012-08-31,24.32,24.42,24.26,24.4,12.788835,10600
2012-09-04,24.26,24.32,24.15,24.25,12.710214,24600
2012-09-05,24.110001,24.26,24.110001,24.190001,12.678768,25300
