Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.24,11.33,11.2,11.25,5.451244,43800
2012-02-22,11.28,11.29,11.11,11.21,5.431861,51900
2012-02-23,11.15,11.29,11.13,11.27,5.460935,50400
2012-02-24,11.3,11.47,11.23,11.37,5.50939,65600
2012-02-27,11.34,11.42,11.29,11.4,5.523926,38300
2012-02-28,11.43,11.43,11.1,11.22,5.436707,76400
2012-02-29,11.2,11.3,11.14,11.3,5.475472,67600
2012-03-01,11.32,11.45,11.3,11.41,5.528771,50500
2012-03-02,11.34,11.43,11.15,11.16,5.407633,69400
2012-03-05,11.23,11.25,11.08,11.25,5.451244,57600
2012-03-06,11.07,11.19,11.01,11.07,5.364023,26400
2012-03-07,11.03,11.16,10.95,11.13,5.393097,40300
2012-03-08,11.16,11.33,11.05,11.33,5.490008,47200
2012-03-09,11.24,11.43,11.18,11.41,5.528771,27100
2012-03-12,11.34,11.34,11.23,11.27,5.460935,33200
2012-03-13,11.08,11.28,10.96,11.23,5.554917,48600
2012-03-14,11.3,11.47,11.14,11.24,5.559864,41300
2012-03-15,11.16,11.33,11.05,11.06,5.470829,47400
2012-03-16,11.01,11.14,11,11.14,5.510399,26000
2012-03-19,11.18,11.32,11.06,11.28,5.579649,57500
2012-03-20,11.19,11.23,11.11,11.15,5.515345,50300
2012-03-21,11.13,11.27,11.09,11.26,5.569759,47700
2012-03-22,11.25,11.29,11.12,11.18,5.530185,55200
2012-03-23,11.23,11.28,11.16,11.27,5.574704,45000
2012-03-26,11.34,11.41,11.18,11.3,5.589544,35700
2012-03-27,11.34,11.34,11.2,11.34,5.60933,36600
2012-03-28,11.24,11.29,11.14,11.29,5.584597,47100
2012-03-29,11.16,11.28,11.06,11.28,5.579649,44100
2012-03-30,11.45,11.45,11.2,11.29,5.584597,39600
2012-04-02,11.32,11.36,11.19,11.36,5.619223,48800
2012-04-03,11.25,11.38,11.19,11.35,5.614276,56700
2012-04-04,11.17,11.2,11.12,11.18,5.530185,50200
2012-04-05,11.08,11.16,11.02,11.12,5.500506,34300
2012-04-09,11.1,11.1,10.71,10.95,5.416415,88000
2012-04-10,10.86,10.98,10.8,10.86,5.371896,55100
2012-04-11,10.92,10.94,10.8,10.85,5.366948,36300
2012-04-12,10.8,11.09,10.8,10.97,5.426309,35600
2012-04-13,10.9,11.01,10.87,11.01,5.446095,39800
2012-04-16,11.06,11.06,10.91,10.94,5.411468,67600
2012-04-17,11.05,11.05,10.95,11.02,5.451041,76100
2012-04-18,10.89,10.95,10.85,10.92,5.401576,49100
2012-04-19,10.87,10.94,10.8,10.93,5.406524,91000
2012-04-20,10.91,11.05,10.91,11.01,5.446095,29400
