Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.09,11.43,11.06,11.36,11.070482,7788900
2012-02-22,11.25,11.59,11.12,11.54,11.245895,8740800
2012-02-23,11.6,11.68,11.34,11.41,11.119208,7207200
2012-02-24,11.41,11.49,11.12,11.19,10.904816,6377200
2012-02-27,11.19,11.23,11.01,11.16,10.87558,5064500
2012-02-28,11.24,11.53,11.16,11.41,11.119208,7475400
2012-02-29,11.47,11.57,10.98,11.08,10.797619,13175600
2012-03-01,11.16,11.38,11,11.28,10.992522,6055800
2012-03-02,11.09,11.16,10.84,10.92,10.641697,7138800
2012-03-05,10.82,10.85,10.57,10.68,10.407814,8500600
2012-03-06,10.43,10.59,10.19,10.57,10.300616,11184500
2012-03-07,10.53,10.78,10.37,10.71,10.437049,9895400
2012-03-08,10.93,11.08,10.7,10.91,10.631951,6992200
2012-03-09,10.88,11.2,10.8,11.06,10.778129,7578100
2012-03-12,11,11.07,10.84,10.91,10.631951,5596200
2012-03-13,10.86,10.96,10.43,10.54,10.271381,9526000
2012-03-14,10.36,10.39,9.71,9.9,9.647692,23876900
2012-03-15,9.93,10.11,9.8,9.91,9.657436,11699300
2012-03-16,9.9,10.09,9.86,9.97,9.715909,8392500
2012-03-19,10.07,10.22,9.91,9.93,9.676928,8093800
2012-03-20,9.81,10.29,9.75,10.19,9.930301,11316400
2012-03-21,10.22,10.24,10.02,10.06,9.88119,6930200
2012-03-22,9.92,10.01,9.8,9.94,9.763322,6837900
2012-03-23,10,10.15,9.91,10.03,9.851723,7227600
2012-03-26,10.25,10.36,10.08,10.21,10.028523,8734700
2012-03-27,10.22,10.26,9.86,9.9,9.724033,11252500
2012-03-28,9.84,9.89,9.65,9.73,9.557055,9831900
2012-03-29,9.71,9.72,9.51,9.67,9.498121,8193400
2012-03-30,9.76,9.82,9.62,9.79,9.615989,7102200
2012-04-02,9.88,10.09,9.79,9.97,9.79279,6385300
2012-04-03,10.05,10.12,9.6,9.67,9.498121,13132100
2012-04-04,9.44,9.47,9.13,9.24,9.075765,17230900
2012-04-05,9.34,9.39,9.13,9.19,9.026653,6839100
2012-04-09,9.21,9.39,9.16,9.26,9.095409,6070500
2012-04-10,9.27,9.41,9.13,9.35,9.18381,9665300
2012-04-11,9.36,9.38,9.11,9.19,9.026653,9001500
2012-04-12,9.15,9.58,9.14,9.52,9.350788,9018700
2012-04-13,9.48,9.65,9.38,9.51,9.340965,7264900
