Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,23,23.18,22.299999,22.559999,14.836789,558900
2012-02-22,22.25,22.549999,21.440001,22.299999,14.665794,998800
2012-02-23,22.67,22.959999,22.139999,22.33,14.68553,960000
2012-02-24,22.389999,22.780001,22.110001,22.690001,14.922283,384800
2012-02-27,22.610001,23.9,22.41,23.700001,15.586519,960700
2012-02-28,23.709999,24.1,23.48,23.940001,15.744354,611300
2012-02-29,24.040001,24.07,23.309999,23.370001,15.369495,654600
2012-03-01,23.610001,23.77,23.299999,23.5,15.45499,582000
2012-03-02,23.370001,24.190001,23.309999,23.620001,15.533911,710800
2012-03-05,23.84,23.84,22.59,23.68,15.573368,933100
2012-03-06,24.25,25.129999,22.34,23.360001,15.460853,3595000
2012-03-07,23.6,24.48,23.48,23.860001,15.791778,855000
2012-03-08,24.15,24.809999,23.92,24.780001,16.400684,1036300
2012-03-09,24.780001,25.549999,24.4,25.35,16.777937,1217100
2012-03-12,25.379999,25.42,24.450001,24.559999,16.255083,524300
2012-03-13,24.700001,25.5,24.57,25.379999,16.797792,783600
2012-03-14,25.41,25.52,24.190001,24.49,16.208746,781100
2012-03-15,24.5,24.67,23.92,24.290001,16.076372,828800
2012-03-16,24.33,24.59,24.129999,24.48,16.202129,522100
2012-03-19,24.370001,24.559999,24.139999,24.23,16.036667,347200
2012-03-20,23.940001,24.110001,23.700001,23.969999,15.86458,434700
2012-03-21,23.879999,24.190001,23.610001,24.110001,15.957241,403200
2012-03-22,23.76,24.200001,23.299999,23.5,15.553514,305500
2012-03-23,23.5,24.35,23.450001,24.09,15.944006,545400
2012-03-26,24.42,24.66,24.1,24.32,16.096231,394800
2012-03-27,24.469999,24.9,24.43,24.709999,16.354355,383700
2012-03-28,24.77,24.91,23.91,24.299999,16.082993,415200
2012-03-29,24.08,24.57,24,24.43,16.169029,325700
2012-03-30,24.73,24.950001,24.51,24.940001,16.50658,740900
2012-04-02,24.950001,25.110001,24.389999,24.52,16.228601,1096100
2012-04-03,24.549999,24.860001,24.07,24.27,16.063137,718900
2012-04-04,24.059999,24.200001,23.17,23.540001,15.579986,1127200
2012-04-05,23.5,23.709999,23,23.110001,15.29539,478900
2012-04-09,22.51,22.58,21.969999,22.18,14.679867,860900
2012-04-10,22.08,22.43,21.23,21.530001,14.249662,754900
2012-04-11,21.809999,22.17,21.809999,21.91,14.501165,631300
2012-04-12,22.02,23.139999,22.01,23.110001,15.29539,519000
2012-04-13,22.99,23.07,22.709999,22.790001,15.083599,372800
2012-04-16,22.959999,22.969999,22.25,22.309999,14.765906,761400
2012-04-17,22.49,22.940001,22.440001,22.74,15.050505,436700
2012-04-18,22.5,22.75,22.059999,22.43,14.845331,352900
2012-04-19,22.5,23.23,22.299999,22.559999,14.931371,625500
2012-04-20,22.790001,22.85,22.4,22.799999,15.090219,377300
2012-04-23,22.34,22.35,21.83,22.299999,14.759287,422600
2012-04-24,22.27,22.440001,21.92,21.950001,14.527641,710100
2012-04-25,22.23,22.93,22.15,22.790001,15.083599,846000
2012-04-26,22.799999,24,22.68,23.73,15.705738,871100
