Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.9,9.01,8.9,8.91,5.331779,186000
2012-02-22,8.94,8.98,8.9,8.95,5.355716,88400
2012-02-23,8.97,8.99,8.93,8.96,5.3617,88700
2012-02-24,8.97,9.04,8.96,9.04,5.409574,110000
2012-02-27,9.04,9.2,9.04,9.2,5.505315,110600
2012-02-28,9.2,9.26,9.13,9.24,5.529253,128200
2012-02-29,9.26,9.26,9.2,9.21,5.511298,83800
2012-03-01,9.25,9.25,9.18,9.25,5.535238,105000
2012-03-02,9.21,9.25,9.18,9.23,5.523266,105300
2012-03-05,9.25,9.25,9.19,9.2,5.505315,63200
2012-03-06,9.2,9.22,9.18,9.2,5.505315,80500
2012-03-07,9.22,9.25,9.18,9.18,5.493346,70700
2012-03-08,9.19,9.23,9.19,9.19,5.49933,105300
2012-03-09,9.23,9.27,9.2,9.27,5.547205,70400
2012-03-12,9.27,9.32,9.23,9.27,5.576682,97200
2012-03-13,9.33,9.33,9.21,9.23,5.552617,84700
2012-03-14,9.26,9.26,9.04,9.07,5.456364,166600
2012-03-15,9.02,9.03,8.82,8.85,5.324015,278500
2012-03-16,8.84,8.84,8.55,8.65,5.203701,235400
2012-03-19,8.57,8.83,8.52,8.76,5.269876,138300
2012-03-20,8.71,8.84,8.67,8.72,5.245811,130000
2012-03-21,8.73,8.8,8.73,8.79,5.287923,90400
2012-03-22,8.79,8.85,8.79,8.85,5.324015,87600
2012-03-23,8.84,8.85,8.7,8.74,5.257843,128900
2012-03-26,8.75,8.8,8.75,8.79,5.287923,96900
2012-03-27,8.75,8.95,8.7,8.94,5.37816,143500
2012-03-28,8.97,9.05,8.97,9.03,5.432304,97800
2012-03-29,9.05,9.11,9.03,9.09,5.468396,123300
2012-03-30,9.14,9.15,9.05,9.12,5.486444,100400
2012-04-02,9.16,9.19,9.05,9.09,5.468396,127000
2012-04-03,9.15,9.16,9.08,9.13,5.492461,73000
2012-04-04,9.16,9.17,9.1,9.14,5.498473,69800
2012-04-05,9.17,9.17,9.12,9.17,5.516525,57000
2012-04-09,9.17,9.21,9.17,9.2,5.534571,54600
2012-04-10,9.25,9.26,9.11,9.11,5.48043,78100
2012-04-11,9.15,9.16,9.11,9.14,5.498473,94300
2012-04-12,9.08,9.1,9,9.03,5.461582,110600
2012-04-13,9.07,9.14,9.03,9.1,5.503921,96300
2012-04-16,9.12,9.13,9.08,9.12,5.516014,61100
2012-04-17,9.11,9.11,9.05,9.05,5.47368,53000
2012-04-18,9.09,9.17,9.07,9.17,5.546259,71500
2012-04-19,9.18,9.18,9.1,9.13,5.522063,65400
2012-04-20,9.16,9.16,9.11,9.15,5.534163,65800
2012-04-23,9.16,9.16,9.12,9.15,5.534163,107000
2012-04-24,9.13,9.15,9.13,9.15,5.534163,47400
2012-04-25,9.19,9.24,9.16,9.19,5.558352,71800
2012-04-26,9.19,9.21,9.18,9.19,5.558352,56600
2012-04-27,9.19,9.21,9.17,9.19,5.558352,53200
2012-04-30,9.26,9.26,9.18,9.19,5.558352,118000
2012-05-01,9.2,9.21,9.15,9.2,5.564403,126200
2012-05-02,9.22,9.22,9.17,9.17,5.546259,97000
2012-05-03,9.17,9.19,9.15,9.19,5.558352,69000
2012-05-04,9.17,9.17,9.16,9.16,5.540208,64300
2012-05-07,9.15,9.16,9.14,9.14,5.52811,105000
2012-05-08,9.15,9.15,9.11,9.14,5.52811,141300
2012-05-09,9.15,9.26,9.14,9.25,5.594644,104000
2012-05-10,9.19,9.2,9.12,9.14,5.557551,123900
2012-05-11,9.2,9.2,9.16,9.2,5.594036,205000
2012-05-14,9.19,9.22,9.15,9.21,5.600115,89500
2012-05-15,9.21,9.27,9.16,9.16,5.569713,126000
2012-05-16,9.22,9.24,9.17,9.23,5.612275,54600
2012-05-17,9.24,9.27,9.2,9.26,5.630517,105200
2012-05-18,9.28,9.39,9.23,9.38,5.703485,128000
2012-05-21,9.37,9.39,9.31,9.35,5.685244,99100
2012-05-22,9.35,9.4,9.3,9.4,5.715641,119000
2012-05-23,9.35,9.39,9.32,9.33,5.67308,91000
2012-05-24,9.38,9.38,9.32,9.34,5.679159,66600
2012-05-25,9.38,9.39,9.33,9.35,5.685244,133100
2012-05-29,9.39,9.41,9.35,9.35,5.685244,78700
2012-05-30,9.38,9.4,9.35,9.36,5.691321,99700
2012-05-31,9.4,9.47,9.33,9.34,5.679159,138400
2012-06-01,9.36,9.42,9.26,9.28,5.642678,167600
2012-06-04,9.28,9.4,9.28,9.35,5.685244,115700
2012-06-05,9.37,9.41,9.33,9.38,5.703485,99400
2012-06-06,9.42,9.46,9.4,9.46,5.752127,60000
2012-06-07,9.52,9.52,9.4,9.43,5.73389,103700
2012-06-08,9.46,9.59,9.42,9.59,5.831174,106200
2012-06-11,9.5,9.52,9.45,9.47,5.787778,102700
2012-06-12,9.5,9.5,9.43,9.43,5.763336,45500
2012-06-13,9.44,9.45,9.29,9.31,5.689994,122200
2012-06-14,9.28,9.28,9.08,9.1,5.561648,229100
2012-06-15,9.05,9.14,9.02,9.05,5.53109,161400
2012-06-18,9.06,9.21,9.05,9.19,5.616651,148400
2012-06-19,9.22,9.3,9.16,9.29,5.677769,128500
2012-06-20,9.32,9.35,9.25,9.29,5.677769,97900
2012-06-21,9.33,9.35,9.27,9.34,5.708326,88900
2012-06-22,9.34,9.38,9.3,9.34,5.708326,96800
2012-06-25,9.33,9.38,9.28,9.35,5.714443,69500
2012-06-26,9.36,9.36,9.26,9.33,5.702216,139900
2012-06-27,9.31,9.36,9.31,9.36,5.72055,72300
2012-06-28,9.36,9.36,9.31,9.35,5.714443,90100
2012-06-29,9.36,9.44,9.36,9.4,5.744997,133800
2012-07-02,9.45,9.5,9.38,9.45,5.775555,128800
2012-07-03,9.45,9.48,9.43,9.45,5.775555,59200
2012-07-05,9.44,9.46,9.42,9.43,5.763336,79300
2012-07-06,9.43,9.48,9.42,9.44,5.769444,101700
2012-07-09,9.43,9.49,9.43,9.44,5.769444,66300
2012-07-10,9.45,9.51,9.44,9.44,5.769444,156000
2012-07-11,9.38,9.41,9.33,9.33,5.731968,143900
2012-07-12,9.3,9.33,9.24,9.29,5.707395,127200
2012-07-13,9.32,9.39,9.3,9.31,5.719682,146300
2012-07-16,9.34,9.37,9.32,9.34,5.738112,152000
2012-07-17,9.33,9.43,9.33,9.42,5.787262,121900
2012-07-18,9.43,9.56,9.43,9.56,5.873275,144700
2012-07-19,9.56,9.56,9.45,9.5,5.836411,126800
2012-07-20,9.5,9.57,9.5,9.56,5.873275,71600
2012-07-23,9.56,9.61,9.51,9.59,5.891703,116700
2012-07-24,9.56,9.67,9.56,9.63,5.916279,106900
2012-07-25,9.65,9.72,9.64,9.69,5.953138,139100
2012-07-26,9.74,9.75,9.64,9.69,5.953138,126800
2012-07-27,9.7,9.77,9.67,9.73,5.977713,122800
2012-07-30,9.73,9.78,9.69,9.78,6.00843,80000
2012-07-31,9.84,9.84,9.7,9.79,6.014577,188900
2012-08-01,9.83,9.87,9.75,9.77,6.002287,87000
2012-08-02,9.8,9.8,9.75,9.78,6.00843,71100
2012-08-03,9.78,9.79,9.76,9.76,5.996142,101800
2012-08-06,9.79,9.81,9.76,9.81,6.026863,97900
2012-08-07,9.79,9.82,9.72,9.72,5.97157,152600
2012-08-08,9.73,9.8,9.7,9.73,5.977713,103700
2012-08-09,9.69,9.7,9.59,9.61,5.933876,165000
2012-08-10,9.65,9.66,9.6,9.63,5.946225,147800
2012-08-13,9.62,9.62,9.5,9.5,5.865953,139200
2012-08-14,9.51,9.59,9.51,9.57,5.909175,135800
2012-08-15,9.59,9.63,9.57,9.61,5.933876,100200
2012-08-16,9.64,9.7,9.64,9.69,5.98327,102100
2012-08-17,9.7,9.72,9.69,9.7,5.989442,80000
2012-08-20,9.72,9.72,9.65,9.67,5.970922,83500
2012-08-21,9.67,9.69,9.57,9.57,5.909175,109600
2012-08-22,9.55,9.56,9.44,9.44,5.828905,148400
2012-08-23,9.43,9.54,9.41,9.43,5.822733,95900
2012-08-24,9.44,9.47,9.41,9.44,5.828905,79800
2012-08-27,9.51,9.6,9.46,9.58,5.915349,123100
2012-08-28,9.6,9.79,9.6,9.76,6.026492,212900
2012-08-29,9.75,9.8,9.72,9.8,6.051193,142100
2012-08-30,9.77,9.8,9.75,9.78,6.038843,114200
2012-08-31,9.83,9.85,9.78,9.82,6.063542,90200
2012-09-04,9.82,9.88,9.81,9.87,6.094416,138200
2012-09-05,9.91,9.91,9.82,9.87,6.094416,86700
2012-09-06,9.9,9.92,9.8,9.92,6.125288,120900
2012-09-07,9.9,9.97,9.9,9.91,6.119113,63700
2012-09-10,9.91,9.96,9.83,9.88,6.100591,52600
