Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.86,14.98,14.86,14.88,7.459831,9900
2012-02-22,14.91,14.97,14.87,14.9,7.469853,9400
2012-02-23,14.93,15.02,14.89,14.9,7.469853,37200
2012-02-24,14.96,15.05,14.95,15,7.519985,16000
2012-02-27,14.95,15.02,14.9,15.02,7.530011,11400
2012-02-28,14.97,15.08,14.94,15.08,7.560096,50800
2012-02-29,15.12,15.12,14.99,15,7.519985,24500
2012-03-01,15.05,15.1,15.02,15.06,7.550069,23000
2012-03-02,15.1,15.1,14.93,14.96,7.499935,14700
2012-03-05,14.91,14.94,14.8,14.87,7.454814,83900
2012-03-06,14.69,14.76,14.61,14.62,7.329478,19000
2012-03-07,14.73,14.79,14.66,14.77,7.404684,9900
2012-03-08,14.83,14.91,14.75,14.91,7.516086,12000
2012-03-09,14.91,14.92,14.85,14.88,7.500967,11800
2012-03-12,14.93,14.93,14.81,14.88,7.500967,14100
2012-03-13,14.93,15.04,14.9,15.04,7.58162,29000
2012-03-14,15.08,15.13,14.97,15.01,7.566495,13200
2012-03-15,14.98,15.07,14.97,15.02,7.571534,16500
2012-03-16,15.02,15.08,14.98,15,7.561453,14900
2012-03-19,14.96,15.1,14.96,15,7.561453,24300
2012-03-20,14.96,15.05,14.83,15.04,7.58162,35800
2012-03-21,15.05,15.07,14.98,15.02,7.571534,14200
2012-03-22,14.99,14.99,14.84,14.92,7.52113,30500
2012-03-23,14.98,15.01,14.9,14.98,7.55137,24900
2012-03-26,15.07,15.17,15.04,15.1,7.611866,24800
2012-03-27,15.15,15.19,15.01,15.1,7.611866,33700
2012-03-28,15.08,15.08,14.85,14.87,7.495923,26700
2012-03-29,14.87,14.89,14.79,14.89,7.506004,23000
2012-03-30,14.98,15.02,14.91,14.96,7.541293,8300
2012-04-02,14.92,15.22,14.9,15.2,7.662274,35700
2012-04-03,15.18,15.19,15.06,15.06,7.591702,28800
2012-04-04,14.88,14.99,14.86,14.94,7.531207,16500
2012-04-05,15.03,15.03,14.85,14.88,7.500967,22800
2012-04-09,14.8,14.84,14.7,14.8,7.460635,13100
2012-04-10,14.69,14.72,14.38,14.45,7.324286,28800
2012-04-11,14.59,14.66,14.55,14.58,7.390176,25700
2012-04-12,14.63,14.72,14.62,14.69,7.445935,16200
2012-04-13,14.69,14.69,14.54,14.57,7.385113,8200
2012-04-16,14.57,14.65,14.49,14.58,7.390176,12800
2012-04-17,14.68,14.8,14.63,14.74,7.471278,22100
2012-04-18,14.72,14.79,14.72,14.79,7.496625,8600
2012-04-19,14.79,14.8,14.64,14.7,7.451005,19300
2012-04-20,14.72,14.78,14.69,14.74,7.471278,10800
2012-04-23,14.69,14.7,14.53,14.7,7.451005,26800
2012-04-24,14.7,14.76,14.63,14.7,7.451005,11900
2012-04-25,14.78,14.88,14.74,14.87,7.537173,25800
2012-04-26,14.9,14.9,14.76,14.86,7.532105,11900
2012-04-27,14.9,14.98,14.86,14.95,7.577724,8800
2012-04-30,14.97,14.97,14.82,14.88,7.542246,19000
2012-05-01,14.91,15,14.88,14.91,7.557446,30200
2012-05-02,14.91,14.91,14.78,14.83,7.516901,30000
2012-05-03,14.86,14.86,14.72,14.75,7.476348,26000
2012-05-04,14.74,14.74,14.61,14.63,7.415522,15100
2012-05-07,14.63,14.63,14.52,14.58,7.390176,16000
2012-05-08,14.59,14.59,14.31,14.45,7.324286,16300
2012-05-09,14.24,14.3,14.13,14.22,7.248341,26600
2012-05-10,14.35,14.35,14.15,14.19,7.233045,38800
2012-05-11,14.14,14.22,14,14.06,7.166781,24000
2012-05-14,13.96,13.99,13.85,13.85,7.059738,37600
2012-05-15,13.88,13.88,13.73,13.74,7.00367,30000
2012-05-16,13.8,13.83,13.63,13.64,6.952698,16000
2012-05-17,13.68,13.68,13.39,13.4,6.830362,26100
2012-05-18,13.41,13.5,13.18,13.18,6.718219,31200
2012-05-21,13.28,13.43,13.2,13.43,6.845652,17700
2012-05-22,13.52,13.55,13.42,13.49,6.876242,47600
2012-05-23,13.41,13.58,13.35,13.56,6.911918,22000
2012-05-24,13.62,13.62,13.42,13.52,6.891527,27300
2012-05-25,13.54,13.54,13.44,13.5,6.881332,10900
2012-05-29,13.59,13.64,13.47,13.6,6.932305,17100
2012-05-30,13.53,13.53,13.24,13.33,6.794677,49200
2012-05-31,13.26,13.45,13.17,13.29,6.774291,25500
2012-06-01,13.13,13.16,13,13.02,6.636663,35900
2012-06-04,13.01,13.14,12.96,13.04,6.646858,27800
2012-06-05,13.07,13.2,13.07,13.2,6.728414,16800
2012-06-06,13.37,13.43,13.1,13.4,6.830362,27400
2012-06-07,13.6,13.6,13.39,13.51,6.88643,33500
2012-06-08,13.39,13.53,13.37,13.53,6.938223,24300
2012-06-11,13.68,13.68,13.38,13.38,6.861302,15100
2012-06-12,13.48,13.56,13.35,13.54,6.943352,28200
2012-06-13,13.45,13.62,13.43,13.43,6.886943,24100
2012-06-14,13.48,13.62,13.48,13.61,6.979248,35200
2012-06-15,13.67,13.75,13.63,13.74,7.045913,28100
2012-06-18,13.74,13.81,13.63,13.79,7.071553,14100
2012-06-19,13.88,13.93,13.81,13.85,7.102322,21700
2012-06-20,13.86,13.98,13.86,13.91,7.133089,30500
2012-06-21,13.96,14,13.72,13.73,7.040786,22000
2012-06-22,13.83,13.85,13.69,13.78,7.06643,11700
2012-06-25,13.75,13.76,13.34,13.63,6.989505,36300
2012-06-26,13.68,13.78,13.55,13.72,7.035657,19400
2012-06-27,13.8,13.88,13.73,13.88,7.117705,14300
2012-06-28,13.84,13.86,13.63,13.86,7.10745,12900
2012-06-29,13.97,14.14,13.97,14.14,7.251031,25800
2012-07-02,14.23,14.28,14.15,14.28,7.322824,18300
2012-07-03,14.28,14.37,14.24,14.37,7.368976,19000
2012-07-05,14.23,14.31,14.2,14.24,7.302314,17300
2012-07-06,14.22,14.23,14.03,14.16,7.261292,12700
2012-07-09,14.07,14.15,14.04,14.15,7.25616,34500
2012-07-10,14.13,14.13,13.87,13.96,7.199945,10000
2012-07-11,13.93,14.01,13.86,13.98,7.21026,13600
2012-07-12,13.93,13.97,13.8,13.94,7.189629,26100
2012-07-13,13.91,14.07,13.91,14.02,7.230888,12000
2012-07-16,14.04,14.08,13.94,14.07,7.256678,15700
2012-07-17,14.05,14.19,13.94,14.11,7.277306,25400
2012-07-18,14.05,14.25,14.05,14.25,7.349516,19400
2012-07-19,14.32,14.32,14.23,14.29,7.370146,17800
2012-07-20,14.17,14.23,14.15,14.21,7.328883,10600
2012-07-23,14.04,14.14,13.91,14.13,7.287621,26600
2012-07-24,14.14,14.14,13.95,14.03,7.236046,17000
2012-07-25,14.1,14.1,13.96,14.04,7.241205,8800
2012-07-26,14.12,14.27,14.12,14.26,7.354671,14900
2012-07-27,14.32,14.6,14.32,14.46,7.457826,16000
2012-07-30,14.51,14.54,14.35,14.41,7.432034,19100
2012-07-31,14.45,14.47,14.32,14.43,7.44235,9200
2012-08-01,14.59,14.65,14.43,14.6,7.530029,23700
2012-08-02,14.58,14.62,14.37,14.47,7.46298,18900
2012-08-03,14.56,14.75,14.56,14.58,7.519711,26200
2012-08-06,14.71,14.8,14.62,14.64,7.550659,25200
2012-08-07,14.67,14.83,14.67,14.73,7.597075,13400
2012-08-08,14.74,14.85,14.72,14.77,7.617706,10900
2012-08-09,14.72,14.99,14.7,14.95,7.753059,18500
2012-08-10,14.95,14.95,14.8,14.81,7.680459,12900
2012-08-13,14.83,14.84,14.67,14.79,7.670086,5500
2012-08-14,14.75,14.84,14.71,14.78,7.664897,19200
2012-08-15,14.81,14.81,14.61,14.7,7.62341,40300
2012-08-16,14.72,14.88,14.67,14.73,7.638968,11400
2012-08-17,14.77,14.8,14.69,14.75,7.649339,5300
2012-08-20,14.77,14.79,14.71,14.72,7.63378,17100
2012-08-21,14.73,14.89,14.68,14.71,7.628598,14800
2012-08-22,14.71,14.78,14.67,14.78,7.664897,21200
2012-08-23,14.79,14.79,14.65,14.66,7.602664,26800
2012-08-24,14.65,15,14.61,14.72,7.63378,44300
2012-08-27,14.7,14.76,14.66,14.71,7.628598,13800
2012-08-28,14.65,14.74,14.6,14.63,7.587108,37000
2012-08-29,14.66,14.72,14.51,14.6,7.571553,20100
2012-08-30,14.6,14.6,14.46,14.49,7.514506,20600
2012-08-31,14.52,14.63,14.52,14.6,7.571553,11900
2012-09-04,14.62,14.67,14.53,14.63,7.587108,20000
2012-09-05,14.63,14.63,14.57,14.58,7.561175,8000
