Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,110.379997,110.400002,109.489998,110,110,938800
2012-02-22,110.019997,110.360001,109.290001,109.669998,109.669998,1153600
2012-02-23,109.75,110.150002,109.059998,110.050003,110.050003,862100
2012-02-24,110.029999,110.209999,109.550003,109.889999,109.889999,1034800
2012-02-27,109,110.290001,108.790001,109.910004,109.910004,897800
2012-02-28,109.989998,110.400002,109.389999,109.68,109.68,1298700
2012-02-29,109.760002,110.089996,108.25,109,109,1357700
2012-03-01,109.699997,110,108.82,109.800003,109.800003,1108700
2012-03-02,109.639999,110,109.330002,109.699997,109.699997,1118200
2012-03-05,108.949997,108.949997,107.839996,108.419998,108.419998,807200
2012-03-06,106.800003,107.639999,106.5,107.459999,107.459999,1830400
2012-03-07,108.309998,108.5,107.5,108.160004,108.160004,1038300
2012-03-08,109.230003,110.029999,108.940002,109.949997,109.949997,726600
2012-03-09,110.209999,110.5,109.419998,109.68,109.68,1091400
2012-03-12,110.230003,110.239998,109.43,110.010002,110.010002,758100
2012-03-13,110.07,111.199997,109.919998,111.129997,111.129997,746200
2012-03-14,111.199997,111.230003,110.019997,110.459999,110.459999,921000
2012-03-15,110.57,110.629997,109.769997,110.480003,110.480003,894400
2012-03-16,110.519997,111.370003,110.510002,110.720001,110.720001,1209000
2012-03-19,110.839996,111.82,110.610001,111.18,111.18,849800
2012-03-20,110.129997,110.889999,109.870003,110.779999,110.779999,780900
2012-03-21,110.690002,111.980003,110.68,111.720001,111.720001,1075100
2012-03-22,111.260002,111.279999,110.400002,110.860001,110.860001,844100
2012-03-23,111.089996,112.559998,110.330002,112.169998,112.169998,1223600
2012-03-26,113.099998,114,113.010002,113.989998,113.989998,1196500
2012-03-27,113.910004,114.889999,113.849998,114.559998,114.559998,1217300
2012-03-28,114.239998,114.349998,112.620003,113.739998,113.739998,1102100
2012-03-29,113.32,114.449997,113.050003,114.379997,114.379997,1100900
2012-03-30,114.870003,114.889999,114.110001,114.639999,114.639999,1152700
2012-04-02,114.580002,115.32,114.379997,115.040001,115.040001,1468700
2012-04-03,115.029999,115.040001,114.199997,114.779999,114.779999,1371100
2012-04-04,114.059998,114.209999,113.279999,113.730003,113.730003,817800
2012-04-05,113.57,114.230003,113.459999,113.940002,113.940002,971200
2012-04-09,112.769997,113.150002,111.919998,112.349998,112.349998,984800
2012-04-10,112.199997,112.279999,109.620003,109.650002,109.650002,1825500
2012-04-11,110.779999,111.839996,110.650002,111.370003,111.370003,1032100
2012-04-12,111.489998,113.800003,111.349998,113.620003,113.620003,1045800
2012-04-13,113.099998,113.239998,111.93,112.029999,112.029999,956300
2012-04-16,112.760002,113.489998,112.169998,112.949997,112.949997,983000
2012-04-17,113.660004,114.889999,113.010002,114.25,114.25,804700
2012-04-18,113.459999,114.459999,113.459999,113.980003,113.980003,859200
2012-04-19,114.120003,114.730003,113.32,113.82,113.82,976500
2012-04-20,114.080002,114.290001,113.370003,113.690002,113.690002,1365600
2012-04-23,112.870003,112.870003,112,112.669998,112.669998,1036200
2012-04-24,111.779999,112.93,110.980003,112.43,112.43,1587900
2012-04-25,112.800003,114.660004,111.769997,113.769997,113.769997,1413500
2012-04-26,114,115.790001,113.690002,115.330002,115.330002,1006400
2012-04-27,115.5,116.93,115.32,116.470001,116.470001,1355500
2012-04-30,116.190002,116.25,115.370003,115.699997,115.699997,741600
2012-05-01,115.870003,116.870003,115.349998,116.190002,116.190002,982600
2012-05-02,115.709999,116.610001,115.379997,116.440002,116.440002,711000
2012-05-03,116.620003,116.82,115.769997,116.18,116.18,852600
2012-05-04,115.790001,115.980003,114.339996,114.720001,114.720001,734100
2012-05-07,114.599998,115.190002,114.25,114.730003,114.730003,1180600
2012-05-08,114.050003,114.5,112.730003,114.370003,114.370003,1365100
2012-05-09,113.260002,114.099998,112.25,112.269997,112.269997,1511500
2012-05-10,113.050003,113.25,111.529999,111.75,111.75,2075600
2012-05-11,111.279999,112.099998,111.260002,111.68,111.68,1458100
2012-05-14,110.809998,111.529999,109.93,110.400002,110.400002,1013100
2012-05-15,110.269997,111.129997,109.589996,110.010002,110.010002,1122500
2012-05-16,110.279999,110.699997,109.25,109.370003,109.370003,1189600
2012-05-17,109.610001,109.650002,105.870003,105.870003,105.870003,2515800
2012-05-18,106.160004,106.769997,104.860001,105.110001,105.110001,2002800
2012-05-21,105.349998,108.650002,105.199997,108.379997,108.379997,1781500
2012-05-22,108.980003,108.980003,107.139999,107.68,107.68,1151800
2012-05-23,106.989998,108.620003,106.290001,108.349998,108.349998,1318700
2012-05-24,108.419998,109.300003,107.559998,108.779999,108.779999,1683800
2012-05-25,108.639999,109.199997,107.360001,107.870003,107.870003,878800
2012-05-29,108.739998,109.589996,108.059998,109.389999,109.389999,1174400
2012-05-30,108.209999,108.550003,106.07,106.260002,106.260002,1447200
2012-05-31,106.5,107.010002,104.860001,106.239998,106.239998,1459300
2012-06-01,103.470001,104.620003,103.389999,103.510002,103.510002,1448400
2012-06-04,103.5,104.209999,102.519997,103.980003,103.980003,1432800
2012-06-05,103.43,103.43,101.919998,102.089996,102.089996,1725200
2012-06-06,103.389999,104.190002,102.889999,104.190002,104.190002,1440000
2012-06-07,104.639999,106.129997,103.940002,104.669998,104.669998,870000
2012-06-08,105.419998,106.019997,103.900002,105.910004,105.910004,1437200
2012-06-11,106.830002,107,104.830002,104.940002,104.940002,840200
2012-06-12,105.25,106.629997,104.82,106.550003,106.550003,927500
2012-06-13,106.089996,106.089996,104.290001,104.669998,104.669998,908600
2012-06-14,104.910004,105.410004,103.989998,104.529999,104.529999,1042200
2012-06-15,104.889999,106.010002,104.790001,105.580002,105.580002,1160700
2012-06-18,105.220001,106.480003,104.809998,105.919998,105.919998,798000
2012-06-19,106.93,108.610001,106.730003,108.150002,108.150002,1216000
2012-06-20,108.18,108.779999,106.870003,107.360001,107.360001,1032700
2012-06-21,107.720001,107.970001,104.800003,104.879997,104.879997,1101000
2012-06-22,105.339996,105.900002,104.870003,105.360001,105.360001,1261000
2012-06-25,103.599998,104.650002,103.099998,104.040001,104.040001,1028100
2012-06-26,104.099998,104.919998,103.830002,104.410004,104.410004,729800
2012-06-27,104.82,105.32,103.660004,104.129997,104.129997,733000
2012-06-28,103.379997,105.410004,103.339996,105.339996,105.339996,999400
2012-06-29,106.860001,108.75,106.860001,108.730003,108.730003,1161000
2012-07-02,108.900002,108.900002,106.82,108.339996,108.339996,903100
2012-07-03,108.07,109.849998,107.660004,109.620003,109.620003,648600
2012-07-05,109.370003,110.279999,108.809998,109.779999,109.779999,930700
2012-07-06,108.410004,109.279999,108.029999,109.010002,109.010002,763500
2012-07-09,108.809998,109.589996,108.410004,109.050003,109.050003,851200
2012-07-10,109.559998,110.019997,107.160004,107.660004,107.660004,882400
2012-07-11,107.519997,107.860001,106.32,107.360001,107.360001,994600
2012-07-12,106.510002,106.720001,105.300003,105.860001,105.860001,1148600
2012-07-13,106.059998,107.449997,106.059998,107.360001,107.360001,810700
2012-07-16,107.290001,107.419998,105.949997,107.099998,107.099998,886400
2012-07-17,107.269997,108.860001,107.080002,108.620003,108.620003,769800
2012-07-18,108.309998,109.209999,107.839996,108.650002,108.650002,839400
2012-07-19,108.720001,109.25,107.879997,109.120003,109.120003,699200
2012-07-20,109.889999,109.889999,107.360001,107.529999,107.529999,1252300
2012-07-23,105.860001,106.629997,105.25,106.279999,106.279999,838500
2012-07-24,106.419998,107.129997,104,104.809998,104.809998,1268100
2012-07-25,103.919998,104.720001,100,102.940002,102.940002,2344700
2012-07-26,104.68,105.730003,103.940002,104.480003,104.480003,1380400
2012-07-27,105.160004,106.660004,104.57,106,106,1068100
2012-07-30,105.720001,105.870003,104.910004,105.410004,105.410004,1123600
2012-07-31,105.470001,105.529999,103.709999,103.760002,103.760002,1370000
2012-08-01,103.949997,104.470001,103.260002,103.980003,103.980003,1525200
2012-08-02,102.860001,103.629997,102.660004,103.07,103.07,2304000
2012-08-03,105.029999,105.870003,104.120003,105.779999,105.779999,1084900
2012-08-06,105.949997,105.949997,104.970001,105.050003,105.050003,1270800
2012-08-07,105.330002,107.139999,104.800003,107.040001,107.040001,1024900
2012-08-08,106.339996,108.18,106.239998,107.980003,107.980003,976100
2012-08-09,108,108.529999,107.540001,107.970001,107.970001,772100
2012-08-10,107.379997,108.209999,107.169998,108.160004,108.160004,608900
2012-08-13,107.919998,108,106.82,107.699997,107.699997,651300
2012-08-14,108.080002,108.080002,107.120003,107.300003,107.300003,485700
2012-08-15,107.129997,108.150002,107.07,107.970001,107.970001,541000
2012-08-16,107.849998,109,107.68,108.699997,108.699997,810600
2012-08-17,108.959999,108.980003,107.610001,107.709999,107.709999,936800
2012-08-20,107.57,108.540001,107.330002,108.470001,108.470001,744200
2012-08-21,108.559998,108.879997,107.610001,108.029999,108.029999,884100
2012-08-22,107.760002,109.589996,107.290001,109.550003,109.550003,1268100
