Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.22,15.32,15.18,15.29,9.731019,69700
2012-02-22,15.24,15.27,15.18,15.18,9.66101,61900
2012-02-23,15.23,15.3,15.14,15.17,9.654644,127200
2012-02-24,15.19,15.27,15.17,15.27,9.718289,39300
2012-02-27,15.31,15.35,15.25,15.35,9.769208,109400
2012-02-28,15.39,15.4,15.3,15.36,9.775575,55200
2012-02-29,15.4,15.45,15.35,15.38,9.788295,113000
2012-03-01,15.45,15.5,15.42,15.5,9.864665,71000
2012-03-02,15.5,15.5,15.4,15.4,9.801022,88600
2012-03-05,15.42,15.46,15.4,15.46,9.839212,74900
2012-03-06,15.44,15.48,15.39,15.47,9.845572,109300
2012-03-07,15.46,15.55,15.46,15.52,9.877399,119800
2012-03-08,15.53,15.56,15.48,15.53,9.883759,62800
2012-03-09,15.55,15.56,15.53,15.56,9.902854,63000
2012-03-12,15.58,15.62,15.54,15.62,9.941043,67800
2012-03-13,15.61,15.65,15.44,15.47,9.89371,83800
2012-03-14,15.47,15.47,15.24,15.3,9.784988,102000
2012-03-15,15.3,15.3,14.76,14.92,9.541964,310100
2012-03-16,14.8,14.8,14.43,14.43,9.228588,266500
2012-03-19,14.46,14.62,14.21,14.58,9.324518,203200
2012-03-20,14.58,14.88,14.55,14.78,9.452428,169900
2012-03-21,14.78,14.8,14.64,14.7,9.401264,91200
2012-03-22,14.75,14.87,14.7,14.73,9.420448,83300
2012-03-23,14.83,14.88,14.73,14.84,9.490805,72800
2012-03-26,14.92,14.92,14.64,14.7,9.401264,132600
2012-03-27,14.73,14.73,14.58,14.73,9.420448,118500
2012-03-28,14.78,14.91,14.76,14.89,9.52278,69700
2012-03-29,14.96,14.98,14.85,14.87,9.509988,63000
2012-03-30,14.9,14.95,14.86,14.86,9.503596,53800
2012-04-02,14.86,14.95,14.86,14.92,9.541964,103000
2012-04-03,14.9,14.96,14.86,14.94,9.554756,71700
2012-04-04,14.98,15.05,14.95,15.05,9.625108,42700
2012-04-05,15.1,15.1,15.02,15.09,9.650688,55300
2012-04-09,15.06,15.19,15.06,15.19,9.714642,64500
2012-04-10,15.15,15.2,15.13,15.2,9.721036,25200
2012-04-11,15.22,15.25,15.16,15.19,9.714642,27800
2012-04-12,15.11,15.15,15.03,15.1,9.70565,66200
2012-04-13,15.1,15.14,15.07,15.14,9.731352,30600
2012-04-16,15.1,15.25,15.1,15.21,9.776345,50700
2012-04-17,15.21,15.23,15.16,15.17,9.750633,38100
2012-04-18,15.14,15.23,15.14,15.22,9.782773,51300
2012-04-19,15.2,15.3,15.2,15.24,9.79563,44600
2012-04-20,15.29,15.31,15.24,15.28,9.821338,52200
2012-04-23,15.33,15.39,15.29,15.38,9.885618,51600
