Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.84,14.85,13.99,14.19,14.19,29565900
2012-02-22,13.74,14.14,13.61,13.77,13.77,31774000
2012-02-23,13.96,14.29,13.75,14.27,14.27,19770100
2012-02-24,14.28,14.39,13.88,14,14,14104100
2012-02-27,13.85,14.1,13.64,13.67,13.67,22370900
2012-02-28,13.72,14.04,13.4,14.03,14.03,28850600
2012-02-29,13.95,14.1,13.7,13.77,13.77,16261600
2012-03-01,13.78,14.02,13.71,13.93,13.93,10549300
2012-03-02,13.93,14.2,13.82,13.84,13.84,15335400
2012-03-05,13.81,13.81,13.35,13.44,13.44,11866000
2012-03-06,13.11,13.14,12.95,13.08,13.08,15699700
2012-03-07,13.16,13.66,13.16,13.41,13.41,15081500
2012-03-08,13.85,13.99,13.74,13.8,13.8,13297800
2012-03-09,13.92,13.95,13.62,13.71,13.71,7330700
2012-03-12,13.7,13.88,13.41,13.54,13.54,7032600
2012-03-13,13.75,14.39,13.72,14.39,14.39,18959100
2012-03-14,14.34,14.42,13.92,14.12,14.12,13165200
2012-03-15,14.26,14.79,14.12,14.71,14.71,15969000
2012-03-16,14.78,14.8,14.33,14.42,14.42,11470600
2012-03-19,14.46,14.69,14.39,14.45,14.45,10680800
2012-03-20,14.31,14.32,14.05,14.27,14.27,10835900
2012-03-21,14.32,14.53,14.28,14.28,14.28,6682400
2012-03-22,14.1,14.34,13.99,14.1,14.1,11333300
2012-03-23,14.06,14.3,13.88,14.2,14.2,8641500
2012-03-26,14.48,14.61,14.4,14.54,14.54,12406100
2012-03-27,14.52,14.8,14.5,14.5,14.5,12234000
2012-03-28,14.55,14.65,13.91,14.02,14.02,20402700
2012-03-29,13.89,14.06,13.62,13.85,13.85,13603300
2012-03-30,14.06,14.07,13.5,13.62,13.62,16245900
2012-04-02,13.68,13.99,13.57,13.72,13.72,9931000
2012-04-03,13.79,13.97,13.73,13.93,13.93,9958800
2012-04-04,13.75,13.89,13.51,13.55,13.55,14014300
2012-04-05,13.52,13.84,13.52,13.6,13.6,9927000
2012-04-09,13.36,13.59,13.3,13.51,13.51,8358500
2012-04-10,13.64,13.8,13,13.07,13.07,18765300
2012-04-11,13.36,13.78,13.34,13.6,13.6,11715400
2012-04-12,13.61,14.11,13.59,13.86,13.86,12690500
2012-04-13,13.82,14.09,13.59,13.92,13.92,12305500
2012-04-16,14.01,14.07,13.53,13.72,13.72,9146000
2012-04-17,13.87,13.89,13.66,13.81,13.81,7581900
2012-04-18,13.81,14.08,13.75,13.75,13.75,9064700
2012-04-19,13.85,14.04,13.47,13.77,13.77,15739800
2012-04-20,13.88,13.9,13.46,13.52,13.52,10807700
2012-04-23,13.25,13.44,13,13.12,13.12,14224100
2012-04-24,13.3,13.32,12.93,13.06,13.06,9294200
2012-04-25,13.26,13.35,13.06,13.35,13.35,8673300
2012-04-26,13.42,13.79,13.27,13.78,13.78,11494100
2012-04-27,13.73,13.89,13.54,13.78,13.78,9828000
2012-04-30,13.69,13.72,13.36,13.42,13.42,7732800
2012-05-01,13.44,13.62,13.29,13.29,13.29,7982300
