Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,6.46,6.5,6.44,6.47,6.47,250900
2012-02-22,6.5,6.59,6.47,6.53,6.53,336900
2012-02-23,6.57,6.6,6.54,6.59,6.59,318700
2012-02-24,6.61,6.61,6.53,6.54,6.54,336900
2012-02-27,6.56,6.62,6.53,6.54,6.54,242200
2012-02-28,6.58,6.6,6.53,6.54,6.54,217600
2012-02-29,6.62,6.63,6.56,6.6,6.6,287100
2012-03-01,6.62,6.67,6.59,6.66,6.66,310000
2012-03-02,6.65,6.68,6.62,6.68,6.68,186900
2012-03-05,6.68,6.68,6.58,6.67,6.67,263200
2012-03-06,6.68,6.69,6.53,6.57,6.57,269400
2012-03-07,6.62,6.65,6.56,6.65,6.65,209800
2012-03-08,6.65,6.69,6.62,6.66,6.66,211800
2012-03-09,6.68,6.68,6.62,6.62,6.62,249500
2012-03-12,6.58,6.65,6.56,6.65,6.65,331000
2012-03-13,6.58,6.59,6.48,6.54,6.54,330400
2012-03-14,6.56,6.57,6.45,6.47,6.47,359400
2012-03-15,6.52,6.54,6.42,6.49,6.49,230400
2012-03-16,6.47,6.51,6.43,6.5,6.5,255000
2012-03-19,6.49,6.5,6.44,6.5,6.5,299000
2012-03-20,6.48,6.59,6.46,6.57,6.57,245800
2012-03-21,6.53,6.6,6.53,6.56,6.56,215300
2012-03-22,6.6,6.68,6.56,6.65,6.65,333100
2012-03-23,6.61,6.61,6.42,6.52,6.52,544900
2012-03-26,6.57,6.57,6.45,6.54,6.54,261500
2012-03-27,6.51,6.56,6.5,6.54,6.54,207900
2012-03-28,6.52,6.57,6.45,6.5,6.5,257000
2012-03-29,6.5,6.5,6.44,6.5,6.5,245800
2012-03-30,6.56,6.57,6.38,6.38,6.38,385500
2012-04-02,6.42,6.49,6.38,6.39,6.39,288600
2012-04-03,6.43,6.44,6.36,6.41,6.41,297400
2012-04-04,6.37,6.41,6.32,6.33,6.33,325800
2012-04-05,6.33,6.34,6.28,6.34,6.34,259600
2012-04-09,6.29,6.46,6.29,6.45,6.45,206400
2012-04-10,6.41,6.43,6.34,6.34,6.34,222600
2012-04-11,6.39,6.43,6.27,6.34,6.34,301700
2012-04-12,6.38,6.41,6.34,6.38,6.38,286700
2012-04-13,6.34,6.38,6.32,6.37,6.37,266900
2012-04-16,6.39,6.47,6.37,6.45,6.45,177500
2012-04-17,6.45,6.45,6.34,6.35,6.35,202600
2012-04-18,6.39,6.41,6.3,6.36,6.36,269700
2012-04-19,6.36,6.44,6.34,6.43,6.43,253000
2012-04-20,6.41,6.43,6.37,6.41,6.41,201400
2012-04-23,6.4,6.45,6.39,6.45,6.45,384700
2012-04-24,6.41,6.46,6.37,6.44,6.44,356700
2012-04-25,6.45,6.53,6.44,6.5,6.5,332500
2012-04-26,6.52,6.53,6.36,6.41,6.41,486900
2012-04-27,6.44,6.44,6.37,6.42,6.42,239100
2012-04-30,6.49,6.49,6.42,6.44,6.44,204000
2012-05-01,6.48,6.51,6.43,6.51,6.51,184100
2012-05-02,6.5,6.52,6.47,6.49,6.49,150000
2012-05-03,6.49,6.5,6.42,6.42,6.42,108800
2012-05-04,6.43,6.46,6.39,6.45,6.45,209200
2012-05-07,6.45,6.55,6.43,6.52,6.52,210000
2012-05-08,6.52,6.55,6.49,6.53,6.53,194900
2012-05-09,6.51,6.54,6.46,6.5,6.5,147000
2012-05-10,6.49,6.51,6.43,6.44,6.44,211500
2012-05-11,6.42,6.48,6.42,6.47,6.47,146000
2012-05-14,6.44,6.46,6.41,6.42,6.42,202500
2012-05-15,6.36,6.41,6.35,6.36,6.36,195800
2012-05-16,6.4,6.45,6.39,6.44,6.44,191600
2012-05-17,6.45,6.45,6.3,6.33,6.33,289600
2012-05-18,6.33,6.36,6.29,6.35,6.35,191600
2012-05-21,6.31,6.38,6.27,6.35,6.35,126000
2012-05-22,6.32,6.35,6.3,6.33,6.33,128000
2012-05-23,6.36,6.38,6.32,6.36,6.36,265000
2012-05-24,6.38,6.45,6.37,6.43,6.43,265600
2012-05-25,6.46,6.48,6.41,6.45,6.45,202600
