Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.67,16.67,16.610001,16.67,16.67,54100
2012-02-22,16.6,16.75,16.5,16.620001,16.620001,39900
2012-02-23,16.67,16.790001,16.610001,16.75,16.75,12600
2012-02-24,16.75,16.969999,16.75,16.82,16.82,30300
2012-02-27,16.82,16.950001,16.799999,16.950001,16.950001,44100
2012-02-28,17,17.200001,16.950001,17.18,17.18,28800
2012-02-29,17.139999,17.190001,16.860001,16.969999,16.969999,58200
2012-03-01,17.01,17.01,16.889999,17.01,17.01,33000
2012-03-02,17.02,17.02,16.85,16.959999,16.959999,21500
2012-03-05,16.969999,16.969999,16.82,16.84,16.84,39100
2012-03-06,16.870001,16.99,16.84,16.879999,16.879999,24000
2012-03-07,16.959999,17.15,16.959999,17.15,17.15,21900
2012-03-08,17.16,17.299999,17.16,17.299999,17.299999,32600
2012-03-09,17.33,17.42,17.280001,17.290001,17.290001,55700
2012-03-12,17.24,17.290001,16.99,17.01,17.01,25300
2012-03-13,16.99,16.99,16.59,16.66,16.66,19200
2012-03-14,16.59,16.59,16.07,16.07,16.07,44300
2012-03-15,16.02,16.02,15.55,15.6,15.6,52200
2012-03-16,15.55,15.56,15.12,15.35,15.35,41200
2012-03-19,15.3,15.64,15.15,15.49,15.49,38100
2012-03-20,15.41,15.5,15.26,15.41,15.41,33000
2012-03-21,15.35,15.63,15.35,15.45,15.45,23900
2012-03-22,15.55,15.7,15.46,15.48,15.48,27000
2012-03-23,15.49,15.81,15.48,15.81,15.81,23500
2012-03-26,15.76,15.8,15.49,15.49,15.49,37300
2012-03-27,15.44,15.54,15.35,15.35,15.35,59800
2012-03-28,15.4,15.7,15.39,15.61,15.61,37500
2012-03-29,15.73,15.76,15.57,15.58,15.58,23300
2012-03-30,15.58,15.62,15.49,15.5,15.5,10100
2012-04-02,15.58,15.59,15.43,15.43,15.43,18500
2012-04-03,15.44,15.52,15.4,15.44,15.44,24600
2012-04-04,15.52,15.6,15.47,15.48,15.48,32600
2012-04-05,15.55,15.65,15.5,15.56,15.56,18100
2012-04-09,15.56,15.66,15.56,15.66,15.66,18200
2012-04-10,15.73,15.73,15.56,15.63,15.63,28400
2012-04-11,15.63,15.67,15.55,15.66,15.66,26600
2012-04-12,15.6,15.6,15.51,15.56,15.56,9200
2012-04-13,15.52,15.52,15.48,15.52,15.52,14500
2012-04-16,15.5,15.5,15.46,15.46,15.46,13600
2012-04-17,15.46,15.48,15.43,15.47,15.47,15000
2012-04-18,15.49,15.5,15.46,15.5,15.5,31200
2012-04-19,15.48,15.6,15.48,15.55,15.55,27800
2012-04-20,15.54,15.65,15.54,15.64,15.64,13900
2012-04-23,15.72,15.75,15.62,15.69,15.69,21700
2012-04-24,15.7,15.77,15.69,15.73,15.73,42700
2012-04-25,15.78,15.78,15.65,15.71,15.71,20500
2012-04-26,15.63,15.71,15.62,15.67,15.67,14000
2012-04-27,15.59,15.67,15.59,15.65,15.65,10900
2012-04-30,15.64,15.72,15.64,15.65,15.65,26000
2012-05-01,15.73,15.74,15.7,15.73,15.73,17200
2012-05-02,15.75,15.77,15.73,15.73,15.73,18000
2012-05-03,15.74,15.76,15.71,15.74,15.74,22000
2012-05-04,15.75,15.85,15.71,15.85,15.85,13900
2012-05-07,15.79,15.86,15.79,15.86,15.86,20000
2012-05-08,15.81,15.9,15.8,15.82,15.82,8100
2012-05-09,15.82,15.86,15.81,15.86,15.86,4500
2012-05-10,15.84,15.89,15.84,15.87,15.87,10400
2012-05-11,15.84,15.84,15.74,15.8,15.8,14600
2012-05-14,15.73,15.8,15.71,15.78,15.78,13700
2012-05-15,15.75,15.75,15.67,15.7,15.7,14000
2012-05-16,15.69,15.69,15.63,15.68,15.68,9200
