Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,83.089996,83.25,82.040001,82.650002,67.039276,442100
2012-02-22,82.690002,82.690002,80.739998,80.860001,65.587364,494700
2012-02-23,80.790001,82.230003,80.449997,82.110001,66.601273,442200
2012-02-24,82.150002,82.25,81.110001,81.769997,66.325493,403600
2012-02-27,81.290001,82.540001,80.779999,82.330002,66.779724,448800
2012-02-28,82.32,82.32,81.269997,81.849998,66.390373,425800
2012-02-29,82,82.529999,81.419998,81.620003,66.203804,696000
2012-03-01,81.230003,81.690002,80.779999,81.230003,66.457443,631600
2012-03-02,81.410004,81.410004,80.419998,80.589996,65.933853,299400
2012-03-05,80.209999,80.449997,79.639999,80.120003,65.549324,433800
2012-03-06,79.720001,79.82,78.610001,78.720001,64.403915,599500
2012-03-07,78.860001,80.059998,78.720001,79.839996,65.320221,355000
2012-03-08,80.470001,80.860001,79.860001,80.669998,65.99929,342800
2012-03-09,80.730003,81.75,80.440002,81.349998,66.555626,386200
2012-03-12,81.190002,81.349998,80.400002,81.150002,66.392014,356100
2012-03-13,81.769997,83.940002,81.559998,83.75,68.519173,650300
2012-03-14,83.800003,84.330002,82.18,83.160004,68.036461,788900
2012-03-15,83.400002,85,82.949997,84.949997,69.500916,558200
2012-03-16,85.370003,86.190002,84.669998,85.690002,70.106323,906400
2012-03-19,85.669998,87.129997,84.900002,86.629997,70.875381,586600
2012-03-20,86.129997,86.970001,85.459999,86.260002,70.572693,710200
2012-03-21,85.870003,86.400002,85.110001,85.480003,69.93457,668600
2012-03-22,84.82,85.349998,84.339996,84.989998,69.533661,602100
2012-03-23,85.169998,85.93,84.629997,85.860001,70.245422,484200
2012-03-26,86.190002,86.919998,85.870003,86.620003,70.86721,728000
2012-03-27,86.800003,86.809998,85.910004,85.970001,70.335411,437200
2012-03-28,86.110001,87.370003,85.75,87.269997,71.399002,576700
2012-03-29,86.620003,86.779999,85.589996,86.57,70.826309,486900
2012-03-30,87.150002,87.150002,86.230003,86.879997,71.07991,543500
2012-04-02,86.519997,87.830002,86.099998,87,71.178093,498000
2012-04-03,86.919998,87.150002,86.360001,87.029999,71.202637,677800
2012-04-04,86.230003,87,85.860001,86.330002,70.629944,410500
2012-04-05,85.910004,86.989998,85.889999,86.879997,71.07991,590700
2012-04-09,85.410004,85.989998,84.900002,85.290001,69.779099,419600
2012-04-10,85.290001,85.589996,83.860001,83.949997,68.68277,655500
2012-04-11,84.940002,85.5,84.610001,85.099998,69.623627,644800
2012-04-12,85.199997,86.379997,85.080002,86.330002,70.629944,444200
2012-04-13,86.220001,86.480003,84.43,84.43,69.075485,587800
2012-04-16,85.260002,86.800003,84.5,85.620003,70.049088,940700
2012-04-17,86.480003,87.559998,86.089996,87.330002,71.448097,871500
2012-04-18,86.82,87.75,86.790001,87.089996,71.251747,873300
2012-04-19,87.25,87.669998,86.330002,86.949997,71.137207,996900
2012-04-20,87.349998,87.720001,87.059998,87.389999,71.497169,930800
2012-04-23,86.360001,86.769997,85.389999,85.790001,70.188148,639900
2012-04-24,85.800003,87.129997,85.599998,86.610001,70.859024,499600
2012-04-25,87.199997,87.690002,86.290001,87.110001,71.26812,360100
2012-04-26,86.910004,87.5,86.489998,87.360001,71.472641,463000
2012-04-27,87.790001,88,86.800003,87.379997,71.488998,573700
2012-04-30,87.199997,87.470001,86.080002,86.269997,70.580856,661400
2012-05-01,86.400002,87.510002,85.900002,86.849998,71.055382,707900
2012-05-02,86.410004,86.980003,85.730003,86.650002,70.891739,501200
2012-05-03,86.690002,87.019997,85.660004,85.980003,70.343605,455700
2012-05-04,85.629997,85.980003,85,85.559998,69.999977,503400
2012-05-07,85.269997,87,85.269997,86.559998,70.81813,488000
2012-05-08,86.239998,86.660004,85.389999,86.260002,70.572693,563200
2012-05-09,85.290001,85.489998,84.230003,84.540001,69.165497,508700
2012-05-10,85.639999,86.239998,84.919998,85.230003,69.729988,516400
2012-05-11,84.379997,85.620003,83.190002,84.800003,69.378212,539400
2012-05-14,83.760002,84.620003,83.57,83.839996,68.592781,535800
2012-05-15,83.699997,84.290001,82.940002,83.019997,67.921913,768200
2012-05-16,83.489998,84.139999,82.510002,82.529999,67.521034,513300
2012-05-17,82.5,82.57,81.220001,81.230003,66.457443,625300
2012-05-18,81.489998,81.959999,80.440002,80.709999,66.032028,505000
2012-05-21,80.980003,81.669998,80.459999,81.540001,66.71106,461500
2012-05-22,81.68,82.800003,81.339996,81.599998,66.760147,483200
