Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,26.870001,27.25,26,26.219999,26.219999,365900
2012-02-22,25.549999,26.299999,24.709999,24.889999,24.889999,810600
2012-02-23,24.879999,25.98,24.700001,25.950001,25.950001,531900
2012-02-24,26.01,26.27,25.27,25.4,25.4,296600
2012-02-27,25.07,25.77,25.02,25.52,25.52,388000
2012-02-28,25.459999,25.459999,24.49,24.639999,24.639999,814800
2012-02-29,24.790001,26.370001,24.790001,25.889999,25.889999,679600
2012-03-01,26.01,26.49,25.65,25.99,25.99,465000
2012-03-02,25.9,26.129999,25.02,25.07,25.07,530900
2012-03-05,24.76,25.59,24.549999,25.18,25.18,431100
2012-03-06,24.75,24.860001,24.07,24.299999,24.299999,455700
2012-03-07,24.459999,25.459999,24.33,25.389999,25.389999,339500
2012-03-08,25.549999,26.629999,25.530001,26.26,26.26,596800
2012-03-09,26.59,28.02,26.59,27.379999,27.379999,662500
2012-03-12,27.74,27.74,26.870001,26.940001,26.940001,660400
2012-03-13,27.280001,28.48,27.110001,28.450001,28.450001,853400
2012-03-14,28.4,28.639999,27.67,28.02,28.02,353700
2012-03-15,27.870001,29.32,27.59,29.08,29.08,738100
2012-03-16,29.18,29.219999,28,28.27,28.27,741500
2012-03-19,28.23,28.84,27.65,28.049999,28.049999,439800
2012-03-20,27.700001,27.99,27.15,27.709999,27.709999,329600
2012-03-21,28,28.26,27.469999,27.719999,27.719999,246400
2012-03-22,27.32,27.52,26.91,27.16,27.16,271100
2012-03-23,26.24,27.09,25.700001,27,27,636900
2012-03-26,27.469999,27.469999,26.709999,27.25,27.25,319600
2012-03-27,27.559999,28.99,27.35,28.32,28.32,595800
2012-03-28,28.389999,28.950001,28.33,28.790001,28.790001,491900
2012-03-29,28.450001,28.52,27.559999,28.379999,28.379999,329300
2012-03-30,28.690001,28.690001,27.02,27.059999,27.059999,596500
2012-04-02,26.870001,26.99,26.25,26.700001,26.700001,751200
2012-04-03,26.629999,26.82,26.34,26.700001,26.700001,497100
2012-04-04,26.25,26.440001,25.780001,26.24,26.24,713600
2012-04-05,26.040001,26.620001,25.940001,26.110001,26.110001,403600
2012-04-09,25.42,26.17,25.33,26,26,478100
2012-04-10,25.969999,26.120001,24.309999,24.32,24.32,1170400
2012-04-11,24.73,25.66,24.73,25.52,25.52,481100
2012-04-12,25.5,26.219999,25.17,26.07,26.07,283200
2012-04-13,25.99,26.35,25.35,25.940001,25.940001,388500
