Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,21.559999,22,21.34,21.4,20.974943,2095400
2012-02-22,21.299999,21.639999,20.959999,21.5,21.072958,1028300
2012-02-23,21.5,21.5,21,21.34,20.916136,575000
2012-02-24,22.120001,23.42,22.08,22.84,22.386343,2487700
2012-02-27,22.6,22.700001,22,22.6,22.15111,964900
2012-02-28,22.440001,23.34,22.200001,22.92,22.464754,1137900
2012-02-29,22.52,23.26,22.040001,22.200001,21.759056,1481400
2012-03-01,22.4,22.860001,22.24,22.639999,22.190315,829300
2012-03-02,22.459999,22.98,22.280001,22.379999,21.935478,1213700
2012-03-05,22.32,22.459999,21.040001,21.120001,20.700506,2363100
2012-03-06,20.42,20.42,19.16,19.4,19.014669,3312000
2012-03-07,19.84,20.34,19.4,20.280001,19.877192,1774100
2012-03-08,21.08,21.08,20.219999,20.4,19.994806,1595500
2012-03-09,20.4,20.92,20.18,20.6,20.190834,1066300
2012-03-12,20.4,20.860001,20.040001,20.280001,19.877192,1038300
2012-03-13,20.48,20.58,19.9,20.459999,20.053614,2546800
2012-03-14,20.440001,20.92,20.08,20.84,20.426067,1883900
2012-03-15,20.879999,21.66,20.6,21.42,20.994547,2130500
2012-03-16,21.379999,21.84,21.32,21.76,21.327795,1264100
2012-03-19,21.34,22.4,21.34,21.620001,21.190575,2468700
2012-03-20,21.08,21.120001,20.6,20.940001,20.524082,1876000
2012-03-21,20.66,21.040001,20.32,20.860001,20.445671,1329700
2012-03-22,20.26,20.48,18.9,19.66,19.269505,5870500
2012-03-23,19.379999,20.059999,19.1,19.620001,19.230301,2266500
2012-03-26,20.040001,20.139999,19.459999,19.879999,19.485134,1810800
2012-03-27,19.780001,20.1,19.299999,19.4,19.014669,1349200
2012-03-28,19.24,19.280001,18.440001,18.76,18.387381,1442000
2012-03-29,17.940001,18.34,17.32,18.200001,17.838505,3672900
2012-03-30,18.34,18.48,17.82,17.959999,17.60327,2029800
2012-04-02,17.98,19.16,17.74,19.02,18.642218,1998500
2012-04-03,19.02,19.42,18.52,18.780001,18.406984,1686600
2012-04-04,18.280001,18.360001,17.799999,18.120001,17.760094,1595400
2012-04-05,17.959999,18.32,17.700001,17.92,17.564066,1050600
2012-04-09,17.42,17.9,17.34,17.76,17.407244,589400
