Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,23.049999,23.1,22.959999,23.1,15.936131,25600
2012-02-22,23.120001,23.120001,22.860001,22.9,15.798162,33200
2012-02-23,22.860001,23.049999,22.75,22.84,15.756766,45100
2012-02-24,22.99,23.09,22.870001,22.99,15.860237,39500
2012-02-27,23.09,23.15,22.940001,23.15,15.970621,25300
2012-02-28,23.16,23.290001,23.129999,23.209999,16.012016,24500
2012-02-29,23.219999,23.299999,22.9,22.99,15.860237,46900
2012-03-01,22.9,23.049999,22.85,22.93,15.818845,48000
2012-03-02,22.870001,22.98,22.77,22.77,15.708471,25400
2012-03-05,22.700001,22.790001,22.5,22.57,15.5705,43400
2012-03-06,22.540001,22.68,22.459999,22.5,15.522198,42900
2012-03-07,22.52,22.77,22.52,22.75,15.694668,27500
2012-03-08,22.809999,22.91,22.77,22.889999,15.791244,20100
2012-03-09,22.84,23.1,22.75,22.76,15.701575,40500
2012-03-12,22.75,22.860001,22.700001,22.860001,15.770566,32900
2012-03-13,22.950001,22.98,22.809999,22.85,15.763651,36300
2012-03-14,22.85,22.85,22.25,22.27,15.363536,58800
2012-03-15,22.23,22.23,21.780001,21.879999,15.094476,52500
2012-03-16,21.879999,21.879999,21.139999,21.43,14.784037,71000
2012-03-19,21.530001,21.77,21.26,21.540001,14.859923,72400
2012-03-20,21.610001,21.92,21.58,21.719999,14.984096,81000
2012-03-21,21.75,21.870001,21.629999,21.66,15.000727,17400
2012-03-22,21.77,21.959999,21.709999,21.959999,15.208489,22000
2012-03-23,22.09,22.870001,22.059999,22.5,15.582461,136900
2012-03-26,22.5,22.5,22.26,22.459999,15.554767,30800
2012-03-27,22.389999,22.620001,22.32,22.450001,15.547844,54700
2012-03-28,22.549999,22.809999,22.549999,22.6,15.651718,34500
2012-03-29,22.65,23.049999,22.65,22.98,15.914889,32200
2012-03-30,23.200001,23.200001,22.290001,22.41,15.520136,44700
2012-04-02,22.549999,22.780001,22.5,22.77,15.769457,20500
2012-04-03,22.68,22.870001,22.68,22.82,15.804085,20800
2012-04-04,22.83,22.959999,22.67,22.709999,15.727901,23500
2012-04-05,22.74,22.950001,22.67,22.709999,15.727901,68100
2012-04-09,22.799999,22.98,22.6,22.940001,15.88719,14400
2012-04-10,23.02,23.02,22.83,22.93,15.88026,17100
2012-04-11,22.799999,23.219999,22.799999,23.040001,15.956451,37900
2012-04-12,23.01,23.200001,23.01,23.17,16.046478,16300
2012-04-13,23.15,23.18,23.08,23.09,15.991081,16800
2012-04-16,23.1,23.16,22.950001,23.16,16.039547,12100
2012-04-17,23.200001,23.299999,23.1,23.17,16.046478,14300
2012-04-18,23.129999,23.200001,23.059999,23.059999,16.028408,5000
2012-04-19,23.1,23.23,23.09,23.23,16.146566,11700
2012-04-20,23.26,23.26,22.75,22.91,15.924143,26100
2012-04-23,23.040001,23.040001,22.76,22.76,15.819889,17800
2012-04-24,22.76,22.799999,22.42,22.59,15.701713,45900
2012-04-25,22.629999,22.83,22.610001,22.83,15.868539,20600
2012-04-26,22.860001,22.969999,22.790001,22.860001,15.889397,45000
2012-04-27,22.870001,22.93,22.84,22.85,15.882436,14100
2012-04-30,22.950001,23.02,22.85,22.969999,15.965852,17000
2012-05-01,22.93,23.040001,22.889999,22.9,15.917202,36100
2012-05-02,22.82,22.92,22.65,22.67,15.757321,35000
2012-05-03,22.67,22.85,22.4,22.42,15.583556,53000
2012-05-04,22.440001,22.629999,22.43,22.450001,15.604418,62000
2012-05-07,22.450001,22.66,22.450001,22.59,15.701713,21000
2012-05-08,22.68,22.68,22.5,22.620001,15.722574,19900
2012-05-09,22.66,22.790001,22.66,22.790001,15.840744,16800
2012-05-10,22.790001,22.91,22.790001,22.889999,15.910233,42600
2012-05-11,22.799999,23.02,22.799999,23.02,16.000608,23000
2012-05-14,23.02,23.120001,23.02,23.1,16.05621,18700
2012-05-15,23.120001,23.299999,23.01,23.27,16.174372,45000
2012-05-16,23.17,23.299999,23.17,23.290001,16.246922,9200
2012-05-17,23.129999,23.48,23.129999,23.370001,16.302729,23600
2012-05-18,23.440001,23.58,23.43,23.530001,16.414347,26000
2012-05-21,23.49,23.58,23.42,23.52,16.407358,39000
2012-05-22,23.440001,23.48,23.049999,23.09,16.107407,60500
2012-05-23,23.09,23.24,23.01,23.09,16.107407,46000
2012-05-24,23.110001,23.139999,23.01,23.049999,16.079496,23200
2012-05-25,23.139999,23.26,23.1,23.25,16.219025,17000
2012-05-29,23.34,23.41,23.18,23.200001,16.184132,31400
2012-05-30,23.200001,23.290001,23.07,23.1,16.114378,27500
2012-05-31,23.219999,23.370001,23.18,23.299999,16.253897,29600
2012-06-01,23.299999,23.41,23.17,23.35,16.288776,23700
2012-06-04,23.459999,23.459999,23.360001,23.43,16.344584,33500
2012-06-05,23.48,23.48,23.27,23.34,16.281803,35900
2012-06-06,23.34,23.42,23.34,23.379999,16.309696,21300
2012-06-07,23.389999,23.450001,23.35,23.42,16.337606,26400
2012-06-08,23.48,23.68,23.469999,23.629999,16.484102,40500
2012-06-11,23.65,23.809999,23.620001,23.66,16.505045,43400
2012-06-12,23.68,23.799999,23.68,23.790001,16.595722,28000
2012-06-13,23.83,23.940001,23.809999,23.85,16.637571,43700
2012-06-14,23.860001,23.879999,23.52,23.530001,16.414347,44800
2012-06-15,23.49,23.540001,23.15,23.209999,16.191116,42100
2012-06-18,23.290001,23.459999,23.25,23.459999,16.365509,37100
