Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.84,13.01,12.84,13.01,8.403834,60400
2012-02-22,13,13.03,12.94,12.98,8.384454,36000
2012-02-23,12.97,13.03,12.82,12.9,8.332779,70700
2012-02-24,12.84,13,12.84,13,8.397374,28400
2012-02-27,12.97,13.11,12.97,13.06,8.43613,54900
2012-02-28,12.99,13.14,12.99,13.12,8.474886,60100
2012-02-29,13.15,13.2,13.13,13.2,8.526568,105800
2012-03-01,13.19,13.21,13.14,13.21,8.533023,69000
2012-03-02,13.18,13.23,13.16,13.22,8.539484,76900
2012-03-05,13.23,13.23,13.15,13.17,8.507185,35800
2012-03-06,13.14,13.17,13.11,13.17,8.507185,78600
2012-03-07,13.15,13.2,13.13,13.2,8.526568,54200
2012-03-08,13.19,13.26,13.17,13.25,8.558864,84100
2012-03-09,13.2,13.26,13.2,13.22,8.539484,44900
2012-03-12,13.21,13.22,13.18,13.2,8.526568,40900
2012-03-13,13.17,13.19,12.91,13.07,8.483077,89000
2012-03-14,13.07,13.07,12.74,12.74,8.268891,96500
2012-03-15,12.67,12.71,12.43,12.43,8.067687,311300
2012-03-16,12.43,12.43,12.04,12.26,7.957348,348400
2012-03-19,12.18,12.54,12.06,12.48,8.100138,255400
2012-03-20,12.47,12.61,12.41,12.6,8.178022,134600
2012-03-21,12.62,12.77,12.61,12.77,8.288363,87200
2012-03-22,12.72,12.79,12.66,12.7,8.242927,66800
2012-03-23,12.8,12.95,12.71,12.94,8.398701,84200
2012-03-26,12.94,12.94,12.7,12.79,8.301345,48700
2012-03-27,12.73,12.94,12.65,12.91,8.37923,88200
2012-03-28,12.83,13.03,12.83,13.01,8.444135,48800
2012-03-29,12.97,13,12.82,12.85,8.340288,34500
2012-03-30,12.95,13.05,12.88,13.01,8.444135,68100
2012-04-02,13.07,13.12,13.04,13.12,8.515529,54700
2012-04-03,13.12,13.14,13.01,13.01,8.444135,47200
2012-04-04,13.05,13.13,13.01,13.13,8.522019,73600
2012-04-05,13.19,13.2,13.13,13.18,8.554475,61000
2012-04-09,13.13,13.24,13.02,13.03,8.457116,82800
2012-04-10,13.06,13.12,13,13.05,8.470099,41600
2012-04-11,13.09,13.09,12.87,12.91,8.37923,88900
2012-04-12,12.87,13.02,12.84,13.02,8.49207,41800
2012-04-13,12.97,13.01,12.91,13,8.479021,75800
2012-04-16,12.98,13.1,12.93,13.04,8.505112,37300
2012-04-17,13.04,13.08,12.97,13.01,8.485541,58000
2012-04-18,13.06,13.08,12.99,13.03,8.49859,49700
2012-04-19,13.02,13.08,12.98,13.03,8.49859,38400
2012-04-20,13.09,13.09,12.96,13.05,8.511634,42700
2012-04-23,13.08,13.11,13,13.11,8.550767,35500
2012-04-24,13.07,13.2,13.07,13.18,8.596426,57300
2012-04-25,13.14,13.23,13.14,13.16,8.583377,50200
2012-04-26,13.2,13.24,13.14,13.19,8.602947,56700
2012-04-27,13.15,13.22,13.15,13.16,8.583377,52200
2012-04-30,13.2,13.22,13.15,13.15,8.576856,33000
2012-05-01,13.21,13.25,13.18,13.24,8.635559,52800
2012-05-02,13.19,13.25,13.19,13.25,8.642078,55000
2012-05-03,13.24,13.25,13.23,13.25,8.642078,43000
2012-05-04,13.23,13.25,13.21,13.22,8.622514,29700
2012-05-07,13.22,13.25,13.18,13.18,8.596426,79000
2012-05-08,13.21,13.24,13.17,13.17,8.589898,65800
2012-05-09,13.22,13.25,13.2,13.25,8.642078,45000
2012-05-10,13.24,13.25,13.22,13.23,8.629035,46800
2012-05-11,13.19,13.25,13.19,13.25,8.683428,36600
2012-05-14,13.22,13.27,13.2,13.27,8.696538,81000
2012-05-15,13.22,13.31,13.21,13.31,8.72275,80000
2012-05-16,13.3,13.3,13.2,13.21,8.657217,63500
2012-05-17,13.23,13.24,13.19,13.24,8.676878,46900
2012-05-18,13.24,13.24,13.14,13.18,8.637557,35000
2012-05-21,13.21,13.22,13.13,13.13,8.604787,57400
2012-05-22,13.2,13.2,13.08,13.11,8.591681,80000
2012-05-23,13.16,13.2,13.13,13.2,8.650665,41000
2012-05-24,13.19,13.2,13.1,13.2,8.650665,68500
2012-05-25,13.22,13.24,13.16,13.23,8.670321,28300
2012-05-29,13.23,13.24,13.16,13.17,8.631001,60400
2012-05-30,13.12,13.23,13.12,13.22,8.663772,45400
2012-05-31,13.22,13.27,13.2,13.26,8.689984,48400
2012-06-01,13.28,13.3,13.23,13.28,8.703091,52500
2012-06-04,13.27,13.29,13.21,13.23,8.670321,72200
2012-06-05,13.22,13.32,13.22,13.32,8.729306,46400
2012-06-06,13.35,13.35,13.26,13.29,8.709641,83700
2012-06-07,13.37,13.37,13.27,13.33,8.735858,52200
2012-06-08,13.35,13.39,13.33,13.39,8.775177,51600
2012-06-11,13.37,13.4,13.35,13.38,8.768627,81300
2012-06-12,13.35,13.39,13.32,13.37,8.762074,58300
2012-06-13,13.35,13.41,13.29,13.41,8.829895,73700
2012-06-14,13.34,13.43,13.18,13.22,8.704787,81700
2012-06-15,13.22,13.22,13.12,13.22,8.704787,97400
2012-06-18,13.26,13.31,13.22,13.27,8.737707,71700
2012-06-19,13.29,13.3,13.2,13.21,8.698203,71600
2012-06-20,13.27,13.32,13.22,13.24,8.717953,64900
2012-06-21,13.23,13.34,13.21,13.29,8.750876,54300
2012-06-22,13.31,13.33,13.24,13.27,8.737707,32200
2012-06-25,13.32,13.35,13.24,13.25,8.724535,70600
2012-06-26,13.28,13.33,13.24,13.28,8.744294,72400
2012-06-27,13.21,13.39,13.21,13.37,8.803552,51700
2012-06-28,13.37,13.43,13.36,13.43,8.843059,42600
2012-06-29,13.45,13.5,13.44,13.48,8.87598,55600
2012-07-02,13.5,13.56,13.44,13.56,8.928665,71500
2012-07-03,13.58,13.62,13.55,13.62,8.968169,48600
2012-07-05,13.55,13.61,13.47,13.48,8.87598,91200
2012-07-06,13.5,13.57,13.5,13.56,8.928665,50500
2012-07-09,13.62,13.67,13.51,13.64,8.981338,71400
2012-07-10,13.65,13.72,13.62,13.69,9.014262,81300
2012-07-11,13.64,13.67,13.56,13.56,8.928665,79500
2012-07-12,13.57,13.64,13.51,13.6,8.9968,73500
2012-07-13,13.62,13.66,13.53,13.57,8.976954,56200
2012-07-16,13.51,13.6,13.5,13.57,8.976954,31800
2012-07-17,13.54,13.69,13.54,13.68,9.049726,55900
2012-07-18,13.72,13.76,13.7,13.76,9.102643,49600
2012-07-19,13.78,13.79,13.68,13.76,9.102643,51000
2012-07-20,13.75,13.83,13.75,13.83,9.148952,55400
2012-07-23,13.83,13.91,13.73,13.89,9.188645,60400
2012-07-24,13.94,13.95,13.82,13.93,9.215104,65500
2012-07-25,13.95,13.98,13.89,13.98,9.248179,49600
2012-07-26,13.98,13.98,13.7,13.73,9.082796,71400
2012-07-27,13.75,13.82,13.72,13.75,9.096025,86000
2012-07-30,13.75,13.83,13.75,13.81,9.135719,62800
2012-07-31,13.85,13.85,13.75,13.82,9.142335,63000
2012-08-01,13.9,13.9,13.75,13.77,9.109259,66600
2012-08-02,13.84,13.84,13.7,13.75,9.096025,87200
2012-08-03,13.75,13.8,13.71,13.77,9.109259,53800
2012-08-06,13.81,13.87,13.75,13.84,9.155567,58800
2012-08-07,13.89,13.92,13.82,13.85,9.16218,87800
2012-08-08,13.81,13.9,13.81,13.89,9.188645,64100
2012-08-09,13.88,13.91,13.81,13.88,9.182027,67200
2012-08-10,13.9,13.92,13.8,13.89,9.188645,71100
2012-08-13,13.82,13.82,13.64,13.69,9.0976,54300
2012-08-14,13.59,13.74,13.59,13.62,9.051079,58000
2012-08-15,13.62,13.7,13.62,13.63,9.057726,71300
2012-08-16,13.69,13.7,13.66,13.67,9.084307,51600
2012-08-17,13.7,13.78,13.67,13.78,9.157412,32100
2012-08-20,13.78,13.78,13.67,13.73,9.124181,88700
2012-08-21,13.71,13.72,13.55,13.56,9.011212,91400
2012-08-22,13.54,13.59,13.44,13.55,9.004567,93000
2012-08-23,13.58,13.61,13.51,13.52,8.984628,23800
2012-08-24,13.53,13.55,13.44,13.53,8.99127,46700
2012-08-27,13.47,13.52,13.44,13.45,8.938107,48000
2012-08-28,13.48,13.51,13.44,13.5,8.971333,68700
2012-08-29,13.5,13.63,13.5,13.63,9.057726,44300
2012-08-30,13.62,13.63,13.52,13.61,9.044435,46100
2012-08-31,13.63,13.67,13.57,13.67,9.084307,59500
2012-09-04,13.7,13.74,13.6,13.73,9.124181,70200
2012-09-05,13.68,13.69,13.57,13.63,9.057726,93700
