Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.56,14.8,14.53,14.68,9.238043,150800
2012-02-22,14.84,14.84,14.51,14.51,9.131063,182200
2012-02-23,14.56,14.58,14.43,14.45,9.093307,136000
2012-02-24,14.52,14.59,14.5,14.57,9.168822,143400
2012-02-27,14.63,14.67,14.55,14.64,9.21287,172200
2012-02-28,14.68,14.73,14.63,14.73,9.269507,101800
2012-02-29,14.79,14.82,14.72,14.77,9.294675,104900
2012-03-01,14.81,14.85,14.71,14.74,9.275806,114000
2012-03-02,14.71,14.79,14.68,14.68,9.238043,137500
2012-03-05,14.77,14.77,14.6,14.65,9.219168,156900
2012-03-06,14.71,14.71,14.6,14.6,9.187699,110200
2012-03-07,14.59,14.75,14.58,14.71,9.256927,175400
2012-03-08,14.75,14.84,14.71,14.77,9.294675,106200
2012-03-09,14.79,14.84,14.71,14.77,9.294675,125600
2012-03-12,14.74,14.88,14.74,14.88,9.363906,120200
2012-03-13,14.8,14.82,14.7,14.77,9.339869,132200
2012-03-14,14.74,14.74,14.25,14.3,9.042669,221100
2012-03-15,14.3,14.31,13.93,13.96,8.827666,476400
2012-03-16,13.91,13.92,13.5,13.68,8.650607,520600
2012-03-19,13.68,13.86,13.51,13.78,8.713844,332200
2012-03-20,13.8,14.04,13.8,13.97,8.833991,261900
2012-03-21,13.96,14.11,13.91,14.11,8.922516,199200
2012-03-22,14.19,14.22,14.03,14.12,8.928843,131900
2012-03-23,14.07,14.23,14.05,14.19,8.973106,111300
2012-03-26,14.23,14.26,14.1,14.18,8.966784,146000
2012-03-27,14.13,14.26,13.98,14.23,8.998398,147400
2012-03-28,14.32,14.33,14.24,14.29,9.03634,237000
2012-03-29,14.33,14.38,14.19,14.23,8.998398,141600
2012-03-30,14.24,14.31,14.21,14.21,8.985752,100100
2012-04-02,14.25,14.33,14.13,14.15,8.947813,172000
2012-04-03,14.17,14.23,14.1,14.14,8.94149,164700
2012-04-04,14.16,14.24,14.16,14.19,8.973106,117300
2012-04-05,14.18,14.29,14.16,14.26,9.017369,99400
2012-04-09,14.29,14.39,14.24,14.38,9.093256,105100
2012-04-10,14.43,14.46,14.36,14.43,9.124873,107100
2012-04-11,14.49,14.52,14.37,14.46,9.143847,135900
2012-04-12,14.38,14.45,14.31,14.37,9.132404,176200
2012-04-13,14.44,14.44,14.35,14.38,9.138761,61800
2012-04-16,14.44,14.46,14.38,14.46,9.189604,70800
2012-04-17,14.45,14.45,14.3,14.31,9.094274,80400
2012-04-18,14.36,14.43,14.36,14.43,9.170536,88900
2012-04-19,14.44,14.47,14.42,14.47,9.195956,92600
2012-04-20,14.41,14.49,14.33,14.49,9.208667,99700
2012-04-23,14.5,14.53,14.43,14.43,9.170536,96200
2012-04-24,14.48,14.54,14.43,14.54,9.24044,110300
2012-04-25,14.56,14.56,14.47,14.53,9.234086,103200
2012-04-26,14.49,14.61,14.48,14.52,9.227731,166000
2012-04-27,14.54,14.55,14.5,14.52,9.227731,70400
2012-04-30,14.57,14.62,14.54,14.59,9.272217,71000
2012-05-01,14.65,14.69,14.62,14.66,9.316708,112000
2012-05-02,14.66,14.7,14.62,14.62,9.291283,92000
2012-05-03,14.66,14.7,14.62,14.64,9.303992,95000
2012-05-04,14.6,14.68,14.6,14.64,9.303992,94300
2012-05-07,14.68,14.68,14.6,14.6,9.278572,115000
2012-05-08,14.63,14.73,14.63,14.67,9.323056,114700
2012-05-09,14.73,14.75,14.51,14.73,9.361191,140000
2012-05-10,14.79,14.84,14.74,14.82,9.418387,123000
2012-05-11,14.8,14.84,14.71,14.81,9.457984,66800
2012-05-14,14.79,14.82,14.73,14.78,9.438827,87200
2012-05-15,14.75,14.83,14.74,14.78,9.438827,82000
2012-05-16,14.77,14.84,14.73,14.81,9.457984,84000
2012-05-17,14.84,14.84,14.65,14.69,9.381346,88600
2012-05-18,14.76,14.82,14.63,14.64,9.349414,114200
2012-05-21,14.7,14.77,14.61,14.73,9.406891,107400
2012-05-22,14.77,14.8,14.68,14.78,9.438827,136000
2012-05-23,14.79,14.87,14.78,14.81,9.457984,101000
2012-05-24,14.81,14.85,14.75,14.79,9.445211,117500
2012-05-25,14.83,14.85,14.7,14.75,9.419665,87200
2012-05-29,14.77,14.78,14.67,14.7,9.387733,118300
2012-05-30,14.71,14.72,14.64,14.65,9.355803,80000
2012-05-31,14.7,14.77,14.66,14.75,9.419665,118100
2012-06-01,14.79,14.81,14.7,14.71,9.394122,87800
2012-06-04,14.74,14.76,14.67,14.72,9.400509,115400
2012-06-05,14.74,14.79,14.71,14.79,9.445211,114000
2012-06-06,14.82,14.85,14.78,14.78,9.438827,127000
2012-06-07,14.87,14.87,14.73,14.78,9.438827,98200
2012-06-08,14.83,14.9,14.79,14.89,9.509071,89900
2012-06-11,14.9,14.93,14.83,14.85,9.483528,109600
2012-06-12,14.89,14.89,14.8,14.81,9.457984,88800
2012-06-13,14.78,14.86,14.75,14.86,9.536275,111200
2012-06-14,14.89,14.89,14.74,14.75,9.465681,85500
2012-06-15,14.8,14.8,14.5,14.62,9.38226,169600
2012-06-18,14.64,14.76,14.62,14.75,9.465681,91000
2012-06-19,14.79,14.84,14.75,14.83,9.517017,120800
2012-06-20,14.78,14.9,14.78,14.9,9.561942,107900
2012-06-21,14.88,14.91,14.82,14.9,9.561942,67200
2012-06-22,14.93,14.93,14.75,14.83,9.517017,89400
2012-06-25,14.74,14.81,14.73,14.73,9.452845,128200
2012-06-26,14.72,14.77,14.67,14.73,9.452845,119000
2012-06-27,14.8,14.89,14.78,14.85,9.529859,130800
2012-06-28,14.77,14.9,14.77,14.87,9.542692,123500
2012-06-29,14.82,15,14.82,15,9.626122,124800
2012-07-02,15.01,15.07,14.98,15.06,9.664622,112200
2012-07-03,15.06,15.13,15.06,15.11,9.69671,59100
2012-07-05,15.18,15.18,15.09,15.11,9.69671,96400
2012-07-06,15.1,15.18,15.08,15.15,9.722379,61600
2012-07-09,15.1,15.27,15.1,15.26,9.792972,99200
2012-07-10,15.28,15.41,15.26,15.31,9.82506,160500
2012-07-11,15.39,15.41,15.15,15.16,9.728799,122000
2012-07-12,14.94,15.12,14.94,15.01,9.678504,145300
2012-07-13,15.08,15.14,15.08,15.11,9.742983,95200
2012-07-16,15.15,15.2,15.09,15.2,9.801016,125500
2012-07-17,15.24,15.25,15.17,15.24,9.826805,140900
2012-07-18,15.24,15.34,15.23,15.25,9.833255,99800
2012-07-19,15.32,15.33,15.11,15.15,9.76877,138500
2012-07-20,15.2,15.25,15.15,15.22,9.81391,109900
2012-07-23,15.22,15.38,15.22,15.38,9.91708,121800
2012-07-24,15.4,15.45,15.35,15.45,9.962218,127300
2012-07-25,15.43,15.58,15.43,15.57,10.039592,123400
2012-07-26,15.57,15.57,15.47,15.5,9.994458,66400
2012-07-27,15.57,15.7,15.54,15.58,10.046043,175300
2012-07-30,15.62,15.68,15.54,15.65,10.091177,91600
2012-07-31,15.68,15.82,15.61,15.81,10.19434,215200
2012-08-01,15.79,15.79,15.66,15.66,10.097626,159200
2012-08-02,15.67,15.78,15.65,15.7,10.123417,161700
2012-08-03,15.72,15.76,15.65,15.73,10.142761,141400
2012-08-06,15.76,15.78,15.69,15.75,10.155655,74100
2012-08-07,15.74,15.76,15.65,15.69,10.11697,136000
2012-08-08,15.68,15.72,15.51,15.57,10.039592,200600
2012-08-09,15.62,15.63,15.46,15.46,9.968667,144600
2012-08-10,15.51,15.67,15.49,15.55,10.026697,194100
2012-08-13,15.53,15.53,15.28,15.31,9.917869,124900
2012-08-14,15.22,15.49,15.21,15.49,10.03447,129800
2012-08-15,15.54,15.65,15.47,15.59,10.099249,75800
2012-08-16,15.6,15.68,15.58,15.65,10.138119,126900
2012-08-17,15.73,15.73,15.58,15.62,10.118682,91300
2012-08-20,15.7,15.76,15.61,15.68,10.157554,125600
2012-08-21,15.75,15.8,15.53,15.55,10.073338,152800
2012-08-22,15.52,15.54,15.12,15.2,9.846612,250900
2012-08-23,15.26,15.37,15.1,15.16,9.820697,124900
2012-08-24,15.12,15.27,15.1,15.18,9.833649,99200
2012-08-27,15.26,15.43,15.19,15.41,9.982646,132800
2012-08-28,15.49,15.52,15.36,15.51,10.047428,93800
2012-08-29,15.66,15.68,15.56,15.66,10.144595,123000
2012-08-30,15.68,15.68,15.55,15.61,10.112207,134800
2012-08-31,15.68,15.68,15.56,15.58,10.092772,82300
2012-09-04,15.66,15.67,15.45,15.48,10.027991,134700
2012-09-05,15.51,15.58,15.45,15.57,10.086292,138500
2012-09-06,15.64,15.64,15.46,15.57,10.086292,93200
2012-09-07,15.63,15.66,15.52,15.62,10.118682,81600
2012-09-10,15.52,15.67,15.52,15.62,10.118682,112200
2012-09-11,15.58,15.71,15.58,15.68,10.157554,86200
2012-09-12,15.64,15.75,15.58,15.68,10.204409,87500
2012-09-13,15.66,15.8,15.65,15.79,10.275995,119900
2012-09-14,15.7,15.86,15.7,15.81,10.28901,175600
2012-09-17,15.81,15.81,15.67,15.72,10.230441,129100
2012-09-18,15.77,15.77,15.62,15.67,10.197902,116400
2012-09-19,15.75,15.75,15.59,15.62,10.165361,88000
2012-09-20,15.7,15.78,15.61,15.66,10.191395,188900
2012-09-21,15.65,15.77,15.62,15.72,10.230441,112100
