Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,7.70504,8.006288,7.70504,7.944089,4.118706,432000
2012-02-22,7.937345,7.994298,7.844423,7.86016,4.075191,154500
2012-02-23,7.86016,7.930601,7.740261,7.817446,4.053047,278800
2012-02-24,7.852666,7.893882,7.761243,7.767238,4.027014,113300
2012-02-27,7.766489,7.770236,7.576898,7.628604,3.955138,278800
2012-02-28,7.624857,7.632351,7.507206,7.576148,4.2227,413600
2012-02-29,7.588887,7.672068,7.328856,7.328856,4.084867,313300
2012-03-01,7.48997,7.82419,7.484725,7.699045,4.291199,934000
2012-03-02,7.683308,7.683308,7.292136,7.364825,4.104915,568100
2012-03-05,7.33485,7.562659,7.33485,7.527439,4.19555,583000
2012-03-06,7.381311,7.484725,7.270404,7.390304,4.119115,608400
2012-03-07,7.509454,7.570902,7.276399,7.349088,4.096143,510700
2012-03-08,7.381311,7.471985,7.245675,7.408289,4.129141,506800
2012-03-09,7.403792,7.664574,7.340096,7.491469,4.175503,394800
2012-03-12,7.475732,7.610619,7.389555,7.562659,4.215181,368100
2012-03-13,7.643591,7.996546,7.643591,7.918611,4.413578,631100
2012-03-14,7.887887,7.94334,7.544674,7.548421,4.207246,526900
2012-03-15,7.576148,8.130683,7.523692,8.091716,4.51006,799200
2012-03-16,8.139675,8.291798,8.059493,8.260324,4.604037,869700
2012-03-19,8.269317,8.641754,8.192132,8.446169,4.707621,570700
2012-03-20,8.330016,8.414695,8.243089,8.351748,4.654994,284000
2012-03-21,8.354745,8.512114,8.290299,8.437925,4.703027,369400
2012-03-22,8.327019,8.434178,8.246836,8.404953,4.684649,818900
2012-03-23,8.365986,8.617025,8.290299,8.557076,4.769437,386900
2012-03-26,8.636509,8.936257,8.567567,8.80287,4.906435,440300
2012-03-27,8.828348,8.883052,8.679973,8.691214,4.844201,234600
2012-03-28,8.741421,8.787882,8.464153,8.753411,4.878868,405300
2012-03-29,8.689714,8.86132,8.677725,8.816359,4.913953,243700
2012-03-30,8.86207,8.86207,8.693461,8.720439,4.860491,299800
2012-04-02,8.655243,8.940754,8.634261,8.940754,4.983286,297100
2012-04-03,8.913776,8.913776,8.680722,8.721188,4.860908,263900
2012-04-04,8.584053,8.617775,8.483637,8.578058,4.781132,291900
2012-04-05,8.576559,8.736176,8.49263,8.705451,4.852136,429300
2012-04-09,8.431181,8.532347,8.308284,8.434928,4.701356,460000
2012-04-10,8.404953,8.540589,7.996546,8.142673,4.538464,558900
2012-04-11,8.168152,8.362988,8.15916,8.292547,4.621997,328200
2012-04-12,8.304538,8.533845,8.243089,8.464153,4.717646,346600
2012-04-13,8.387717,8.419191,8.263322,8.28955,4.620326,205200
2012-04-16,8.362988,8.514361,8.219109,8.4679,4.719733,313300
2012-04-17,8.58705,8.799872,8.572063,8.73093,4.866338,518600
2012-04-18,8.700955,8.700955,8.419941,8.5878,4.786563,405300
2012-04-19,8.569815,8.714443,8.43343,8.572812,4.778208,209200
2012-04-20,8.575809,8.835093,8.561572,8.641754,4.816633,389500
2012-04-23,8.524853,8.544336,8.276061,8.301539,4.627009,476200
2012-04-24,8.288052,8.364487,8.225853,8.336761,4.646641,226700
2012-04-25,8.518108,8.564569,8.37348,8.460406,4.715557,229300
2012-04-26,8.431931,8.559323,8.339008,8.484386,4.728923,179800
2012-04-27,8.500873,8.639506,8.344254,8.631264,4.810788,445500
2012-04-30,8.575809,8.583303,8.401956,8.50312,4.739365,280100
2012-05-01,8.534595,8.561572,8.318775,8.348001,4.652904,711200
2012-05-02,8.280558,8.4679,8.280558,8.4679,4.719733,239800
2012-05-03,8.405703,8.4679,8.288052,8.358492,4.658752,280100
2012-05-04,8.341256,8.341256,7.946338,7.996546,4.457016,573300
2012-05-07,7.930601,8.144921,7.839927,8.06249,4.493771,493700
2012-05-08,7.993548,8.342006,7.935846,8.300791,4.626592,552300
2012-05-09,8.128435,8.383222,8.128435,8.270066,4.609467,239800
2012-05-10,8.34875,8.422938,8.14642,8.203372,4.572294,149200
2012-05-11,8.172647,8.270066,8.070733,8.183888,4.561434,239800
2012-05-14,8.057994,8.228102,7.82419,7.851168,4.375987,266500
2012-05-15,7.875147,7.960576,7.778479,7.854165,4.377657,266500
2012-05-16,7.88414,7.981558,7.837679,7.914864,4.411489,230600
2012-05-17,7.951583,7.951583,7.575398,7.576898,4.223117,194700
2012-05-18,7.558912,7.833932,7.558912,7.702043,4.292869,276100
2012-05-21,7.712533,7.898378,7.583642,7.844423,4.372227,334800
2012-05-22,7.841425,8.010783,7.823441,7.971067,4.442815,480100
2012-05-23,7.878894,8.089468,7.787471,8.057244,4.490848,126400
2012-05-24,8.090217,8.090217,7.727521,7.887137,4.396035,284000
2012-05-25,7.898378,7.989052,7.698296,7.818195,4.357608,110700
2012-05-29,7.926105,8.069984,7.869902,8.05125,4.487505,225400
2012-05-30,7.912616,7.96807,7.795714,7.876646,4.710511,224100
2012-05-31,7.892383,7.925355,7.654832,7.863157,4.702444,289300
2012-06-01,7.622609,7.675065,7.455499,7.513201,4.493157,194700
2012-06-04,7.513201,7.562659,7.309372,7.441261,4.450136,259900
2012-06-05,7.387306,7.582143,7.337099,7.552168,4.516462,294500
2012-06-06,7.589637,7.822691,7.589637,7.815197,4.673763,270400
2012-06-07,7.734265,7.965072,7.533434,7.59713,4.543351,349200
2012-06-08,7.532684,7.901375,7.489221,7.867654,4.705134,174600
2012-06-11,8.009285,8.13368,7.679561,7.679561,4.592647,388200
