Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.54,8.67,8.54,8.61,3.097753,225000
2012-02-22,8.59,8.73,8.59,8.69,3.126538,182900
2012-02-23,8.69,8.76,8.67,8.76,3.151723,143100
2012-02-24,8.76,8.9,8.73,8.81,3.169713,205000
2012-02-27,8.8,8.91,8.77,8.89,3.198493,173600
2012-02-28,8.87,8.97,8.81,8.87,3.191299,218100
2012-02-29,8.83,8.87,8.75,8.84,3.180507,208300
2012-03-01,8.91,9.01,8.87,8.92,3.209288,241000
2012-03-02,8.92,9.03,8.88,8.92,3.209288,181800
2012-03-05,8.9,9.02,8.87,8.92,3.209288,156600
2012-03-06,8.86,8.88,8.76,8.82,3.173309,165900
2012-03-07,8.81,8.93,8.81,8.89,3.198493,150000
2012-03-08,8.87,8.88,8.8,8.81,3.20031,97400
2012-03-09,8.79,8.91,8.79,8.82,3.203943,99000
2012-03-12,8.84,8.84,8.75,8.77,3.185781,89300
2012-03-13,8.78,8.81,8.77,8.79,3.193044,150800
2012-03-14,8.79,8.82,8.71,8.72,3.167616,135900
2012-03-15,8.75,8.79,8.72,8.75,3.178517,94600
2012-03-16,8.74,8.74,8.67,8.68,3.153089,120500
2012-03-19,8.68,8.76,8.66,8.7,3.160352,97200
2012-03-20,8.68,8.72,8.66,8.72,3.167616,107800
2012-03-21,8.73,8.73,8.66,8.66,3.145822,143100
2012-03-22,8.66,8.71,8.56,8.6,3.124026,208500
2012-03-23,8.62,8.62,8.51,8.54,3.10223,263100
2012-03-26,8.56,8.64,8.55,8.63,3.134923,164100
2012-03-27,8.64,8.77,8.58,8.74,3.174882,171600
2012-03-28,8.74,8.74,8.64,8.66,3.145822,129200
2012-03-29,8.6,8.65,8.58,8.65,3.142191,99000
2012-03-30,8.65,8.78,8.61,8.76,3.182148,101200
2012-04-02,8.8,8.92,8.8,8.88,3.225738,227600
2012-04-03,8.87,8.88,8.8,8.83,3.207577,138600
2012-04-04,8.8,8.87,8.71,8.75,3.178517,244100
2012-04-05,8.7,8.75,8.68,8.74,3.174882,132200
2012-04-09,8.7,8.74,8.65,8.71,3.163986,129700
2012-04-10,8.55,8.63,8.53,8.56,3.14014,170800
2012-04-11,8.53,8.64,8.53,8.58,3.147476,118000
2012-04-12,8.56,8.63,8.55,8.61,3.158482,85400
2012-04-13,8.57,8.61,8.56,8.59,3.151146,87900
2012-04-16,8.56,8.59,8.5,8.52,3.125468,147900
2012-04-17,8.52,8.58,8.5,8.56,3.14014,164000
2012-04-18,8.53,8.58,8.47,8.48,3.110793,131600
2012-04-19,8.47,8.54,8.46,8.48,3.110793,162300
2012-04-20,8.48,8.52,8.48,8.49,3.114463,95600
2012-04-23,8.44,8.53,8.4,8.51,3.121799,285100
2012-04-24,8.51,8.57,8.49,8.56,3.14014,108100
2012-04-25,8.6,8.63,8.57,8.6,3.154814,167000
2012-04-26,8.62,8.67,8.6,8.67,3.180494,118300
2012-04-27,8.7,8.7,8.62,8.66,3.176823,76800
2012-04-30,8.66,8.68,8.57,8.66,3.176823,152000
2012-05-01,8.72,8.78,8.66,8.71,3.195167,215000
2012-05-02,8.71,8.76,8.69,8.71,3.195167,161000
2012-05-03,8.69,8.73,8.61,8.61,3.158482,157100
2012-05-04,8.61,8.62,8.53,8.57,3.143809,230900
2012-05-07,8.53,8.61,8.51,8.61,3.158482,105000
2012-05-08,8.5,8.55,8.39,8.55,3.136472,364400
2012-05-09,8.3,8.41,8.29,8.36,3.097568,246000
2012-05-10,8.39,8.45,8.36,8.36,3.097568,207600
2012-05-11,8.33,8.36,8.3,8.3,3.075336,154000
2012-05-14,8.2,8.24,8.15,8.2,3.038283,307600
2012-05-15,8.17,8.19,8.12,8.13,3.012346,163000
2012-05-16,8.12,8.15,8,8.03,2.975297,277500
2012-05-17,8,8.02,7.79,7.79,2.88637,467700
2012-05-18,7.79,7.82,7.52,7.71,2.856728,344900
2012-05-21,7.73,7.85,7.71,7.85,2.908602,280200
2012-05-22,7.84,8.02,7.84,7.97,2.953064,269900
2012-05-23,7.95,8.06,7.91,8.06,2.986411,271000
2012-05-24,8.07,8.1,8,8.1,3.001231,125800
2012-05-25,8.07,8.12,8,8.01,2.967885,242300
2012-05-29,8.08,8.12,8.01,8.09,2.997526,159600
2012-05-30,8.01,8.04,7.86,7.88,2.919717,254100
2012-05-31,7.9,7.94,7.82,7.93,2.938243,151000
2012-06-01,7.94,7.94,7.81,7.85,2.908602,274200
2012-06-04,7.83,7.94,7.77,7.78,2.882666,269900
2012-06-05,7.78,7.84,7.78,7.81,2.893781,145200
2012-06-06,7.83,8.04,7.83,8.04,2.979001,243200
2012-06-07,7.92,7.97,7.9,7.92,2.965893,124800
2012-06-08,7.9,7.95,7.86,7.95,2.977129,106900
2012-06-11,8.01,8.01,7.87,7.9,2.958404,128700
2012-06-12,7.9,7.94,7.86,7.88,2.950914,97900
2012-06-13,7.85,7.95,7.84,7.9,2.958404,153700
2012-06-14,7.87,7.96,7.86,7.91,2.962149,132000
2012-06-15,7.92,7.97,7.88,7.93,2.969639,99000
2012-06-18,7.9,8,7.9,8,2.995852,108300
2012-06-19,7.99,8.08,7.99,8.07,3.022065,113900
2012-06-20,8.09,8.1,8.05,8.08,3.02581,91000
2012-06-21,8.09,8.14,7.98,7.98,2.988363,248900
2012-06-22,7.99,8.05,7.99,8.01,2.999598,72300
2012-06-25,7.99,8.08,7.91,8.07,3.022065,219500
2012-06-26,8.06,8.08,7.95,8.08,3.02581,174700
2012-06-27,8.12,8.12,8.04,8.07,3.022065,111900
2012-06-28,8.1,8.1,8,8.1,3.0333,132800
2012-06-29,8.28,8.28,8.12,8.22,3.078238,129100
2012-07-02,8.34,8.39,8.24,8.34,3.123177,386300
2012-07-03,8.34,8.42,8.32,8.42,3.153134,94300
2012-07-05,8.42,8.46,8.4,8.45,3.164369,194000
2012-07-06,8.43,8.51,8.41,8.5,3.183093,232800
2012-07-09,8.5,8.53,8.44,8.53,3.194327,233000
2012-07-10,8.5,8.5,8.35,8.38,3.169739,133000
2012-07-11,8.43,8.43,8.23,8.37,3.165956,130400
2012-07-12,8.34,8.35,8.25,8.35,3.158392,90700
2012-07-13,8.5,8.5,8.28,8.31,3.143263,116800
