Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,17.84,17.950001,17.83,17.83,8.02084,200900
2012-02-22,17.860001,17.940001,17.790001,17.799999,8.007344,204100
2012-02-23,17.799999,17.889999,17.75,17.870001,8.038834,198600
2012-02-24,17.889999,17.9,17.809999,17.860001,8.034335,184700
2012-02-27,17.799999,17.889999,17.620001,17.66,7.944363,425800
2012-02-28,17.67,17.84,17.66,17.799999,8.007344,226200
2012-02-29,17.799999,17.889999,17.690001,17.83,8.02084,227800
2012-03-01,17.870001,17.959999,17.85,17.92,8.061326,201000
2012-03-02,17.92,17.93,17.860001,17.93,8.065825,134400
2012-03-05,17.860001,17.870001,17.65,17.690001,7.957859,238200
2012-03-06,17.610001,17.610001,17.360001,17.370001,7.813909,245600
2012-03-07,17.41,17.459999,17.290001,17.389999,7.822903,466500
2012-03-08,17.719999,17.719999,17.459999,17.690001,7.957859,196500
2012-03-09,17.709999,17.84,17.700001,17.790001,8.002847,174000
2012-03-12,17.780001,17.860001,17.77,17.809999,8.011843,249200
2012-03-13,17.85,18.15,17.85,18.129999,8.155791,346100
2012-03-14,18.129999,18.209999,18.049999,18.15,8.164793,289700
2012-03-15,17.67,17.870001,17.540001,17.809999,8.215534,337600
2012-03-16,17.84,17.85,17.639999,17.709999,8.169404,195600
2012-03-19,17.610001,17.74,17.6,17.6,8.118661,301900
2012-03-20,17.57,17.57,17.17,17.43,8.040244,348100
2012-03-21,17.41,17.540001,17.360001,17.469999,8.058696,212300
2012-03-22,17.41,17.49,17.379999,17.459999,8.054082,224900
2012-03-23,17.469999,17.469999,17.33,17.42,8.035632,185300
2012-03-26,17.530001,17.629999,17.52,17.620001,8.127891,170000
2012-03-27,17.639999,17.66,17.440001,17.559999,8.100212,223200
2012-03-28,17.57,17.610001,17.35,17.5,8.072535,243200
2012-03-29,17.440001,17.690001,17.389999,17.52,8.081758,525400
2012-03-30,17.620001,17.879999,17.549999,17.870001,8.243211,537900
2012-04-02,17.73,17.860001,17.65,17.860001,8.238599,294900
2012-04-03,17.809999,17.83,17.719999,17.76,8.19247,304100
2012-04-04,17.66,17.74,17.57,17.610001,8.123275,318700
2012-04-05,17.610001,17.68,17.450001,17.49,8.06792,206300
2012-04-09,17.26,17.299999,17.120001,17.200001,7.934149,244100
2012-04-10,17.16,17.17,16.690001,16.82,7.758859,538700
2012-04-11,16.98,17.059999,16.879999,17.01,7.846501,279700
2012-04-12,16.92,17.15,16.92,17.1,7.88802,291700
2012-04-13,17.08,17.1,16.950001,17.02,7.851117,158900
2012-04-16,17.059999,17.09,16.9,16.969999,7.828051,180100
2012-04-17,17.059999,17.209999,17.059999,17.15,7.911086,197100
2012-04-18,17.1,17.139999,17.01,17.09,7.883408,244300
2012-04-19,17.040001,17.08,16.93,16.99,7.837276,335100
2012-04-20,17.07,17.129999,17.01,17.09,7.883408,175800
2012-04-23,16.98,17.040001,16.9,17.01,7.846501,215500
2012-04-24,17,17.120001,16.98,17.110001,7.892633,240400
2012-04-25,17.23,17.23,17.1,17.16,7.915696,241700
2012-04-26,17.129999,17.24,17.040001,17.24,7.952599,210700
2012-04-27,17.27,17.290001,17.18,17.24,7.952599,181300
2012-04-30,17.23,17.25,17.200001,17.24,7.952599,157000
2012-05-01,17.24,17.35,17.23,17.24,7.952599,170700
2012-05-02,17.209999,17.309999,17.190001,17.299999,7.980277,220000
2012-05-03,17.280001,17.290001,17.15,17.190001,7.929538,191100
2012-05-04,17.139999,17.139999,16.889999,17.02,7.851117,285800
2012-05-07,16.950001,17.110001,16.93,17.08,7.878794,153000
2012-05-08,17.030001,17.049999,16.85,17.049999,7.864955,237700
2012-05-09,16.889999,16.969999,16.83,16.93,7.8096,247000
2012-05-10,17.07,17.09,16.709999,16.809999,7.754245,303200
2012-05-11,16.780001,16.889999,16.709999,16.82,7.758859,132000
2012-05-14,16.74,16.76,16.51,16.559999,7.638921,250600
2012-05-15,16.5,16.540001,16.34,16.370001,7.55128,289000
2012-05-16,16.389999,16.459999,16.23,16.25,7.495924,218900
2012-05-17,16.290001,16.290001,15.87,15.89,7.329862,254500
2012-05-18,15.95,15.95,15.65,15.73,7.256054,196800
2012-05-21,15.73,15.95,15.69,15.93,7.348312,249000
2012-05-22,15.99,16.18,15.92,16.049999,7.403666,301300
2012-05-23,16.030001,16.09,15.97,16.08,7.417504,257000
2012-05-24,16.16,16.16,16,16.129999,7.44057,198800
2012-05-25,16.379999,16.379999,16.1,16.16,7.45441,130500
2012-05-29,16.25,16.360001,16.25,16.35,7.542054,141000
2012-05-30,16.280001,16.309999,16.209999,16.25,7.495924,168300
2012-05-31,16.280001,16.290001,16.110001,16.16,7.45441,194400
