Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.13,15.13,15.12,15.12,10.382224,3200
2012-02-22,15.09,15.09,15,15.02,10.31356,4600
2012-02-23,15.05,15.1,14.82,14.82,10.176229,11000
2012-02-24,14.85,15.15,14.85,14.94,10.258626,2800
2012-02-27,15.08,15.13,15.02,15.11,10.375358,4900
2012-02-28,15.08,15.08,15,15,10.299825,1400
2012-02-29,15,15,15,15,10.299825,1600
2012-03-01,14.92,14.92,14.9,14.9,10.231159,4400
2012-03-02,14.9,15,14.9,14.99,10.292956,6600
2012-03-05,15.02,15.12,15.01,15.12,10.382224,4300
2012-03-06,15.09,15.09,15.03,15.03,10.320422,2100
2012-03-07,15.06,15.09,15,15.03,10.320422,1800
2012-03-08,15.2,15.2,15.14,15.14,10.395954,6500
2012-03-09,15.14,15.51,15.14,15.39,10.567618,7400
2012-03-12,15.42,15.45,15.39,15.39,10.567618,1200
2012-03-13,15.28,15.28,15.2,15.24,10.502842,4600
2012-03-14,15.19,15.19,15.04,15.05,10.371897,2900
2012-03-15,15.03,15.03,14.19,14.22,9.799891,41300
2012-03-16,14.16,14.16,13.88,13.91,9.586253,10700
2012-03-19,13.81,14.24,13.78,14.23,9.806786,21700
2012-03-20,14.23,14.31,14.23,14.23,9.806786,5300
2012-03-21,14.15,14.34,13.9,14.34,9.882589,4200
2012-03-22,14.34,14.34,14.14,14.18,9.772327,16100
2012-03-23,14.15,14.15,13.95,13.95,9.613816,8500
2012-03-26,13.91,14.06,13.88,14.06,9.689628,13500
2012-03-27,14.07,14.08,14.07,14.07,9.696522,4900
2012-03-28,14.22,14.23,14.22,14.23,9.806786,300
2012-03-29,14.24,14.24,14.11,14.11,9.724078,4800
2012-03-30,14.11,14.24,14.06,14.24,9.813676,20500
2012-04-02,14.23,14.24,14.16,14.22,9.799891,3300
2012-04-03,14.2,14.24,14.12,14.17,9.765433,5300
2012-04-04,14.23,14.23,14.22,14.23,9.806786,4300
2012-04-05,14.23,14.23,14.18,14.23,9.806786,3100
2012-04-09,14.23,14.23,14.23,14.23,9.806786,0
2012-04-10,14.23,14.31,14.2,14.24,9.813676,4800
2012-04-11,14.2,14.23,14.12,14.12,9.769397,4800
2012-04-12,14.12,14.12,14.05,14.11,9.762471,6400
2012-04-13,14.03,14.03,13.82,13.96,9.658696,28400
2012-04-16,13.96,14.03,13.88,14.01,9.693288,11700
2012-04-17,14.01,14.08,14.01,14.07,9.734807,5600
2012-04-18,14.03,14.11,13.98,14.11,9.762471,12300
2012-04-19,14.11,14.16,14.11,14.16,9.797072,3600
2012-04-20,14.17,14.2,14.17,14.17,9.80399,5100
2012-04-23,14.16,14.18,14.15,14.18,9.810909,900
2012-04-24,14.19,14.23,14.19,14.19,9.817828,2000
2012-04-25,14.23,14.28,14.19,14.19,9.817828,2300
2012-04-26,14.21,14.32,14.2,14.21,9.831664,10900
2012-04-27,14.24,14.32,14.24,14.24,9.852425,2900
2012-04-30,14.31,14.4,14.27,14.3,9.893933,8400
2012-05-01,14.51,14.53,14.42,14.48,10.01847,24000
2012-05-02,14.46,14.76,14.46,14.6,10.101501,11200
2012-05-03,14.63,14.91,14.63,14.75,10.205281,3900
2012-05-04,14.83,14.88,14.8,14.8,10.239878,5600
2012-05-07,14.83,14.86,14.75,14.77,10.219123,6400
2012-05-08,14.8,14.88,14.8,14.88,10.295229,1900
2012-05-09,14.89,14.89,14.84,14.84,10.26755,1000
2012-05-10,14.84,15,14.84,15,10.378252,3200
2012-05-11,15,15,15,15,10.417142,0
2012-05-14,14.93,14.99,14.93,14.98,10.403255,2600
2012-05-15,14.95,14.95,14.95,14.95,10.38242,300
2012-05-16,14.96,15.3,14.96,15.3,10.625484,11300
2012-05-17,15.32,15.5,15.32,15.46,10.736604,9300
2012-05-18,15.5,15.59,15.43,15.43,10.715773,4400
2012-05-21,15.51,15.51,15.2,15.27,10.604654,7400
2012-05-22,15.27,15.27,15.09,15.09,10.479646,2700
2012-05-23,15.14,15.24,14.95,15.19,10.549092,6900
2012-05-24,15.14,15.14,15.08,15.08,10.472705,400
2012-05-25,15.04,15.29,15.04,15.19,10.549092,7200
