Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.36,15.49,15.34,15.42,15.42,20800
2012-02-22,15.34,15.35,15.27,15.29,15.29,14800
2012-02-23,15.29,15.33,15.25,15.28,15.28,10900
2012-02-24,15.27,15.4,15.25,15.25,15.25,27000
2012-02-27,15.27,15.39,15.23,15.3,15.3,14100
2012-02-28,15.29,15.36,15.26,15.36,15.36,13200
2012-02-29,15.34,15.42,15.34,15.4,15.4,19300
2012-03-01,15.52,15.52,15.41,15.51,15.51,29000
2012-03-02,15.49,15.53,15.45,15.53,15.53,11000
2012-03-05,15.52,15.57,15.48,15.57,15.57,9900
2012-03-06,15.55,15.55,15.41,15.43,15.43,8900
2012-03-07,15.46,15.55,15.4,15.47,15.47,24800
2012-03-08,15.5,15.56,15.5,15.5,15.5,8200
2012-03-09,15.51,15.56,15.51,15.51,15.51,4900
2012-03-12,15.58,15.58,15.41,15.41,15.41,16900
2012-03-13,15.35,15.44,15.32,15.36,15.36,14400
2012-03-14,15.33,15.33,15.04,15.06,15.06,19800
2012-03-15,14.97,14.97,14.68,14.69,14.69,32100
2012-03-16,14.47,14.57,14.23,14.5,14.5,49500
2012-03-19,14.5,14.79,14.49,14.57,14.57,12900
2012-03-20,14.67,14.72,14.57,14.66,14.66,13000
2012-03-21,14.68,14.82,14.68,14.82,14.82,4000
2012-03-22,14.73,14.93,14.73,14.77,14.77,12100
2012-03-23,14.77,14.85,14.77,14.81,14.81,1700
2012-03-26,14.86,14.86,14.73,14.73,14.73,18800
2012-03-27,14.73,14.81,14.7,14.76,14.76,11700
2012-03-28,14.8,14.95,14.8,14.95,14.95,3500
2012-03-29,15,15.15,15,15,15,11000
2012-03-30,15.02,15.11,15.02,15.11,15.11,6900
2012-04-02,15.22,15.3,15.22,15.25,15.25,14200
2012-04-03,15.26,15.3,15.12,15.2,15.2,19400
2012-04-04,15.19,15.22,15.11,15.19,15.19,10000
2012-04-05,15.21,15.26,15.19,15.24,15.24,5200
2012-04-09,15.25,15.4,15.25,15.4,15.4,14100
2012-04-10,15.38,15.43,15.31,15.33,15.33,12200
2012-04-11,15.34,15.34,15.24,15.26,15.26,15300
2012-04-12,15.21,15.21,15.02,15.09,15.09,13800
2012-04-13,15.03,15.11,15.03,15.08,15.08,8500
2012-04-16,15.1,15.11,15.02,15.1,15.1,10200
2012-04-17,15.12,15.13,15.07,15.1,15.1,10000
2012-04-18,15.1,15.17,15.1,15.15,15.15,5800
2012-04-19,15.13,15.19,15.13,15.13,15.13,3200
2012-04-20,15.22,15.24,15.14,15.14,15.14,12900
2012-04-23,15.21,15.31,15.21,15.21,15.21,13700
2012-04-24,15.21,15.25,15.21,15.25,15.25,4600
2012-04-25,15.25,15.28,15.25,15.28,15.28,3800
2012-04-26,15.33,15.41,15.31,15.31,15.31,16500
2012-04-27,15.31,15.31,15.28,15.3,15.3,20100
2012-04-30,15.3,15.35,15.26,15.35,15.35,5100
2012-05-01,15.41,15.42,15.38,15.39,15.39,16600
2012-05-02,15.42,15.48,15.39,15.47,15.47,27000
2012-05-03,15.45,15.53,15.42,15.53,15.53,16000
2012-05-04,15.55,15.58,15.5,15.5,15.5,26100
2012-05-07,15.52,15.54,15.5,15.51,15.51,12000
2012-05-08,15.58,15.58,15.48,15.53,15.53,9300
2012-05-09,15.52,15.6,15.48,15.58,15.58,6000
2012-05-10,15.59,15.6,15.54,15.58,15.58,4700
2012-05-11,15.5,15.55,15.44,15.44,15.44,7800
2012-05-14,15.39,15.49,15.39,15.43,15.43,11300
2012-05-15,15.42,15.55,15.42,15.54,15.54,14000
2012-05-16,15.54,15.59,15.46,15.46,15.46,12100
2012-05-17,15.49,15.49,15.3,15.3,15.3,11100
2012-05-18,15.3,15.36,15.3,15.35,15.35,6600
2012-05-21,15.26,15.36,15.26,15.3,15.3,5300
2012-05-22,15.27,15.42,15.27,15.42,15.42,9300
2012-05-23,15.4,15.4,15.33,15.34,15.34,6600
2012-05-24,15.39,15.43,15.35,15.43,15.43,4200
2012-05-25,15.46,15.52,15.41,15.42,15.42,5300
2012-05-29,15.47,15.48,15.41,15.41,15.41,6400
2012-05-30,15.38,15.49,15.38,15.49,15.49,6800
2012-05-31,15.58,15.65,15.52,15.65,15.65,22900
2012-06-01,15.75,15.82,15.6,15.6,15.6,12600
2012-06-04,15.63,15.75,15.62,15.71,15.71,21400
2012-06-05,15.71,15.76,15.71,15.71,15.71,6900
2012-06-06,15.75,15.76,15.65,15.65,15.65,20800
2012-06-07,15.64,15.65,15.55,15.61,15.61,7200
2012-06-08,15.62,15.62,15.57,15.62,15.62,9000
2012-06-11,15.63,15.63,15.61,15.62,15.62,2400
2012-06-12,15.68,15.68,15.53,15.64,15.64,21000
2012-06-13,15.6,15.6,15.49,15.49,15.49,7300
2012-06-14,15.45,15.48,15.45,15.48,15.48,4200
2012-06-15,15.45,15.46,15.35,15.37,15.37,15200
2012-06-18,15.34,15.43,15.28,15.43,15.43,12300
2012-06-19,15.32,15.48,15.32,15.4,15.4,10100
2012-06-20,15.4,15.45,15.32,15.44,15.44,11500
2012-06-21,15.43,15.45,15.43,15.45,15.45,700
2012-06-22,15.44,15.55,15.44,15.52,15.52,17900
2012-06-25,15.51,15.58,15.51,15.53,15.53,6100
2012-06-26,15.53,15.53,15.34,15.36,15.36,33700
2012-06-27,15.35,15.49,15.35,15.41,15.41,9600
2012-06-28,15.44,15.53,15.44,15.51,15.51,10900
2012-06-29,15.55,15.61,15.49,15.61,15.61,8700
2012-07-02,15.61,15.69,15.61,15.65,15.65,19700
2012-07-03,15.68,15.78,15.68,15.78,15.78,7200
2012-07-05,15.8,15.8,15.73,15.77,15.77,9100
2012-07-06,15.77,15.77,15.68,15.71,15.71,9100
2012-07-09,15.7,15.72,15.66,15.72,15.72,7000
2012-07-10,15.75,15.84,15.75,15.84,15.84,13500
2012-07-11,15.74,15.75,15.67,15.69,15.69,26300
2012-07-12,15.77,15.77,15.62,15.65,15.65,5700
2012-07-13,15.7,15.7,15.61,15.61,15.61,10800
2012-07-16,15.64,15.67,15.64,15.65,15.65,2400
2012-07-17,15.68,15.77,15.65,15.7,15.7,21900
2012-07-18,15.72,15.78,15.72,15.75,15.75,9300
2012-07-19,15.74,15.82,15.74,15.82,15.82,6300
2012-07-20,15.79,15.79,15.76,15.79,15.79,6100
2012-07-23,15.83,15.86,15.8,15.83,15.83,5000
2012-07-24,15.68,15.78,15.62,15.69,15.69,22600
2012-07-25,15.68,15.78,15.68,15.78,15.78,13900
2012-07-26,15.77,15.79,15.69,15.7,15.7,7000
2012-07-27,15.74,15.8,15.55,15.64,15.64,31000
2012-07-30,15.65,15.67,15.61,15.63,15.63,7500
