Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.1,15.28,15.06,15.28,9.508086,56400
2012-02-22,15.25,15.26,15.13,15.17,9.439643,76000
2012-02-23,15.25,15.25,15.06,15.13,9.414748,56600
2012-02-24,15.18,15.27,15.15,15.27,9.501867,30600
2012-02-27,15.31,15.4,15.26,15.31,9.526756,81700
2012-02-28,15.35,15.37,15.25,15.37,9.564095,60300
2012-02-29,15.33,15.41,15.26,15.34,9.545421,60700
2012-03-01,15.28,15.42,15.28,15.38,9.570313,92000
2012-03-02,15.39,15.43,15.31,15.37,9.564095,48800
2012-03-05,15.4,15.4,15.26,15.29,9.51431,59100
2012-03-06,15.33,15.36,15.22,15.24,9.483198,75300
2012-03-07,15.32,15.36,15.26,15.32,9.532981,35800
2012-03-08,15.34,15.43,15.31,15.36,9.55787,59900
2012-03-09,15.42,15.43,15.35,15.4,9.58276,59700
2012-03-12,15.44,15.44,15.36,15.4,9.58276,42700
2012-03-13,15.38,15.4,15.28,15.37,9.610902,46800
2012-03-14,15.32,15.35,15.03,15.04,9.40455,64200
2012-03-15,15.11,15.11,14.66,14.73,9.210704,153400
2012-03-16,14.75,14.75,14.17,14.47,9.048129,280500
2012-03-19,14.38,14.68,14.36,14.61,9.135665,136100
2012-03-20,14.64,14.82,14.64,14.82,9.266977,70800
2012-03-21,14.9,14.93,14.73,14.89,9.31075,74700
2012-03-22,14.94,14.96,14.79,14.89,9.31075,145500
2012-03-23,14.9,14.93,14.76,14.77,9.235716,50700
2012-03-26,14.83,14.83,14.67,14.78,9.241965,44400
2012-03-27,14.8,14.8,14.62,14.76,9.229465,81100
2012-03-28,14.76,14.95,14.74,14.95,9.348274,108600
2012-03-29,14.92,15.02,14.85,14.86,9.291995,44900
2012-03-30,14.95,14.98,14.86,14.96,9.354526,67500
2012-04-02,15.03,15.06,14.71,14.85,9.285746,89500
2012-04-03,14.92,14.92,14.82,14.86,9.291995,37400
2012-04-04,14.85,14.94,14.85,14.93,9.335765,46400
2012-04-05,14.98,14.99,14.92,14.98,9.367028,37700
2012-04-09,14.99,15.1,14.99,15.08,9.42956,24000
2012-04-10,15.02,15.17,15.02,15.11,9.448321,43600
2012-04-11,15.04,15.19,15.04,15.12,9.501736,55400
2012-04-12,15.06,15.17,15.04,15.11,9.495453,33600
2012-04-13,15.19,15.19,15.05,15.17,9.533157,24400
2012-04-16,15.2,15.2,15.05,15.07,9.470314,59000
2012-04-17,15.14,15.14,15.04,15.05,9.457747,14000
2012-04-18,15.13,15.13,15.03,15.1,9.489167,44900
2012-04-19,15.16,15.16,15.05,15.1,9.489167,55500
2012-04-20,15.15,15.15,15.05,15.1,9.489167,43200
2012-04-23,15.1,15.16,15.06,15.06,9.464032,74700
2012-04-24,15.12,15.13,15.06,15.12,9.501736,52400
2012-04-25,15.15,15.2,15.11,15.16,9.526873,34700
2012-04-26,15.2,15.25,15.12,15.15,9.520587,63800
