Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,27.934,27.98,27.629999,27.65,19.620466,707000
2012-02-22,27.92,28.1,27.76,27.804001,19.729744,1117500
2012-02-23,28.736,28.736,28.375999,28.573999,20.276136,1319500
2012-02-24,28.74,28.875999,28.618,28.688,20.357031,811500
2012-02-27,28.302,28.468,28.184,28.438,20.17963,1096500
2012-02-28,28.738001,28.964001,28.716,28.916,20.51882,1144000
2012-02-29,28.302,28.417999,28.02,28.066,19.915661,2306500
2012-03-01,28.294001,28.596001,28.268,28.542,20.253428,905000
2012-03-02,28.268,28.332001,28.200001,28.290001,20.074612,1135500
2012-03-05,28.388,28.388,28.15,28.256001,20.050486,866000
2012-03-06,27.732,27.870001,27.4,27.496,19.511189,1739000
2012-03-07,27.944,27.996,27.676001,27.874001,19.779419,1053000
2012-03-08,27.888,28.200001,27.858,28.122,19.955397,817500
2012-03-09,28.098,28.33,28.062,28.294001,20.077448,1752500
2012-03-12,28.35,28.459999,28.337999,28.406,20.156921,743500
2012-03-13,28.402,28.528,28.351999,28.528,20.243496,941000
2012-03-14,28.436001,28.511999,28.062,28.177999,19.995134,713500
2012-03-15,28.264,28.326,28.063999,28.312,20.090221,8245500
2012-03-16,28.441999,28.643999,28.441999,28.458,20.193823,820000
2012-03-19,28.5,28.846001,28.43,28.768,20.413799,779000
2012-03-20,28.596001,28.799999,28.535999,28.778,20.420898,1017000
2012-03-21,28.672001,28.983999,28.672001,28.941999,20.537268,750000
2012-03-22,28.129999,28.365999,28.101999,28.33,22.01153,1265000
2012-03-23,27.996,28.09,27.746,27.966,21.728714,1301500
2012-03-26,28.290001,28.516001,28.219999,28.482,22.129629,751500
2012-03-27,28.284,28.356001,27.993999,28.032,21.779993,1382000
2012-03-28,28.488001,28.514,28.24,28.290001,21.980453,1031000
2012-03-29,27.768,28,27.629999,27.940001,21.708513,1254500
2012-03-30,27.875999,27.950001,27.540001,27.742001,21.554672,935500
