Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,9.98,10.08,9.98,10.02,10.02,56200
2012-02-22,10.05,10.08,10,10.05,10.05,21300
2012-02-23,10.04,10.08,10.02,10.07,10.07,47900
2012-02-24,10.08,10.09,10.04,10.07,10.07,46200
2012-02-27,10.06,10.17,10.02,10.04,10.04,65400
2012-02-28,10.1,10.2,10.05,10.2,10.2,39400
2012-02-29,10.18,10.21,10.13,10.15,10.15,74100
2012-03-01,10.2,10.24,10.18,10.24,10.24,97000
2012-03-02,10.24,10.26,10.2,10.24,10.24,66100
2012-03-05,10.28,10.3,10.21,10.29,10.29,47700
2012-03-06,10.26,10.27,10.21,10.23,10.23,60100
2012-03-07,10.2,10.4,10.2,10.36,10.36,54800
2012-03-08,10.32,10.38,10.31,10.32,10.32,51200
2012-03-09,10.28,10.32,10.25,10.26,10.26,40500
2012-03-12,10.26,10.3,10.1,10.16,10.16,106800
2012-03-13,10.22,10.22,10.13,10.13,10.13,60600
2012-03-14,10.13,10.16,9.94,9.95,9.95,127000
2012-03-15,10,10,9.66,9.72,9.72,326800
2012-03-16,9.71,10.02,9.65,9.91,9.91,386700
2012-03-19,9.85,10.08,9.78,10,10,100700
2012-03-20,10,10.03,9.9,9.92,9.92,65200
2012-03-21,9.96,9.96,9.84,9.9,9.9,86600
2012-03-22,9.9,9.94,9.88,9.88,9.88,47600
2012-03-23,9.88,9.96,9.86,9.89,9.89,74100
2012-03-26,9.96,9.96,9.83,9.85,9.85,85500
2012-03-27,9.85,9.85,9.67,9.75,9.75,200500
2012-03-28,9.81,9.9,9.74,9.89,9.89,105900
2012-03-29,9.9,9.92,9.85,9.89,9.89,54300
2012-03-30,9.9,9.98,9.86,9.87,9.87,89300
2012-04-02,9.96,9.97,9.85,9.87,9.87,71500
2012-04-03,9.92,9.95,9.88,9.91,9.91,80000
2012-04-04,9.91,9.95,9.9,9.95,9.95,26200
2012-04-05,9.91,9.97,9.86,9.96,9.96,73800
2012-04-09,9.96,10.05,9.95,9.99,9.99,53200
2012-04-10,9.92,9.99,9.92,9.95,9.95,44400
2012-04-11,9.98,9.98,9.95,9.96,9.96,28000
2012-04-12,9.96,9.99,9.95,9.98,9.98,28600
2012-04-13,9.96,9.98,9.94,9.98,9.98,31400
2012-04-16,10,10.04,9.96,9.97,9.97,63700
2012-04-17,10,10.1,9.98,10.1,10.1,63600
2012-04-18,10.09,10.1,10.04,10.1,10.1,71000
2012-04-19,10.07,10.13,10.04,10.09,10.09,38600
2012-04-20,10.1,10.11,10.04,10.06,10.06,32600
2012-04-23,10.1,10.12,10.08,10.12,10.12,45300
2012-04-24,10.12,10.19,10.11,10.19,10.19,55900
2012-04-25,10.14,10.18,10.13,10.13,10.13,42800
2012-04-26,10.15,10.16,10.11,10.14,10.14,41600
2012-04-27,10.14,10.19,10.14,10.18,10.18,28400
