Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.91,12.08,11.76,11.98,10.937348,2359200
2012-02-22,11.97,12.14,11.81,12.06,11.010385,1563000
2012-02-23,12.12,12.39,12,12.15,11.092552,1498800
2012-02-24,12.25,12.34,12.15,12.17,11.110811,1084300
2012-02-27,12.2,12.2,11.86,12.11,11.056033,1416200
2012-02-28,12.16,12.25,12.04,12.19,11.12907,1349600
2012-02-29,12.28,12.37,12,12.11,11.056033,1302500
2012-03-01,12.12,12.89,12.1,12.8,11.685981,2272800
2012-03-02,12.73,12.79,12.35,12.65,11.549035,1939500
2012-03-05,12.53,12.53,12.17,12.23,11.165588,857400
2012-03-06,12,12,11.42,11.5,10.499123,1465500
2012-03-07,11.56,11.87,11.5,11.74,10.718236,983000
2012-03-08,11.95,11.98,11.82,11.9,10.864309,1336400
2012-03-09,11.95,11.98,11.72,11.76,10.736494,1379100
2012-03-12,11.74,11.82,11.32,11.35,10.362179,1230600
2012-03-13,11.41,11.61,11.2,11.42,10.426085,1177200
2012-03-14,11.41,11.41,10.91,11.02,10.060898,2585000
2012-03-15,11.02,11.05,10.76,10.88,9.933084,2135400
2012-03-16,10.96,11,10.85,10.89,9.942214,2024900
2012-03-19,10.9,10.93,10.71,10.73,9.796139,1597700
2012-03-20,10.6,10.72,10.43,10.7,9.768749,894800
2012-03-21,10.58,10.69,10.28,10.63,9.704842,1977700
2012-03-22,10.38,10.55,10.11,10.3,9.403563,2168500
2012-03-23,10.33,10.35,10.14,10.32,9.421821,2289400
2012-03-26,10.5,10.55,10.36,10.41,9.503989,1540000
2012-03-27,10.47,10.48,10.03,10.04,9.166191,1315800
2012-03-28,10.03,10.09,9.61,9.69,8.846653,2026200
2012-03-29,9.75,9.83,9.48,9.65,8.810133,1623000
2012-03-30,9.72,10.07,9.62,10.03,9.157062,1298300
2012-04-02,10.04,10.12,9.96,9.99,9.120543,1683200
2012-04-03,9.99,9.99,9.6,9.71,8.864912,1790200
2012-04-04,9.57,9.59,9.43,9.54,8.709709,2116200
2012-04-05,9.52,9.74,9.48,9.53,8.700577,1664700
2012-04-09,9.34,9.44,9.11,9.29,8.481465,1377700
2012-04-10,9.24,9.34,8.79,8.82,8.052371,1797000
2012-04-11,8.94,9.04,8.84,8.87,8.098019,1266100
2012-04-12,8.98,9.51,8.96,9.5,8.673187,2267400
2012-04-13,9.42,9.42,9.1,9.1,8.308002,1315600
2012-04-16,9.18,9.28,8.84,8.85,8.079762,2003600
2012-04-17,9.06,9.25,8.98,9.04,8.253223,1375200
2012-04-18,8.99,9.19,8.87,8.93,8.152799,1488300
2012-04-19,8.93,9.29,8.93,9.09,8.298874,2488900
2012-04-20,9.23,9.34,9.16,9.19,8.390169,2184600
2012-04-23,8.95,9.12,8.86,9.12,8.326262,1361900
2012-04-24,9.14,9.27,9.02,9.22,8.417558,1331400
2012-04-25,9.31,9.81,9.26,9.81,8.95621,2524900
2012-04-26,9.66,9.77,9.43,9.49,8.664061,2179000
2012-04-27,9.49,9.53,9.24,9.27,8.463207,1610800
2012-04-30,9.25,9.26,9.04,9.24,8.435817,1520300
2012-05-01,9.24,9.58,9.2,9.44,8.618408,1114600
2012-05-02,9.36,9.36,9.18,9.24,8.435817,709900
2012-05-03,9.24,9.25,8.83,8.89,8.116281,1064600
2012-05-04,8.8,8.84,8.44,8.58,7.833258,1335500
2012-05-07,8.5,8.62,8.24,8.62,7.869777,1329400
2012-05-08,8.54,8.54,8.09,8.42,7.687184,2187100
2012-05-09,8.2,8.46,8.1,8.37,7.641536,1731800
2012-05-10,8.48,8.71,8.34,8.35,7.623277,1314500
2012-05-11,8.32,8.5,8.2,8.23,7.51372,696400
2012-05-14,8.09,8.09,7.84,7.85,7.166793,1393000
2012-05-15,7.82,7.88,7.47,7.47,6.819865,1387300
2012-05-16,7.47,7.7,7.21,7.24,6.609883,2066100
2012-05-17,7.25,7.56,7.21,7.33,6.69205,1708700
2012-05-18,7.42,7.52,7.19,7.24,6.609883,941100
2012-05-21,7.26,7.75,7.26,7.74,7.066365,761300
2012-05-22,7.65,7.74,7.52,7.61,6.94768,1464400
2012-05-23,7.52,7.9,7.37,7.81,7.130274,1411300
2012-05-24,7.87,8.06,7.55,7.7,7.029848,1830100
2012-05-25,7.7,8.01,7.65,7.95,7.258089,1071000
2012-05-29,8.24,8.38,8.11,8.18,7.468073,863600
2012-05-30,7.95,7.95,7.64,7.72,7.048107,1356400
2012-05-31,7.72,7.78,7.4,7.73,7.057237,1343000
2012-06-01,7.6,7.63,7.39,7.52,6.865514,1551500
2012-06-04,7.62,7.62,7.16,7.43,6.783347,1878800
2012-06-05,7.41,7.78,7.37,7.61,6.94768,1773000
2012-06-06,7.78,8.05,7.75,7.93,7.23983,2077600
2012-06-07,8.13,8.19,7.85,7.89,7.203312,1499700
2012-06-08,7.79,7.89,7.64,7.76,7.084626,1502800
2012-06-11,7.93,7.97,7.31,7.31,6.67379,1710900
2012-06-12,7.4,7.5,7.34,7.43,6.783347,2510600
2012-06-13,7.36,7.37,7.05,7.09,6.472938,3773900
2012-06-14,7.12,7.28,6.93,7.05,6.436419,2940000
2012-06-15,7.08,7.21,7.04,7.21,6.582494,1381900
2012-06-18,7.16,7.16,6.91,6.94,6.335993,2206200
2012-06-19,7.03,7.11,6.96,6.97,6.363381,2315000
2012-06-20,7.01,7.06,6.8,6.89,6.290344,2345300
2012-06-21,6.88,6.91,6.34,6.34,5.788212,4619800
2012-06-22,6.47,6.48,6.25,6.31,5.760822,3097500
2012-06-25,6.25,6.25,5.99,6.05,5.523452,2232200
2012-06-26,6.03,6.05,5.82,5.86,5.349988,2202500
2012-06-27,5.98,6.34,5.94,6.29,5.742564,3634100
2012-06-28,6.19,6.32,6.08,6.28,5.733434,2704600
2012-06-29,6.64,6.82,6.57,6.82,6.226437,3341700
2012-07-02,6.77,6.87,6.64,6.84,6.244697,979200
2012-07-03,6.95,7.14,6.91,7.05,6.436419,1133900
2012-07-05,6.98,7.09,6.83,7.02,6.40903,1277600
2012-07-06,6.87,6.91,6.76,6.83,6.235566,703800
2012-07-09,6.83,6.94,6.72,6.82,6.226437,829200
2012-07-10,6.86,6.91,6.5,6.59,6.016454,1008700
2012-07-11,6.61,6.77,6.6,6.72,6.135139,1151900
2012-07-12,6.6,6.64,6.35,6.38,5.824731,1295800
2012-07-13,6.44,6.47,6.28,6.39,5.833861,1139200
2012-07-16,6.38,6.51,6.28,6.45,5.888638,959300
2012-07-17,6.51,6.9,6.43,6.86,6.262955,1758200
2012-07-18,6.83,7.16,6.76,7.13,6.509456,1861600
2012-07-19,7.23,7.7,7.2,7.53,6.874643,3101600
2012-07-20,7.41,7.56,7.37,7.51,6.856384,1394900
2012-07-23,7.4,7.49,7.23,7.45,6.801606,1320300
2012-07-24,7.47,7.51,7.23,7.32,6.68292,1853700
2012-07-25,7.44,7.6,7.15,7.33,6.69205,2066100
2012-07-26,7.48,7.91,7.48,7.89,7.203312,2149400
2012-07-27,7.91,8.09,7.8,7.96,7.26722,1843000
2012-07-30,7.98,8.12,7.86,8.11,7.404164,1574700
2012-07-31,8.1,8.28,7.98,7.99,7.294607,1646900
2012-08-01,8.06,8.4,8.03,8.32,7.595888,1679700
2012-08-02,8.13,8.32,7.91,7.97,7.276349,1839600
2012-08-03,8.18,8.28,7.97,8.06,7.358517,1990000
2012-08-06,8.05,8.39,8.02,8.35,7.623277,1067900
2012-08-07,8.29,8.64,8.24,8.53,7.787611,2932100
2012-08-08,8.48,8.62,8.38,8.45,7.714572,1225800
2012-08-09,8.42,8.9,8.41,8.81,8.043242,2306200
2012-08-10,8.72,8.93,8.59,8.9,8.125407,2149400
2012-08-13,8.83,8.96,8.46,8.54,7.796739,3022100
2012-08-14,8.62,8.79,8.56,8.68,7.924556,2290100
2012-08-15,8.67,8.71,8.6,8.64,7.888037,1066800
2012-08-16,8.69,8.82,8.66,8.78,8.015853,1464800
2012-08-17,8.75,8.82,8.69,8.72,7.961074,1380300
2012-08-20,8.69,8.87,8.62,8.81,8.043242,2192300
2012-08-21,8.87,9.01,8.71,8.73,7.970203,2191800
2012-08-22,8.69,8.75,8.44,8.65,7.897166,1707800
2012-08-23,8.63,8.63,8.35,8.39,7.659796,1253900
2012-08-24,8.36,8.38,8.12,8.25,7.531979,2167800
2012-08-27,8.26,8.31,7.86,7.89,7.203312,2523400
2012-08-28,7.94,8,7.83,7.89,7.203312,1157700
2012-08-29,7.89,7.95,7.55,7.74,7.066365,1134200
2012-08-30,7.68,7.72,7.37,7.4,6.755957,1713900
2012-08-31,7.49,7.61,7.4,7.44,6.792476,1688800
2012-09-04,7.45,7.48,7.31,7.44,6.792476,2108500
2012-09-05,7.47,7.56,7.35,7.54,6.883773,1451700
2012-09-06,7.65,7.94,7.63,7.82,7.139404,1721300
2012-09-07,7.78,8.49,7.78,8.32,7.595888,3816700
2012-09-10,8.29,8.6,8.24,8.39,7.659796,1781300
2012-09-11,8.42,8.8,8.42,8.69,7.933685,1761900
2012-09-12,8.76,8.82,8.62,8.68,7.924556,1036300
2012-09-13,8.85,9.09,8.75,9.04,8.253223,3777900
2012-09-14,9.18,9.6,9.18,9.29,8.481465,2755900
2012-09-17,9.24,9.27,8.89,9.03,8.244094,1222800
2012-09-18,8.94,8.99,8.76,8.89,8.116281,2011100
2012-09-19,8.83,8.98,8.73,8.83,8.061502,1696300
2012-09-20,8.7,9.06,8.6,8.96,8.180186,1777000
2012-09-21,9.16,9.23,8.95,8.99,8.207573,2625300
2012-09-24,8.87,8.87,8.52,8.57,7.82413,2232400
2012-09-25,8.63,8.67,8.11,8.23,7.51372,2767700
2012-09-26,8.16,8.17,7.85,7.95,7.258089,2497400
2012-09-27,8.06,8.11,7.9,7.97,7.276349,2343500
