Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,24.07,24.950001,23.92,24.209999,5.258156,647900
2012-02-22,24,24.030001,23.35,23.620001,5.130016,714100
2012-02-23,23.620001,23.93,23.530001,23.879999,5.186485,432200
2012-02-24,23.950001,24.23,23.639999,23.77,5.162594,454000
2012-02-27,23.870001,24.09,23.77,24.059999,5.225579,305600
2012-02-28,24.110001,24.4,24.01,24.120001,5.238612,334700
2012-02-29,24.280001,24.450001,23.66,24.25,5.266846,351400
2012-03-01,24.33,24.83,24.25,24.719999,5.368924,447100
2012-03-02,24.809999,24.9,24.450001,24.74,5.373269,358100
2012-03-05,24.83,25,24.450001,24.950001,5.418878,348300
2012-03-06,24.700001,24.719999,24.01,24.09,5.232095,368900
2012-03-07,24.1,24.75,24.1,24.48,5.316798,444500
2012-03-08,24.690001,25.049999,24.530001,24.690001,5.36241,365400
2012-03-09,24.84,25.1,24.65,24.68,5.360236,509000
2012-03-12,24.860001,24.950001,24.57,24.85,5.39716,251200
2012-03-13,25,25,24.719999,24.780001,5.381954,295200
2012-03-14,24.889999,25,24.549999,24.700001,5.364579,316800
2012-03-15,23.58,24.030001,23.540001,23.98,5.208204,1791200
2012-03-16,23.85,23.93,23.549999,23.719999,5.151734,418500
2012-03-19,23.690001,23.709999,23.360001,23.6,5.125673,438100
2012-03-20,23.43,23.43,22.719999,23.129999,5.023592,660200
2012-03-21,23.24,23.290001,22.76,22.9,4.973639,355700
2012-03-22,22.799999,22.82,21.76,22.34,4.852014,884800
2012-03-23,22.24,23.1,22.07,22.700001,4.930202,460700
2012-03-26,22.93,23.27,22.530001,23.17,5.032279,310600
2012-03-27,23.200001,23.5,22.66,23.379999,5.077892,361700
2012-03-28,23.309999,23.42,22.780001,23.25,5.049656,356600
2012-03-29,23.200001,23.370001,22.530001,22.889999,4.971468,326800
2012-03-30,23.07,23.450001,22.75,23.309999,5.062688,276500
2012-04-02,23.440001,23.549999,23.280001,23.5,5.103954,294100
2012-04-03,23.48,23.57,23.02,23.18,5.034454,241300
2012-04-04,23,23.42,22.83,22.99,4.993187,164000
2012-04-05,23.1,23.18,22.280001,22.5,4.886764,385800
2012-04-09,22.25,22.299999,21.860001,21.860001,4.747763,497200
2012-04-10,21.879999,22.07,21.1,21.35,4.636995,639800
2012-04-11,21.5,22.1,21.450001,21.950001,4.76731,380500
2012-04-12,21.959999,22.41,21.799999,22.32,4.847671,240000
2012-04-13,22.33,22.469999,22.110001,22.26,4.83464,139800
2012-04-16,22.379999,22.68,22.290001,22.58,4.904139,154500
2012-04-17,22.620001,22.879999,22.610001,22.67,4.923687,161100
2012-04-18,22.67,22.77,22.5,22.559999,4.899795,214900
2012-04-19,22.700001,22.91,22.559999,22.639999,4.917171,156100
2012-04-20,22.84,23.25,22.709999,23.030001,5.001874,188700
2012-04-23,22.540001,23.34,22.540001,23.24,5.047483,212900
2012-04-24,23.299999,23.719999,23.1,23.540001,5.11264,276000
2012-04-25,23.610001,23.66,23.35,23.4,5.082234,188100
2012-04-26,23.370001,23.5,23.35,23.4,5.082234,118400
2012-04-27,23.440001,23.540001,23.25,23.299999,5.060515,183600
2012-04-30,23.469999,23.82,23.1,23.65,5.136532,377900
2012-05-01,23.700001,23.719999,23.610001,23.690001,5.145219,289700
2012-05-02,23.65,23.85,23.209999,23.209999,5.040968,358400
2012-05-03,23.17,23.5,22.91,23.27,5.054,319000
2012-05-04,23.299999,23.48,22.709999,23.27,5.054,454700
2012-05-07,23.26,23.299999,22.83,23,4.995358,154000
2012-05-08,22.969999,23.030001,22.549999,22.99,4.993187,247200
2012-05-09,22.809999,23.049999,22.540001,22.75,4.941061,294400
2012-05-10,22.870001,23,22.77,22.799999,4.95192,235000
2012-05-11,22.1,22.459999,21.790001,21.959999,4.894361,70400
2012-05-14,21.709999,21.709999,20.65,20.690001,4.611308,541100
2012-05-15,20.719999,20.959999,19.639999,19.76,4.404034,745700
2012-05-16,19.74,20.18,19.209999,20.07,4.473125,618900
2012-05-17,20.030001,20.280001,19.049999,19.23,4.285909,577100
2012-05-18,19.200001,19.889999,19.18,19.389999,4.32157,324900
2012-05-21,19.370001,20.6,19.370001,20.5,4.568962,327500
2012-05-22,20.65,20.940001,20.049999,20.09,4.477583,321800
2012-05-23,20,20.23,19.299999,19.98,4.453066,326000
2012-05-24,20.07,20.25,19.780001,19.950001,4.446382,113100
2012-05-25,20.01,20.07,19.4,19.66,4.381746,192200
2012-05-29,19.83,20.68,19.700001,20.610001,4.593478,351900
2012-05-30,20.5,20.549999,19.9,20,4.457525,235100
2012-05-31,20,20.370001,19.559999,19.940001,4.444151,220200
2012-06-01,19.549999,19.690001,18.620001,19.290001,4.299283,510400
2012-06-04,19.200001,19.280001,18.190001,18.219999,4.060804,525900
2012-06-05,18.120001,18.75,18.1,18.43,4.107608,247200
2012-06-06,18.620001,19.5,18.49,18.49,4.120981,417200
2012-06-07,18.860001,19.4,18.68,19.09,4.254706,271900
2012-06-08,19.02,19.4,18.809999,19.299999,4.30151,171200
2012-06-11,19.68,19.68,18.799999,18.84,4.198987,205000
2012-06-12,19,19.02,18.58,18.93,4.219047,128900
2012-06-13,18.879999,18.959999,18.6,18.690001,4.165557,213300
2012-06-14,18.799999,18.93,18.6,18.84,4.198987,169500
2012-06-15,18.889999,18.98,18.620001,18.969999,4.227962,154700
2012-06-18,18.9,19,18.6,18.700001,4.167786,207800
2012-06-19,18.82,19.5,18.76,19.35,4.312654,229500
2012-06-20,19.4,19.870001,19.26,19.309999,4.30374,203800
2012-06-21,19.290001,19.309999,18.51,18.57,4.13881,230100
2012-06-22,18.84,19,18.620001,18.950001,4.223503,208600
2012-06-25,18.84,19.120001,18.549999,18.780001,4.185616,184200
2012-06-26,18.799999,19.32,18.799999,19.1,4.256935,137800
2012-06-27,19.08,20.02,19.08,19.9,4.435236,204100
2012-06-28,19.84,20.200001,19.67,19.940001,4.444151,132800
2012-06-29,20.4,20.5,20.110001,20.26,4.515471,186600
2012-07-02,20.219999,20.23,19.82,20.059999,4.470896,128100
2012-07-03,19.889999,20.299999,19.58,19.950001,4.446382,344100
2012-07-05,19.959999,19.99,19.51,19.75,4.401806,251000
2012-07-06,19.629999,19.85,19.43,19.75,4.401806,165400
2012-07-09,19.809999,19.809999,19.5,19.690001,4.388431,144000
2012-07-10,20.129999,20.129999,19.15,19.5,4.346085,260500
2012-07-11,19.59,19.950001,19.280001,19.879999,4.430778,134300
2012-07-12,19.74,19.99,19.530001,19.870001,4.42855,125100
2012-07-13,19.950001,20.25,19.83,20.110001,4.48204,187900
2012-07-16,20.02,20.459999,20,20.379999,4.542216,132700
2012-07-17,20.469999,20.700001,20.27,20.6,4.591249,196800
2012-07-18,20.610001,20.950001,20.6,20.76,4.626911,171000
2012-07-19,20.790001,21.1,20.790001,21.02,4.684859,109700
2012-07-20,21,21.049999,20.809999,20.9,4.658112,105500
2012-07-23,20.32,20.84,20.25,20.700001,4.613536,151400
2012-07-24,20.68,20.799999,20.309999,20.440001,4.55559,85900
2012-07-25,20.52,20.530001,20.299999,20.360001,4.537759,64500
2012-07-26,20.709999,20.83,20.440001,20.809999,4.638052,108900
2012-07-27,20.9,20.959999,20.5,20.57,4.584563,238900
2012-07-30,20.549999,20.99,20.5,20.65,4.602391,187500
2012-07-31,20.74,20.82,20.43,20.48,4.564505,147600
2012-08-01,20.51,20.58,20.43,20.469999,4.562274,153400
2012-08-02,20.32,20.5,20.25,20.370001,4.539988,119400
