Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.74,12.81,12.67,12.81,4.706993,472500
2012-02-22,12.8,12.84,12.77,12.81,4.706993,331900
2012-02-23,12.81,12.9,12.8,12.9,4.740064,338100
2012-02-24,12.9,12.99,12.9,12.97,4.765787,485700
2012-02-27,12.95,12.99,12.92,12.95,4.758436,466900
2012-02-28,12.93,12.95,12.85,12.93,4.751087,473000
2012-02-29,12.98,12.98,12.89,12.94,4.754761,349700
2012-03-01,12.96,12.99,12.91,12.95,4.758436,421100
2012-03-02,12.96,12.97,12.92,12.97,4.765787,483200
2012-03-05,12.92,13.01,12.92,12.99,4.773134,471700
2012-03-06,12.98,13.05,12.94,12.94,4.754761,870900
2012-03-07,12.99,13.04,12.93,13,4.776807,535400
2012-03-08,12.99,13.01,12.92,13.01,4.825772,530200
2012-03-09,12.97,13,12.93,12.95,4.803516,512900
2012-03-12,12.93,12.98,12.91,12.97,4.810936,444100
2012-03-13,13,13.03,12.9,12.96,4.807224,490200
2012-03-14,12.97,12.97,12.84,12.86,4.770132,446700
2012-03-15,12.86,12.93,12.79,12.86,4.770132,410000
2012-03-16,12.8,12.88,12.66,12.68,4.703366,581200
2012-03-19,12.69,12.7,12.17,12.4,4.599504,1421700
2012-03-20,12.36,12.58,12.3,12.32,4.56983,718100
2012-03-21,12.36,12.5,12.34,12.48,4.62918,437200
2012-03-22,12.52,12.56,12.45,12.48,4.62918,403800
2012-03-23,12.5,12.63,12.47,12.62,4.681109,393700
2012-03-26,12.65,12.71,12.5,12.7,4.710783,553800
2012-03-27,12.65,12.81,12.54,12.69,4.707071,524000
2012-03-28,12.74,12.75,12.54,12.72,4.718201,451500
2012-03-29,12.73,12.86,12.64,12.82,4.755297,378700
2012-03-30,12.79,12.91,12.75,12.84,4.762713,437700
2012-04-02,12.88,12.95,12.86,12.9,4.784969,388800
2012-04-03,12.9,12.99,12.87,12.9,4.784969,378400
2012-04-04,12.9,13,12.87,12.91,4.788679,629400
2012-04-05,12.93,12.97,12.9,12.95,4.803516,446400
2012-04-09,12.93,13.01,12.85,12.96,4.807224,642000
2012-04-10,12.79,12.84,12.72,12.77,4.781762,565600
2012-04-11,12.77,12.83,12.67,12.67,4.744316,645000
2012-04-12,12.7,12.83,12.65,12.83,4.804228,366700
2012-04-13,12.72,12.85,12.68,12.77,4.781762,236800
2012-04-16,12.83,12.84,12.75,12.79,4.789251,278300
2012-04-17,12.8,12.87,12.79,12.86,4.815463,262700
2012-04-18,12.79,12.86,12.74,12.81,4.79674,390500
2012-04-19,12.83,12.84,12.73,12.8,4.792997,314700
2012-04-20,12.77,12.84,12.75,12.83,4.804228,287500
2012-04-23,12.81,12.84,12.77,12.83,4.804228,318900
2012-04-24,12.94,12.94,12.83,12.88,4.822951,365900
2012-04-25,12.9,12.95,12.9,12.92,4.83793,400600
2012-04-26,12.95,12.98,12.92,12.97,4.856656,238100
2012-04-27,12.99,13.02,12.96,13.01,4.871632,327600
2012-04-30,13.01,13.04,13,13.04,4.882863,317600
2012-05-01,13.05,13.15,13.03,13.14,4.920309,495800
2012-05-02,13.09,13.21,13.09,13.2,4.942775,620500
2012-05-03,13.2,13.24,13.15,13.24,4.957755,418400
2012-05-04,13.17,13.21,13.13,13.14,4.920309,345400
2012-05-07,13.14,13.28,13.03,13.24,4.957755,529000
2012-05-08,13.27,13.29,13.21,13.29,4.976478,587700
2012-05-09,13.21,13.21,12.97,13.05,4.931884,605400
2012-05-10,13.08,13.15,13.04,13.09,4.946999,349000
2012-05-11,13.09,13.21,13.08,13.15,4.969675,382800
2012-05-14,13.15,13.16,13,13,4.912985,425200
2012-05-15,13.01,13.12,12.77,12.79,4.833624,617000
2012-05-16,12.81,12.99,12.8,12.88,4.867636,406500
2012-05-17,12.83,12.9,12.62,12.64,4.776934,587300
2012-05-18,12.75,12.83,12.68,12.79,4.833624,408900
2012-05-21,12.68,12.9,12.64,12.89,4.871415,586900
2012-05-22,12.9,12.9,12.84,12.9,4.875194,510700
2012-05-23,12.81,13.04,12.8,13.01,4.916767,444000
