Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.625,14.955,14.6,14.875,13.751591,10800
2012-02-22,14.895,14.95,14.495,14.68,13.571319,14200
2012-02-23,14.64,15.15,14.64,15.135,13.991955,18400
2012-02-24,15.135,15.44,14.97,15.18,14.033559,23000
2012-02-27,15.05,15.19,14.93,14.96,13.830173,50400
2012-02-28,14.885,14.95,14.775,14.92,13.793193,28600
2012-02-29,14.995,15.075,14.515,14.575,13.474246,36600
2012-03-01,14.555,14.645,14.255,14.3,13.220019,48000
2012-03-02,14.3,14.32,14.025,14.125,13.058234,112600
2012-03-05,14.15,14.49,14.12,14.485,13.391047,32600
2012-03-06,14.23,14.335,14.125,14.28,13.201529,32000
2012-03-07,14.295,14.755,14.295,14.7,13.589809,25400
2012-03-08,14.745,14.745,14.485,14.595,13.492739,24600
2012-03-09,14.52,14.585,14.455,14.495,13.400291,51200
2012-03-12,14.5,14.5,14.305,14.335,13.252376,17800
2012-03-13,14.525,15.09,14.525,15.09,13.950356,18600
2012-03-14,14.945,15.115,14.84,15,13.86715,19200
2012-03-15,15.06,15.15,14.96,15.15,14.005824,7200
2012-03-16,15.09,15.215,15.025,15.205,14.056669,39800
2012-03-19,15.16,15.74,15.13,15.59,14.412594,25000
2012-03-20,15.395,15.395,15.2,15.34,14.181476,9600
2012-03-21,15.31,15.47,15.295,15.43,14.264675,6200
2012-03-22,15.21,15.56,15.09,15.18,14.033559,40800
2012-03-23,15.16,15.6,15.16,15.6,14.421841,15200
2012-03-26,15.83,16.059999,15.73,16.059999,14.847094,25600
2012-03-27,16.035,16.15,15.88,15.89,14.689934,21400
2012-03-28,15.965,15.965,15.6,15.74,14.551264,12600
2012-03-29,15.605,15.605,15.235,15.4,14.236943,10000
2012-03-30,15.59,15.59,14.74,14.74,13.626785,20800
2012-04-02,14.685,15.285,14.685,15.285,14.130629,29000
2012-04-03,15.21,15.21,14.605,14.605,13.501982,12600
2012-04-04,14.515,14.595,14.05,14.165,13.095213,27200
2012-04-05,14.1,14.525,14.1,14.225,13.150682,13400
2012-04-09,13.905,14.2,13.83,13.83,12.785513,21600
2012-04-10,13.865,13.865,12.5,12.615,11.662272,40200
2012-04-11,12.8,12.945,12.635,12.945,11.967354,34400
2012-04-12,12.885,13.145,12.885,13.125,12.133759,14600
2012-04-13,13.005,13.06,12.675,12.87,11.898012,27200
2012-04-16,12.97,13.29,12.89,13.025,12.041309,14200
2012-04-17,13.105,13.525,13.08,13.38,12.3695,14400
2012-04-18,13.25,13.31,12.84,13.075,12.087536,19200
2012-04-19,13.04,13.04,12.08,12.08,11.16768,29200
2012-04-20,12.615,12.91,12.445,12.52,11.574449,34400
2012-04-23,12.265,12.735,12.265,12.605,11.653029,32000
2012-04-24,12.62,12.965,12.62,12.935,11.958106,9800
2012-04-25,13.155,13.285,13.085,13.285,12.281674,13400
2012-04-26,13.285,13.625,13.285,13.625,12.595997,10000
2012-04-27,13.725,14.03,13.7,13.985,12.928805,11600
2012-04-30,13.91,13.96,13.495,13.775,12.734668,22000
2012-05-01,13.84,14.045,13.245,13.255,12.253942,24200
2012-05-02,13.23,13.57,12.815,13.365,12.35563,32000
2012-05-03,13.31,13.41,13.15,13.28,12.277049,24000
2012-05-04,13.2,13.305,13.015,13.035,12.050556,33000
2012-05-07,12.945,13.265,12.945,13.18,12.184606,22000
2012-05-08,12.96,13.495,12.96,13.395,12.383368,26800
2012-05-09,13.195,13.75,13.07,13.495,12.475815,19200
2012-05-10,13.445,14.07,13.445,13.86,12.813251,26800
2012-05-11,13.75,13.97,13.645,13.86,12.813251,18800
2012-05-14,13.635,13.735,13.31,13.65,12.619106,31000
2012-05-15,13.59,13.69,13.39,13.455,12.438834,18800
2012-05-16,13.545,13.705,13.345,13.375,12.364878,7200
2012-05-17,13.35,13.415,13.16,13.16,12.166114,22600
2012-05-18,13.155,13.75,13.155,13.425,12.411101,30400
2012-05-21,13.495,13.75,13.31,13.74,12.70231,22600
2012-05-22,13.75,13.75,13.115,13.23,12.230828,26000
2012-05-23,13.5,13.6,13.25,13.455,12.438834,28000
2012-05-24,13.505,13.605,13.225,13.375,12.397125,13200
2012-05-25,13.435,13.635,13.01,13.095,12.137597,36000
2012-05-29,13.32,13.52,13.09,13.215,12.248821,9600
2012-05-30,13.065,13.065,12.65,12.71,11.780744,70400
2012-05-31,12.71,12.825,12.57,12.705,11.776112,65600
2012-06-01,12.44,12.745,12.165,12.54,11.623174,42200
2012-06-04,12.575,13.09,12.56,12.73,11.799282,50000
2012-06-05,12.635,13.29,12.635,13.145,12.183941,26200
2012-06-06,13.23,13.75,13.23,13.745,12.740077,13800
2012-06-07,13.85,13.89,13.57,13.755,12.749344,33800
2012-06-08,13.695,14.195,13.675,14.025,12.999602,24600
