Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,26.99,27.129999,26.85,27.110001,11.250431,35400
2012-02-22,27.09,27.09,26.889999,27.030001,11.217231,44000
2012-02-23,26.93,27.08,26.9,26.969999,11.192336,42100
2012-02-24,26.92,27.139999,26.879999,27.139999,11.262882,37300
2012-02-27,26.959999,27.110001,26.940001,27.01,11.208935,24000
2012-02-28,26.940001,26.959999,26.65,26.790001,11.117635,65100
2012-02-29,26.82,26.969999,26.82,26.91,11.167431,28600
2012-03-01,27.02,27.139999,26.959999,26.959999,11.188181,38000
2012-03-02,26.91,27.1,26.52,26.65,11.059541,116500
2012-03-05,26.68,26.92,26.68,26.92,11.171579,49700
2012-03-06,26.870001,26.9,26.639999,26.690001,11.076137,43800
2012-03-07,26.66,26.940001,26.66,26.91,11.167431,36800
2012-03-08,26.76,27,26.719999,26.969999,11.271922,8600
2012-03-09,26.83,26.99,26.75,26.809999,11.205047,59000
2012-03-12,26.799999,26.99,26.799999,26.959999,11.267737,37400
2012-03-13,26.860001,26.950001,26.709999,26.889999,11.238482,56300
2012-03-14,26.83,26.870001,26.700001,26.77,11.188333,45600
2012-03-15,26.83,26.83,26.57,26.709999,11.163253,49400
2012-03-16,26.639999,26.639999,26.02,26.08,10.899954,114600
2012-03-19,26.16,26.290001,26.01,26.200001,10.950097,55800
2012-03-20,26.1,26.34,25.879999,26.01,10.870698,102300
2012-03-21,25.92,26.280001,25.92,26.17,10.937566,70100
2012-03-22,26.1,26.290001,26.1,26.200001,10.950097,44300
2012-03-23,26.25,26.379999,26.16,26.34,11.008617,64800
2012-03-26,26.360001,26.639999,26.33,26.49,11.071309,46800
2012-03-27,26.5,26.690001,26.5,26.59,11.113101,53900
2012-03-28,26.629999,26.690001,26.5,26.629999,11.12982,62500
2012-03-29,26.41,26.49,26.280001,26.48,11.06713,48100
2012-03-30,26.360001,26.51,26.290001,26.35,11.012802,57000
2012-04-02,26.26,26.48,26.25,26.48,11.06713,29900
2012-04-03,26.389999,26.5,26.389999,26.42,11.042053,40600
2012-04-04,26.35,26.450001,26.280001,26.360001,11.016974,45000
2012-04-05,26.27,26.48,26.26,26.360001,11.016974,33200
2012-04-09,26.25,26.51,26.23,26.51,11.079673,44500
2012-04-10,26.25,26.309999,25.719999,25.76,10.843931,21200
2012-04-11,25.83,26.1,25.83,26.07,10.974422,51300
2012-04-12,25.969999,26.120001,25.91,26.030001,10.957585,27900
2012-04-13,25.93,26.15,25.9,26.110001,10.991263,40600
2012-04-16,26.16,26.18,25.860001,26,10.944966,47200
2012-04-17,26.030001,26.27,25.940001,26.15,11.008101,43400
2012-04-18,26.1,26.280001,26.08,26.24,11.04599,23700
2012-04-19,26.25,26.42,26.17,26.35,11.092296,67200
2012-04-20,26.309999,26.49,26.219999,26.32,11.079668,28000
2012-04-23,26.35,26.389999,26.209999,26.299999,11.071251,46900
2012-04-24,26.26,26.48,26.26,26.48,11.14702,44400
2012-04-25,26.5,26.549999,26.370001,26.549999,11.176489,40200
2012-04-26,26.48,26.68,26.48,26.57,11.184906,49800
2012-04-27,26.57,26.719999,26.559999,26.68,11.231217,33600
2012-04-30,26.620001,26.82,26.620001,26.74,11.256469,36000
2012-05-01,26.780001,26.9,26.690001,26.9,11.323821,57100
2012-05-02,26.76,26.9,26.75,26.889999,11.319614,48000
2012-05-03,26.809999,26.99,26.809999,26.9,11.323821,37000
2012-05-04,26.9,26.959999,26.75,26.879999,11.315404,33500
2012-05-07,26.799999,26.93,26.77,26.82,11.29015,30000
2012-05-08,26.82,26.870001,26.77,26.870001,11.311193,30700
2012-05-09,26.799999,26.799999,26.639999,26.700001,11.31967,6200
2012-05-10,26.700001,26.879999,26.52,26.860001,11.38751,46900
2012-05-11,26.67,26.799999,26.6,26.67,11.306957,31000
2012-05-14,26.610001,26.85,26.58,26.690001,11.315433,50000
2012-05-15,26.57,26.84,26.5,26.58,11.268802,33000
2012-05-16,26.549999,26.690001,26.5,26.51,11.239123,44600
2012-05-17,26.610001,26.610001,26,26,11.022907,74900
2012-05-18,25.959999,26,25.790001,25.93,10.993227,58800
2012-05-21,26,26.379999,25.860001,26.27,11.137371,47300
2012-05-22,26.379999,26.440001,26.209999,26.280001,11.141608,54200
2012-05-23,26.27,26.440001,26.1,26.440001,11.209445,43000
2012-05-24,26.290001,26.620001,26.1,26.6,11.277284,65500
2012-05-25,26.450001,26.6,26.370001,26.450001,11.213686,37200
2012-05-29,26.459999,26.5,26.370001,26.450001,11.213686,37000
2012-05-30,26.360001,26.440001,26.110001,26.25,11.128893,49400
2012-05-31,26.360001,26.370001,26.110001,26.290001,11.145853,20900
2012-06-01,26.190001,26.26,25.98,25.99,11.018668,63000
2012-06-04,25.889999,26.129999,25.709999,26.09,11.06106,56100
2012-06-05,26.1,26.219999,25.799999,26.08,11.056819,45400
2012-06-06,26.08,26.43,26.049999,26.370001,11.179763,69300
2012-06-07,26.209999,26.219999,26.030001,26.17,11.175496,48300
2012-06-08,26.040001,26.469999,26.01,26.4,11.273715,43700
2012-06-11,26.27,26.35,26.08,26.25,11.20966,36000
2012-06-12,26.16,26.459999,26.09,26.34,11.248097,53500
2012-06-13,26.18,26.309999,26.059999,26.129999,11.158416,64600
2012-06-14,26.27,26.360001,26.190001,26.34,11.248097,35400
2012-06-15,26.389999,26.41,26.25,26.299999,11.231009,42300
2012-06-18,26.27,26.41,26.209999,26.41,11.277981,61000
2012-06-19,26.33,26.48,26.309999,26.379999,11.265169,45000
2012-06-20,26.35,26.35,26.17,26.26,11.213932,92000
2012-06-21,26.360001,26.52,26.32,26.459999,11.299335,69900
2012-06-22,26.459999,26.49,26.34,26.450001,11.295073,39700
2012-06-25,26.41,26.620001,26.299999,26.5,11.316418,49400
2012-06-26,26.41,26.75,26.41,26.67,11.389014,72100
2012-06-27,26.780001,26.780001,26.5,26.76,11.427448,42900
2012-06-28,26.67,26.9,26.620001,26.860001,11.470149,48100
2012-06-29,26.889999,26.950001,26.860001,26.879999,11.478691,35800
2012-07-02,26.93,27.18,26.879999,27.16,11.598256,55900
2012-07-03,27.16,27.33,27.16,27.32,11.666586,25300
2012-07-05,27.34,27.43,27.27,27.27,11.64524,68400
2012-07-06,27.26,27.5,27.219999,27.42,11.709289,34400
2012-07-09,27.41,27.879999,27.280001,27.73,11.841674,79000
2012-07-10,27.639999,27.65,27.43,27.629999,11.880367,18800
2012-07-11,27.51,27.940001,27.51,27.77,11.940565,26600
2012-07-12,27.58,27.85,27.52,27.85,11.974971,41400
2012-07-13,27.709999,27.889999,27.709999,27.82,11.962064,46500
2012-07-16,27.75,27.92,27.74,27.809999,11.957763,47100
2012-07-17,27.799999,27.93,27.66,27.889999,11.992167,30800
2012-07-18,27.82,27.98,27.82,27.98,12.030859,25700
2012-07-19,28,28.1,27.91,28.030001,12.052361,31700
2012-07-20,28.02,28.02,27.780001,28,12.03946,41200
2012-07-23,27.93,28.32,27.92,28.299999,12.168456,70800
2012-07-24,28.219999,28.33,28.1,28.25,12.146958,33800
2012-07-25,28.25,28.299999,28.139999,28.299999,12.168456,52800
2012-07-26,28.299999,28.559999,28.27,28.370001,12.198557,63700
2012-07-27,28.41,28.67,28.41,28.610001,12.301754,147700
2012-07-30,28.82,28.82,28.48,28.48,12.245844,66300
2012-07-31,28.49,28.799999,28.49,28.610001,12.301754,87800
2012-08-01,28.83,28.84,28.549999,28.549999,12.275949,23200
