Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.09,12.15,12.05,12.05,7.38544,16500
2012-02-22,12.03,12.05,11.97,11.98,7.342539,27400
2012-02-23,12,12.04,11.95,11.97,7.33641,15400
2012-02-24,11.96,12.03,11.96,11.98,7.342539,13300
2012-02-27,12.02,12.08,11.99,11.99,7.348665,11600
2012-02-28,11.99,12.14,11.99,12.04,7.379309,21500
2012-02-29,12.02,12.14,12.02,12.08,7.403822,15100
2012-03-01,12.13,12.14,12.05,12.11,7.422216,15000
2012-03-02,12.14,12.18,12.02,12.1,7.416082,32000
2012-03-05,12.07,12.12,12.02,12.08,7.403822,15400
2012-03-06,12.09,12.09,11.95,12,7.354793,32600
2012-03-07,12,12.15,12,12.05,7.38544,15500
2012-03-08,11.98,12.02,11.95,11.95,7.364485,16200
2012-03-09,11.95,11.99,11.94,11.94,7.358324,29500
2012-03-12,11.97,12.1,11.97,12.09,7.450763,9700
2012-03-13,12.07,12.07,11.92,11.93,7.352163,26000
2012-03-14,11.9,11.9,11.78,11.88,7.321345,38800
2012-03-15,11.88,11.89,11.75,11.8,7.272046,50700
2012-03-16,11.76,11.76,11.52,11.55,7.117975,61600
2012-03-19,11.61,11.77,11.55,11.65,7.179605,39800
2012-03-20,11.68,11.87,11.59,11.66,7.185766,13900
2012-03-21,11.63,11.78,11.63,11.68,7.198092,13100
2012-03-22,11.7,11.72,11.65,11.65,7.179605,14800
2012-03-23,11.62,11.66,11.6,11.6,7.148792,36100
2012-03-26,11.6,11.6,11.5,11.5,7.087162,26100
2012-03-27,11.51,11.71,11.5,11.61,7.154954,19600
2012-03-28,11.68,11.84,11.6,11.8,7.272046,17500
2012-03-29,11.8,11.98,11.76,11.96,7.370652,36500
2012-03-30,11.96,12.04,11.92,11.92,7.346001,21600
2012-04-02,11.97,11.99,11.93,11.93,7.352163,8500
2012-04-03,11.93,12.02,11.83,11.88,7.321345,16800
2012-04-04,11.89,11.98,11.89,11.98,7.382975,7100
2012-04-05,11.96,11.98,11.85,11.92,7.346001,11200
2012-04-09,11.87,12,11.87,12,7.395298,11600
2012-04-10,12.02,12.04,11.98,12.02,7.44859,24800
2012-04-11,12.03,12.08,12.03,12.05,7.467186,5200
2012-04-12,12.06,12.25,12.05,12.14,7.522955,39600
2012-04-13,12.14,12.26,12.1,12.2,7.560135,11300
2012-04-16,12.22,12.22,12.11,12.18,7.547739,39000
2012-04-17,12.16,12.25,12.14,12.15,7.529152,8900
2012-04-18,12.1,12.14,12.05,12.05,7.467186,14300
2012-04-19,12.06,12.08,12.01,12.02,7.44859,11800
2012-04-20,12.02,12.1,12,12,7.436197,11600
2012-04-23,12,12.04,11.97,12.04,7.460985,20500
2012-04-24,12.05,12.23,12.05,12.17,7.541548,16000
2012-04-25,12.17,12.29,12.16,12.27,7.603516,14100
2012-04-26,12.28,12.3,12.25,12.3,7.622103,12300
2012-04-27,12.25,12.32,12.13,12.19,7.553941,23000
2012-04-30,12.2,12.32,12.2,12.25,7.59112,17000
2012-05-01,12.3,12.35,12.26,12.35,7.65309,29300
2012-05-02,12.35,12.4,12.33,12.4,7.684071,11000
2012-05-03,12.4,12.49,12.4,12.48,7.73365,18000
2012-05-04,12.46,12.48,12.4,12.48,7.73365,13900
2012-05-07,12.45,12.5,12.45,12.5,7.746041,19000
2012-05-08,12.48,12.6,12.42,12.6,7.808012,32300
2012-05-09,12.6,12.64,12.45,12.47,7.768139,16000
2012-05-10,12.49,12.49,12.4,12.48,7.774374,11600
2012-05-11,12.49,12.49,12.46,12.49,7.780601,5700
2012-05-14,12.49,12.55,12.4,12.4,7.724532,12400
2012-05-15,12.43,12.44,12.29,12.41,7.730765,34000
2012-05-16,12.4,12.44,12.34,12.44,7.749455,10000
2012-05-17,12.44,12.77,12.4,12.58,7.836667,73400
2012-05-18,12.58,12.58,12.32,12.4,7.724532,40000
2012-05-21,12.42,12.5,12.27,12.3,7.66224,21300
2012-05-22,12.33,12.41,12.2,12.32,7.674701,15000
2012-05-23,12.33,12.36,12.19,12.29,7.656012,18000
2012-05-24,12.25,12.35,12.24,12.35,7.693389,19000
2012-05-25,12.38,12.42,12.36,12.39,7.718305,15000
2012-05-29,12.46,12.49,12.27,12.31,7.668469,30600
2012-05-30,12.31,12.42,12.28,12.31,7.668469,13100
2012-05-31,12.36,12.38,12.29,12.29,7.656012,15000
2012-06-01,12.34,12.38,12.25,12.28,7.649783,25200
2012-06-04,12.29,12.3,12.26,12.27,7.643553,26900
2012-06-05,12.3,12.39,12.26,12.32,7.674701,16000
2012-06-06,12.39,12.4,12.31,12.31,7.668469,11900
2012-06-07,12.27,12.42,12.22,12.42,7.778698,23400
2012-06-08,12.42,12.48,12.39,12.45,7.797486,14100
2012-06-11,12.39,12.45,12.38,12.38,7.753647,16700
2012-06-12,12.42,12.48,12.38,12.48,7.816278,14600
2012-06-13,12.43,12.45,12.43,12.45,7.797486,9700
2012-06-14,12.57,12.57,12.35,12.35,7.734859,10000
