Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,26.507723,26.662189,26.18536,26.272667,22.2439,551800
2012-02-22,26.171928,26.326393,25.896574,25.943586,21.965282,592300
2012-02-23,25.916723,26.272667,25.862995,26.212223,22.192728,360900
2012-02-24,26.178644,26.453997,25.930155,26.077904,22.079006,574300
2012-02-27,25.822701,26.521154,25.614506,26.380121,22.334881,776900
2012-02-28,26.353258,26.359974,25.842848,26.084621,22.084694,987500
2012-02-29,26.091337,26.359974,25.856279,25.856279,21.891363,2338700
2012-03-01,25.883142,26.245802,25.836132,25.943586,21.965282,916100
2012-03-02,26.044325,26.044325,25.721962,25.762257,21.81176,993700
2012-03-05,25.728678,25.735394,25.466757,25.641371,21.709414,590900
2012-03-06,25.339153,25.359301,24.848892,24.949631,21.123747,762300
2012-03-07,24.936199,25.319006,24.922768,25.204836,21.339815,2605600
2012-03-08,25.386166,25.721962,25.251846,25.681665,21.743526,464500
2012-03-09,25.67495,26.104769,25.587643,25.983881,21.999397,525300
2012-03-12,25.950302,26.18536,25.856279,26.145063,22.135866,654700
2012-03-13,26.212223,26.695768,26.171928,26.695768,22.602127,542400
2012-03-14,26.668905,26.77636,26.36669,26.521154,22.454288,339400
2012-03-15,26.534588,26.863667,26.373405,26.796507,22.687412,416100
2012-03-16,26.816656,26.937542,26.689053,26.749496,22.647614,1223300
2012-03-19,26.722633,26.944258,26.59503,26.850235,22.732906,475400
2012-03-20,26.655474,26.715918,26.427132,26.554735,22.482716,513100
2012-03-21,26.541304,26.628611,26.272667,26.487576,22.425854,459300
2012-03-22,26.198792,26.29953,25.775688,26.245802,22.221155,1092300
2012-03-23,26.259233,26.306246,25.876427,26.104769,22.101749,491900
2012-03-26,26.440563,26.816656,26.440563,26.789791,22.681726,519600
2012-03-27,26.830088,27.112156,26.722633,27.03828,22.892107,720300
2012-03-28,31.61182,32.753525,30.577568,31.108126,26.33787,12242400
2012-03-29,31.014103,31.779718,30.725319,31.658831,26.804125,4953900
2012-03-30,31.692411,32.115513,31.396912,31.97448,27.071375,3362600
2012-04-02,31.820013,31.961048,31.383478,31.645399,26.792757,1631300
2012-04-03,31.605104,31.705843,31.188717,31.370047,26.559624,1345700
2012-04-04,31.134991,31.161854,30.651443,30.967093,26.218466,5193100
2012-04-05,30.80591,30.973808,30.685024,30.732035,26.019447,1639500
2012-04-09,30.2955,30.329081,29.966421,30.288784,25.644173,1062200
2012-04-10,30.201477,30.201477,29.106783,29.247818,24.762831,2285300
2012-04-11,29.576897,29.617193,29.120214,29.408998,24.899296,1334800
2012-04-12,29.751511,29.858965,29.456011,29.657488,25.109678,3184800
2012-04-13,29.590328,29.791807,29.415716,29.583612,25.047132,1536000
2012-04-16,29.697784,29.771658,29.462727,29.503021,24.978897,1921500
2012-04-17,29.717932,29.852249,29.516455,29.637341,25.092625,2864300
2012-04-18,29.469442,29.872398,29.281397,29.81867,25.246143,1395000
2012-04-19,29.771658,30.073875,29.348557,29.711216,25.155167,1133400
2012-04-20,29.798523,30.402954,29.798523,30.087307,25.473589,1054900
2012-04-23,29.697784,29.785091,29.106783,29.623909,25.081253,1399600
2012-04-24,29.838818,30.362659,29.167227,29.583612,25.047132,1845000
2012-04-25,29.603762,29.865683,29.361988,29.751511,25.31572,1781100
2012-04-26,29.670919,29.979853,29.335125,29.442579,25.052847,2572200
2012-04-27,29.630625,29.630625,29.26125,29.30826,24.938555,1640200
2012-04-30,29.314976,29.516455,29.039623,29.106783,24.767124,1888000
2012-05-01,29.247818,29.630625,28.912022,29.140362,24.795691,900100
2012-05-02,28.925453,29.328409,28.770987,29.26125,24.898558,1547900
2012-05-03,29.26125,29.408998,29.046339,29.059772,24.727112,1135000
2012-05-04,28.959032,28.959032,28.435192,28.656816,24.384235,1068300
2012-05-07,28.529215,28.744123,28.495634,28.609806,24.344242,750000
2012-05-08,28.381464,28.918737,28.341169,28.89859,24.589968,1492200
2012-05-09,28.482203,29.039623,28.119543,28.650101,24.378517,1223600
2012-05-10,28.844862,29.120214,28.562794,28.663532,24.38995,647700
2012-05-11,28.549362,29.301544,28.495634,29.19409,24.841404,1132300
2012-05-14,28.865009,28.865009,28.200134,28.247147,24.035648,1452500
2012-05-15,28.260578,28.744123,28.186703,28.495634,24.247084,1232200
2012-05-16,28.636669,28.68368,27.938213,27.951645,23.784203,1377900
2012-05-17,27.891203,27.924782,27.152451,27.179316,23.127024,1299100
2012-05-18,27.293486,27.521826,27.10544,27.21961,23.161312,1330700
2012-05-21,27.374077,27.669577,27.165884,27.588985,23.475611,1313500
2012-05-22,27.736736,28.562794,27.61585,28.428476,24.189941,1363400
2012-05-23,28.15984,28.703829,27.69644,28.676964,24.401382,929100
