Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.88,2.99,2.77,2.82,2.795097,489900
2012-02-22,2.81,2.81,2.7,2.72,2.69598,424200
2012-02-23,2.73,2.79,2.66,2.71,2.686068,351400
2012-02-24,2.71,2.91,2.71,2.83,2.805008,177200
2012-02-27,2.82,2.84,2.75,2.78,2.75545,231100
2012-02-28,2.79,2.8,2.66,2.68,2.656333,229800
2012-02-29,2.68,2.76,2.59,2.67,2.646422,279800
2012-03-01,2.69,2.8,2.6,2.63,2.606775,262000
2012-03-02,2.65,2.67,2.57,2.6,2.577039,165500
2012-03-05,2.61,2.65,2.45,2.49,2.468011,301600
2012-03-06,2.49,2.77,2.49,2.64,2.616687,710100
2012-03-07,2.65,2.77,2.57,2.64,2.616687,145400
2012-03-08,2.67,2.67,2.58,2.6,2.577039,210300
2012-03-09,2.61,2.71,2.57,2.67,2.646422,239000
2012-03-12,2.68,2.88,2.68,2.82,2.795097,463100
2012-03-13,2.88,2.92,2.75,2.77,2.745538,378200
2012-03-14,2.78,3,2.78,2.88,2.854567,387600
2012-03-15,2.88,3.11,2.81,2.92,2.894214,598000
2012-03-16,2.6,2.65,2.05,2.06,2.041808,4129400
2012-03-19,2.17,2.25,2.1,2.14,2.121102,1147700
2012-03-20,2.16,2.18,2.08,2.14,2.121102,419300
2012-03-21,2.15,2.16,2,2.04,2.021985,699200
2012-03-22,2.04,2.05,1.95,1.97,1.952603,565000
2012-03-23,1.96,2.04,1.91,2.04,2.021985,454300
2012-03-26,2.07,2.08,1.93,1.99,1.972427,454000
2012-03-27,1.99,2.02,1.96,1.99,1.972427,170600
2012-03-28,1.99,2.04,1.97,2,1.982338,323000
2012-03-29,2,2,1.92,1.93,1.912956,360400
2012-03-30,1.96,1.96,1.91,1.95,1.93278,141400
2012-04-02,1.93,1.95,1.89,1.93,1.912956,320800
2012-04-03,1.93,1.93,1.88,1.9,1.883221,254200
2012-04-04,1.89,1.89,1.75,1.76,1.744458,569400
2012-04-05,1.76,1.85,1.75,1.8,1.784104,372700
2012-04-09,1.75,1.75,1.66,1.68,1.665164,330300
2012-04-10,1.68,1.74,1.58,1.61,1.595782,419100
2012-04-11,1.64,1.69,1.6,1.65,1.635429,143700
2012-04-12,1.64,1.64,1.5,1.6,1.585871,504300
2012-04-13,1.75,2.28,1.75,1.77,1.754369,4820700
2012-04-16,1.79,1.86,1.61,1.64,1.625517,672900
2012-04-17,1.68,1.68,1.56,1.59,1.575959,364100
2012-04-18,1.61,1.62,1.55,1.62,1.605694,349200
2012-04-19,1.62,1.62,1.57,1.59,1.575959,167100
2012-04-20,1.62,1.62,1.54,1.61,1.595782,224600
2012-04-23,1.57,1.58,1.51,1.51,1.496665,191900
2012-04-24,1.53,1.54,1.49,1.51,1.496665,163700
2012-04-25,1.52,1.55,1.5,1.53,1.516489,143100
2012-04-26,1.52,1.55,1.48,1.55,1.536312,213300
2012-04-27,1.55,1.58,1.49,1.5,1.486754,133000
2012-04-30,1.5,1.54,1.5,1.5,1.486754,120800
2012-05-01,1.52,1.54,1.49,1.51,1.496665,152000
2012-05-02,1.54,1.73,1.54,1.64,1.625517,561600
2012-05-03,1.67,1.67,1.45,1.49,1.476842,491200
2012-05-04,1.49,1.49,1.34,1.39,1.377725,269500
2012-05-07,1.39,1.47,1.36,1.47,1.457019,155600
2012-05-08,1.46,1.48,1.41,1.45,1.437195,209100
2012-05-09,1.42,1.5,1.32,1.37,1.357902,402400
2012-05-10,1.4,1.53,1.34,1.49,1.476842,391000
2012-05-11,1.47,1.49,1.38,1.39,1.377725,291500
2012-05-14,1.38,1.41,1.35,1.36,1.34799,168000
2012-05-15,1.37,1.41,1.34,1.34,1.328167,109000
2012-05-16,1.35,1.36,1.31,1.31,1.298432,274000
2012-05-17,1.33,1.38,1.29,1.3,1.28852,324200
2012-05-18,1.3,1.33,1.25,1.29,1.278608,223000
2012-05-21,1.31,1.32,1.27,1.29,1.278608,218300
2012-05-22,1.32,1.37,1.29,1.32,1.308343,208900
2012-05-23,1.3,1.33,1.3,1.31,1.298432,178200
2012-05-24,1.34,1.35,1.3,1.34,1.328167,121600
2012-05-25,1.36,1.45,1.34,1.41,1.397548,248200
2012-05-29,1.47,1.5,1.41,1.42,1.40746,273000
2012-05-30,1.39,1.41,1.28,1.29,1.278608,265700
2012-05-31,1.29,1.32,1.24,1.24,1.22905,754300
2012-06-01,1.22,1.26,1.2,1.24,1.22905,238900
2012-06-04,1.27,1.28,1.18,1.18,1.16958,252200
2012-06-05,1.18,1.2,1.16,1.17,1.159668,157600
2012-06-06,1.17,1.34,1.17,1.23,1.219138,520400
2012-06-07,1.28,1.28,1.17,1.18,1.16958,212800
2012-06-08,1.17,1.18,1.11,1.15,1.139844,323400
2012-06-11,1.15,1.18,1.12,1.15,1.139844,158800
2012-06-12,1.15,1.26,1.11,1.19,1.179491,463500
2012-06-13,1.21,1.25,1.17,1.24,1.22905,275800
2012-06-14,1.25,1.25,1.18,1.2,1.189403,128500
2012-06-15,1.19,1.21,1.18,1.2,1.189403,157700
2012-06-18,1.2,1.22,1.13,1.17,1.159668,265862
2012-06-19,1.18,1.22,1.16,1.2,1.189403,317819
2012-06-20,1.21,1.25,1.16,1.2,1.189403,323793
2012-06-21,1.21,1.21,1.12,1.13,1.120021,343096
2012-06-22,1.15,1.21,1.14,1.17,1.159668,2785894
2012-06-25,1.19,1.23,1.12,1.14,1.129933,152816
2012-06-26,1.15,1.17,1.08,1.1,1.090286,310989
2012-06-27,1.12,1.17,1.09,1.16,1.149756,202375
2012-06-28,1.16,1.23,1.15,1.17,1.159668,135275
2012-06-29,1.19,1.21,1.1,1.11,1.100198,134131
2012-07-02,1.14,1.22,1.11,1.18,1.16958,205397
2012-07-03,1.2,1.3,1.19,1.3,1.28852,419647
2012-07-05,1.3,1.42,1.3,1.35,1.338078,565467
2012-07-06,1.35,1.38,1.32,1.36,1.34799,275813
2012-07-09,1.36,1.59,1.34,1.57,1.556136,597028
2012-07-10,1.56,1.7199,1.52,1.7,1.684987,775855
2012-07-11,1.7,1.72,1.63,1.66,1.645341,254181
2012-07-12,1.67,1.6701,1.535,1.61,1.595782,283932
2012-07-13,1.59,1.67,1.5211,1.57,1.556136,127507
2012-07-16,1.58,1.59,1.51,1.59,1.575959,118457
2012-07-17,1.6,1.6,1.48,1.53,1.516489,174464
2012-07-18,1.53,1.58,1.5,1.51,1.496665,91180
2012-07-19,1.53,1.6295,1.53,1.58,1.566047,147381
2012-07-20,1.57,1.76,1.55,1.75,1.734546,436530
2012-07-23,1.76,1.87,1.7,1.75,1.734546,646496
2012-07-24,1.78,1.8,1.55,1.63,1.615606,258527
2012-07-25,1.61,1.7,1.59,1.61,1.595782,151239
2012-07-26,1.6,1.61,1.42,1.54,1.5264,236796
2012-07-27,1.54,1.6,1.48,1.5,1.486754,179837
2012-07-30,1.51,1.59,1.51,1.54,1.5264,82264
2012-07-31,1.54,1.6,1.49,1.49,1.476842,108519
2012-08-01,1.51,1.59,1.49,1.5,1.486754,99070
2012-08-02,1.5,1.53,1.42,1.49,1.476842,173782
2012-08-03,1.52,1.6,1.5,1.53,1.516489,70763
2012-08-06,1.54,1.55,1.44,1.47,1.457019,266669
2012-08-07,1.48,1.53,1.43,1.46,1.447107,373655
2012-08-08,1.05,1.17,0.961,1.15,1.139844,1831213
2012-08-09,1.13,1.24,1.1105,1.22,1.209226,574655
2012-08-10,1.21,1.24,1.2,1.2,1.189403,245508
2012-08-13,1.2,1.22,1.12,1.14,1.129933,218424
2012-08-14,1.15,1.1999,1.14,1.17,1.159668,152756
2012-08-15,1.19,1.19,1.11,1.12,1.110109,200406
2012-08-16,1.13,1.16,1.0999,1.15,1.139844,148878
2012-08-17,1.17,1.24,1.13,1.21,1.199315,105047
2012-08-20,1.2,1.24,1.18,1.24,1.22905,42270
2012-08-21,1.22,1.24,1.18,1.23,1.219138,107784
2012-08-22,1.24,1.24,1.17,1.17,1.159668,24285
2012-08-23,1.16,1.16,1.1,1.11,1.100198,164858
2012-08-24,1.1,1.23,1.1,1.17,1.159668,246720
2012-08-27,1.17,1.25,1.16,1.23,1.219138,104393
2012-08-28,1.24,1.3,1.2,1.21,1.199315,117274
2012-08-29,1.2,1.27,1.2,1.23,1.219138,109260
2012-08-30,1.22,1.25,1.19,1.21,1.199315,36230
2012-08-31,1.2,1.24,1.1685,1.2,1.189403,136888
2012-09-04,1.2,1.2,1.1401,1.17,1.159668,70259
2012-09-05,1.19,1.19,1.14,1.16,1.149756,31153
2012-09-06,1.16,1.19,1.14,1.17,1.159668,141751
2012-09-07,1.15,1.2,1.15,1.18,1.16958,31934
2012-09-10,1.12,1.19,1.12,1.12,1.110109,92469
2012-09-11,1.12,1.19,1.12,1.12,1.110109,75502
2012-09-12,1.14,1.15,1.11,1.13,1.120021,71410
2012-09-13,1.13,1.14,1.1,1.11,1.100198,55301
2012-09-14,1.1,1.12,1.1,1.12,1.110109,82798
2012-09-17,1.1,1.1479,1.1,1.12,1.110109,21170
2012-09-18,1.14,1.22,1.1142,1.22,1.209226,103909
2012-09-19,1.2,1.27,1.2,1.21,1.199315,156434
2012-09-20,1.2,1.2,1.13,1.13,1.120021,76282
2012-09-21,1.1,1.1504,1.1,1.13,1.120021,141643
2012-09-24,1.12,1.14,1.05,1.06,1.050639,172362
2012-09-25,1.08,1.1,1.08,1.08,1.070463,123463
2012-09-26,1.1,1.1,1.05,1.05,1.040727,97188
2012-09-27,1.05,1.09,1.05,1.05,1.040727,46676
2012-09-28,1.05,1.09,1.05,1.05,1.040727,72457
2012-10-01,1.05,1.07,1.03,1.04,1.030816,84940
2012-10-02,1.04,1.0699,1,1.03,1.020904,438205
2012-10-03,1.03,1.05,1,1.05,1.040727,146364
2012-10-04,1.04,1.04,1.01,1.01,1.001081,143011
2012-10-05,1.03,1.03,0.99,0.99,0.981257,179765
2012-10-08,0.99,1.05,0.99,1.01,1.001081,41075
2012-10-09,1.03,1.05,0.9998,1.01,1.001081,78375
2012-10-10,1.01,1.04,0.97,0.98,0.971346,71813
2012-10-11,1,1.01,0.84,0.9299,0.921688,479549
2012-10-12,0.93,0.96,0.9001,0.91,0.901964,89507
2012-10-15,0.91,0.91,0.8516,0.87,0.862317,239882
2012-10-16,0.87,0.91,0.831,0.845,0.837538,232613
2012-10-17,0.84,0.891,0.84,0.87,0.862317,126135
2012-10-18,0.8876,0.8882,0.7705,0.79,0.783024,250085
2012-10-19,0.79,0.8388,0.7315,0.77,0.7632,259979
2012-10-22,0.77,0.78,0.74,0.7401,0.733564,112490
2012-10-23,0.76,0.77,0.73,0.7467,0.740106,133612
2012-10-24,0.76,0.7604,0.7101,0.74,0.733465,71860
2012-10-25,0.74,0.7499,0.69,0.69,0.683907,94018
2012-10-26,0.7,0.75,0.7,0.72,0.713642,60401
2012-10-31,0.72,0.7557,0.72,0.7445,0.737925,16980
2012-11-01,0.75,0.7872,0.7401,0.7528,0.746152,113061
2012-11-02,0.77,0.77,0.72,0.74,0.733465,35121
2012-11-05,0.92,1.21,0.92,1.14,1.129933,3015766
2012-11-06,1.14,1.14,1.05,1.09,1.080374,468220
2012-11-07,1.1,1.1399,1,1.01,1.001081,423798
2012-11-08,1.1,1.37,1.07,1.12,1.110109,1343725
2012-11-09,1.08,1.13,1,1.06,1.050639,319653
2012-11-12,1.06,1.09,1.02,1.07,1.060551,98552
2012-11-13,1.07,1.07,0.95,0.9845,0.975806,221734
2012-11-14,1.01,1.04,1.01,1.02,1.010992,182945
2012-11-15,1.02,1.05,0.95,0.975,0.96639,108965
2012-11-16,0.97,1.03,0.97,1.01,1.001081,102826
2012-11-19,1.02,1.02,0.97,0.98,0.971346,108727
2012-11-20,0.98,1.0101,0.96,1.01,1.001081,62985
2012-11-21,1.01,1.04,1,1.005,0.996125,52450
2012-11-23,1,1.03,0.9802,0.995,0.986213,18700
2012-11-26,1,1.05,1,1.02,1.010992,48357
2012-11-27,1.01,1.03,1.01,1.02,1.010992,21965
