Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.01,22.4,22,22.35,11.885785,6400
2012-02-22,22.4,22.690001,22.27,22.27,11.843242,2500
2012-02-23,22.6,22.65,22.27,22.309999,11.864513,5200
2012-02-24,22.450001,22.6,22.370001,22.6,12.018731,2600
2012-02-27,22.58,22.68,22.41,22.610001,12.024051,8700
2012-02-28,22.66,22.68,22.389999,22.68,12.061278,3900
2012-02-29,22.889999,22.93,22.440001,22.440001,11.933645,4500
2012-03-01,22.629999,22.969999,22.51,22.51,11.970873,2200
2012-03-02,22.6,22.91,22.4,22.41,11.91769,3800
2012-03-05,22.43,22.65,22.34,22.450001,11.938963,11000
2012-03-06,22.26,22.75,22.26,22.48,11.954916,3200
2012-03-07,22.34,22.5,22.34,22.5,11.965551,1100
2012-03-08,22.41,22.940001,22.34,22.4,11.912373,9000
2012-03-09,22.719999,22.84,22.530001,22.84,12.146368,4400
2012-03-12,22.780001,22.780001,22.559999,22.559999,11.997462,2000
2012-03-13,22.73,22.860001,22.459999,22.780001,12.114457,5300
2012-03-14,22.610001,22.610001,22.35,22.4,11.912373,6300
2012-03-15,22.43,22.76,22.4,22.700001,12.071916,4900
2012-03-16,22.84,22.84,22.77,22.790001,12.119779,3100
2012-03-19,22.790001,22.799999,22.700001,22.780001,12.114457,3000
2012-03-20,22.66,23.110001,22.66,22.809999,12.130409,1000
2012-03-21,22.700001,22.780001,22.65,22.75,12.098504,2600
2012-03-22,22.5,22.790001,22.49,22.5,11.965551,6000
2012-03-23,22.52,22.6,22.4,22.43,11.928329,4300
2012-03-26,22.59,22.75,22.59,22.59,12.013417,3600
2012-03-27,22.549999,22.59,22.549999,22.549999,11.992144,2000
2012-03-28,22.700001,22.700001,22.6,22.6,12.018731,500
2012-03-29,22.559999,22.6,22.51,22.51,11.970873,2300
2012-03-30,22.4,22.5,22.379999,22.389999,11.907055,2500
2012-04-02,22.67,22.68,22.4,22.629999,12.034688,3200
2012-04-03,22.67,22.879999,22.67,22.879999,12.167638,2100
2012-04-04,22.65,22.950001,22.5,22.85,12.151683,3800
2012-04-05,22.799999,22.950001,22.799999,22.85,12.151683,5100
2012-04-09,22.57,22.84,22.450001,22.84,12.146368,9300
2012-04-10,22.860001,22.889999,22.620001,22.879999,12.167638,3600
2012-04-11,22.09,22.23,22.09,22.1,12.172046,1800
2012-04-12,22.200001,22.209999,22.200001,22.200001,12.227121,1000
2012-04-13,22.17,22.17,21.610001,21.610001,11.902167,600
2012-04-16,22.049999,22.049999,21.6,21.6,11.896658,200
2012-04-17,21.74,22.07,21.74,22.049999,12.144506,1400
2012-04-18,22.049999,22.1,21.66,22.049999,12.144506,8700
2012-04-19,22.25,22.27,21.67,22.15,12.199583,2300
2012-04-20,21.85,22.190001,21.700001,22.190001,12.221614,1900
2012-04-23,22.200001,22.24,21.75,21.75,11.979274,5200
2012-04-24,21.940001,22.43,21.83,21.83,12.023335,700
2012-04-25,22.040001,22.129999,21.84,22.129999,12.188566,7800
2012-04-26,22.129999,22.450001,21.85,22.01,12.122476,5200
2012-04-27,21.969999,22.450001,21.969999,22.379999,12.326261,2200
2012-04-30,22.23,22.23,22.200001,22.200001,12.227121,2500
2012-05-01,22.450001,22.450001,22.16,22.42,12.348294,3300
2012-05-02,22.43,22.450001,22.43,22.43,12.3538,900
2012-05-03,22.370001,22.49,22.120001,22.23,12.243644,2500
2012-05-04,22.01,22.4,21.99,22.4,12.337276,1300
2012-05-07,22.15,22.549999,22.15,22.549999,12.419889,2700
2012-05-08,22.48,22.790001,22.43,22.5,12.392353,3400
2012-05-09,22.35,22.35,22.290001,22.290001,12.276692,600
2012-05-10,22.32,22.32,22.32,22.32,12.293214,500
2012-05-11,22.110001,22.32,22,22,12.116965,6500
2012-05-14,22.15,22.15,22,22,12.116965,600
2012-05-15,21.92,21.92,21.85,21.870001,12.045366,1200
2012-05-16,21.9,21.9,21.799999,21.799999,12.006815,4500
2012-05-17,21.809999,21.99,21.5,21.99,12.111461,5800
2012-05-18,21.99,21.99,21.52,21.91,12.067396,1600
2012-05-21,21.610001,21.610001,21.51,21.52,11.852596,5100
2012-05-22,21.52,21.530001,21.309999,21.4,11.786507,7600
2012-05-23,21.200001,21.209999,20.25,20.629999,11.362411,11000
2012-05-24,20.42,20.42,20.02,20.09,11.064996,6000
2012-05-25,20.200001,20.33,20.01,20.299999,11.180656,3200
2012-05-29,20.379999,20.73,20.25,20.52,11.301826,8800
2012-05-30,20.209999,20.74,20.209999,20.74,11.422994,4200
2012-05-31,20.389999,21.030001,20.389999,21.030001,11.582721,2300
2012-06-01,20.790001,21,20.299999,20.91,11.516626,1400
2012-06-04,20.49,20.98,20.309999,20.32,11.191672,5200
2012-06-05,20.43,20.65,20.35,20.639999,11.367917,800
2012-06-06,20.48,20.629999,20.15,20.629999,11.362411,3600
2012-06-07,20.18,20.43,19.5,19.66,10.828163,22600
2012-06-08,19.65,19.9,19.530001,19.66,10.828163,7000
2012-06-11,19.780001,19.790001,19.58,19.58,10.7841,2300
2012-06-12,19.620001,19.85,19.620001,19.85,10.93281,7400
2012-06-13,20,20.82,20,20.77,11.439518,5200
2012-06-14,20.93,21.219999,20.93,21,11.566195,4300
2012-06-15,20.99,20.99,20.9,20.9,11.511118,5400
2012-06-18,20.82,21.25,20.82,21.25,11.703889,2300
2012-06-19,21.42,21.66,21.299999,21.65,11.924195,8900
2012-06-20,21.4,21.719999,21.299999,21.299999,11.731426,2900
2012-06-21,21.5,21.6,21.5,21.5,11.84158,1500
2012-06-22,21.309999,21.5,21.309999,21.309999,11.736933,3200
2012-06-25,20.99,21.58,20.99,21.49,11.836074,4600
2012-06-26,21.59,22.540001,21.110001,22,12.116965,6500
2012-06-27,21.82,22.280001,21.82,22.25,12.254659,1800
2012-06-28,22.049999,22.32,21.940001,22.200001,12.227121,3000
2012-06-29,22.1,22.200001,21.66,21.66,11.929704,2800
2012-07-02,22.07,22.120001,21.620001,21.620001,11.907673,1800
2012-07-03,22.049999,22.15,22.049999,22.15,12.199583,1600
2012-07-05,22.32,22.32,22.25,22.25,12.254659,2200
2012-07-06,22.360001,22.370001,21.950001,21.950001,12.089429,1300
2012-07-09,22.190001,22.41,21.91,22.34,12.304229,2100
2012-07-10,22.200001,22.25,22.01,22.25,12.254659,2100
2012-07-11,22.25,22.58,22.25,22.4,12.337276,8000
2012-07-12,22.4,22.860001,22.4,22.860001,12.590631,3000
2012-07-13,22.879999,23.68,22.879999,23.049999,12.695277,8100
2012-07-16,23.049999,23.49,23.040001,23.49,12.937617,7200
2012-07-17,23.450001,23.6,23.25,23.25,12.80543,9300
2012-07-18,23.49,23.690001,23.26,23.299999,12.832969,9500
2012-07-19,23.6,23.68,23.379999,23.389999,12.882537,7700
2012-07-20,23.549999,23.620001,23.219999,23.450001,12.915587,13200
2012-07-23,23.280001,23.440001,22.790001,22.870001,12.59614,11300
2012-07-24,22.73,23.1,22.530001,22.98,12.656724,9400
2012-07-25,22.76,23,22.559999,22.639999,12.46946,11400
2012-07-26,22.959999,23,22.639999,22.75,12.530048,9300
2012-07-27,22.77,23,22.77,22.9,12.612661,8300
2012-07-30,22.9,23.09,22.51,22.76,12.535552,13900
2012-07-31,22.85,23.1,22.639999,23.09,12.717306,5400
2012-08-01,23,23.209999,22.73,23.02,12.678755,8200
2012-08-02,22.959999,22.959999,22.559999,22.799999,12.557583,3600
2012-08-03,22.940001,22.99,22.82,22.940001,12.634691,4400
2012-08-06,22.83,22.99,22.809999,22.98,12.656724,1700
2012-08-07,22.6,23.25,22.6,23.08,12.711797,5600
2012-08-08,23.15,23.6,22.950001,23.32,12.843986,17600
2012-08-09,23.299999,23.65,23.299999,23.57,12.981677,5400
2012-08-10,23.540001,23.690001,23.5,23.690001,13.047772,5100
2012-08-13,23.690001,23.76,23.58,23.74,13.07531,14600
2012-08-14,23.74,23.84,23.59,23.6,12.998203,3500
2012-08-15,23.6,23.6,23.4,23.6,12.998203,4800
2012-08-16,23.5,23.799999,23.43,23.43,12.90457,13200
2012-08-17,23.6,23.6,23.4,23.6,12.998203,2500
2012-08-20,23.6,23.6,23.48,23.5,12.943125,3800
2012-08-21,23.41,23.59,23.4,23.5,12.943125,5100
2012-08-22,23.58,23.58,23.450001,23.540001,12.965155,6700
2012-08-23,23.469999,23.540001,23.450001,23.5,12.943125,8200
2012-08-24,23.5,23.6,23.5,23.6,12.998203,2700
2012-08-27,23.6,23.6,23.5,23.5,12.943125,1300
2012-08-28,23.700001,23.799999,23.65,23.799999,13.108356,6000
2012-08-29,23.780001,23.889999,23.5,23.889999,13.157925,5400
2012-08-30,23.690001,23.889999,23.549999,23.889999,13.157925,9700
2012-08-31,23.889999,23.99,23.610001,23.9,13.163435,8000
2012-09-04,23.99,23.99,23.9,23.92,13.17445,4400
2012-09-05,23.99,23.99,23.9,23.99,13.213,4500
2012-09-06,23.92,23.99,23.719999,23.799999,13.108356,5300
2012-09-07,23.969999,24.09,23.719999,24.09,13.268079,7500
2012-09-10,24.08,24.190001,23.959999,24.110001,13.279094,5800
2012-09-11,24.07,24.32,24.030001,24.129999,13.290109,7000
2012-09-12,24.01,24.219999,23.950001,24.07,13.257066,2000
2012-09-13,24.040001,24.190001,24.040001,24.190001,13.323156,1000
2012-09-14,24.049999,24.34,23.84,23.99,13.213,7200
2012-09-17,24.16,24.24,23.99,24.02,13.229524,4100
2012-09-18,24,24.24,24,24.059999,13.251557,4800
2012-09-19,24.02,24.24,24.02,24.219999,13.339679,7000
2012-09-20,24.01,24.290001,23.93,24.290001,13.378234,7800
2012-09-21,24.26,24.27,23.92,23.959999,13.196479,3100
2012-09-24,23.93,24.25,23.91,24.15,13.301125,3000
2012-09-25,24.09,24.09,22.5,22.51,12.397861,48400
2012-09-26,22.4,22.75,22.02,22.219999,12.238135,14900
2012-09-27,22.219999,22.450001,22,22.02,12.127982,8900
2012-09-28,21.9,22.07,21.74,21.99,12.111461,5900
2012-10-01,22.01,22.629999,22.01,22.52,12.403368,6500
2012-10-02,22.68,22.959999,22.51,22.959999,12.645706,13600
2012-10-03,23.360001,23.360001,22.959999,23.07,12.706292,5600
2012-10-04,23.35,23.440001,23.1,23.33,12.849493,7800
2012-10-05,23.190001,23.809999,22.959999,23.809999,13.113864,24200
2012-10-08,23.629999,23.799999,23.6,23.799999,13.108356,8800
2012-10-09,23.83,23.879999,23.67,23.879999,13.152418,5700
2012-10-10,23.700001,23.700001,22.700001,22.700001,12.929149,5800
2012-10-11,22.799999,23.18,22.700001,23.16,13.191146,6100
2012-10-12,23.08,23.139999,22.809999,22.83,13.003191,5000
2012-10-15,23.23,23.25,22.93,23.23,13.231016,4500
2012-10-16,23.23,23.299999,22.719999,23.299999,13.270887,7600
2012-10-17,23.33,23.549999,22.940001,23.040001,13.122799,9900
2012-10-18,23.219999,23.219999,22.299999,22.5,12.815234,12000
2012-10-19,22.4,22.799999,22.4,22.620001,12.883583,5300
2012-10-22,22.690001,23.09,22.690001,23.040001,13.122799,1800
2012-10-23,22.879999,22.879999,22.85,22.879999,13.03167,1400
2012-10-24,22.709999,22.93,22.42,22.93,13.060146,2300
2012-10-25,22.93,22.950001,22.75,22.950001,13.071538,1200
2012-10-26,22.73,22.98,22.73,22.98,13.088625,400
2012-10-31,22.459999,22.98,22.459999,22.950001,13.071538,2200
