Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.299999,16.33,15.61,15.78,15.78,83500
2012-02-22,15.63,15.95,15.35,15.74,15.74,41100
2012-02-23,15.75,15.85,15.69,15.75,15.75,29900
2012-02-24,15.82,15.82,15.53,15.59,15.59,34700
2012-02-27,15.34,15.34,14.66,15.12,15.12,44900
2012-02-28,15.22,15.35,14.87,15.11,15.11,72800
2012-02-29,15.13,15.29,15.04,15.16,15.16,38400
2012-03-01,15.22,15.59,15.22,15.33,15.33,55000
2012-03-02,15.35,15.48,14.75,15.01,15.01,67200
2012-03-05,14.99,15.11,14.77,15.04,15.04,27600
2012-03-06,14.82,15,14.59,14.77,14.77,46500
2012-03-07,14.83,15.15,14.83,15.12,15.12,25300
2012-03-08,15.27,15.8,15.09,15.7,15.7,56900
2012-03-09,15.7,16.139999,15.69,16.07,16.07,41900
2012-03-12,16.02,16.07,15.84,15.99,15.99,37300
2012-03-13,16.129999,16.549999,15.98,16.52,16.52,43900
2012-03-14,16.450001,16.450001,16.02,16.15,16.15,51300
2012-03-15,16.09,16.469999,16.049999,16.43,16.43,31800
2012-03-16,16.43,16.65,16.309999,16.610001,16.610001,50800
2012-03-19,16.549999,17,16.549999,16.799999,16.799999,51100
2012-03-20,16.65,16.99,16.209999,16.82,16.82,25800
2012-03-21,16.82,16.83,16.34,16.73,16.73,52700
2012-03-22,16.52,17,16.5,16.959999,16.959999,43600
2012-03-23,16.93,17.379999,16.870001,17.379999,17.379999,69900
2012-03-26,17.52,17.889999,17.5,17.559999,17.559999,66200
2012-03-27,17.49,17.799999,17.41,17.469999,17.469999,30800
2012-03-28,17.5,17.700001,17.34,17.59,17.59,39900
2012-03-29,17.41,17.93,17.370001,17.83,17.83,31000
2012-03-30,17.9,17.9,17.25,17.25,17.25,74700
2012-04-02,17.440001,17.709999,16.959999,17.209999,17.209999,74300
2012-04-03,17.120001,17.49,16.85,17.120001,17.120001,36000
2012-04-04,16.950001,17.09,16.73,17,17,44500
2012-04-05,16.889999,17.32,16.879999,17.25,17.25,20200
2012-04-09,16.93,17.17,16.889999,17.1,17.1,19200
2012-04-10,17.120001,17.120001,16.25,16.370001,16.370001,64400
2012-04-11,16.58,16.98,16.26,16.98,16.98,47400
2012-04-12,16.99,17.75,16.99,17.639999,17.639999,35400
2012-04-13,17.549999,17.75,17.450001,17.620001,17.620001,24700
2012-04-16,17.700001,17.99,17.48,17.790001,17.790001,24200
2012-04-17,17.76,17.98,17.74,17.77,17.77,21700
2012-04-18,17.68,17.75,17.030001,17.5,17.5,39100
2012-04-19,17.469999,17.610001,17.219999,17.35,17.35,23300
2012-04-20,17.52,17.75,17.42,17.690001,17.690001,39000
2012-04-23,17.309999,17.49,17.059999,17.33,17.33,24400
2012-04-24,17.299999,17.700001,17.27,17.469999,17.469999,17500
2012-04-25,17.68,17.84,17.33,17.469999,17.469999,37500
2012-04-26,17.700001,17.700001,17.030001,17.219999,17.219999,47500
2012-04-27,17.360001,17.5,16.549999,17.09,17.09,68500
2012-04-30,17.02,17.209999,16.48,17.08,17.08,111000
2012-05-01,16.959999,17.16,16.43,16.459999,16.459999,104600
2012-05-02,16.290001,16.52,16.200001,16.26,16.26,51000
