Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,15.5,15.51,15.39,15.5,11.564267,239600
2012-02-22,15.5,15.51,15.41,15.45,11.526963,305100
2012-02-23,15.49,15.53,15.35,15.43,11.512042,154800
2012-02-24,15.42,15.48,15.19,15.22,11.355364,83900
2012-02-27,15.12,15.36,14.92,15.17,11.31806,182400
2012-02-28,15.14,15.41,15.11,15.35,11.452354,137000
2012-02-29,15.41,15.5,15.23,15.3,11.415051,132800
2012-03-01,15.34,15.46,15.11,15.37,11.467276,250000
2012-03-02,15.33,15.37,15.11,15.14,11.295678,138800
2012-03-05,15.1,15.27,14.99,15.13,11.288217,112700
2012-03-06,15,15.04,14.58,14.61,10.900253,179400
2012-03-07,14.69,14.79,14.62,14.66,10.937558,117400
2012-03-08,14.75,14.84,14.53,14.61,10.900253,123000
2012-03-09,14.6,15.02,14.6,14.91,11.124079,271700
2012-03-12,14.95,15.1,14.79,15.08,11.250913,173400
2012-03-13,15.17,15.62,15.11,15.62,11.653797,221000
2012-03-14,15.59,15.59,15.05,15.3,11.415051,181700
2012-03-15,15.31,15.58,15.21,15.43,11.512042,120700
2012-03-16,15.49,15.55,15.23,15.44,11.519502,323600
2012-03-19,15.41,15.57,15.36,15.36,11.459815,104900
2012-03-20,15.24,15.43,15.11,15.28,11.400129,63900
2012-03-21,15.29,15.3,15.02,15.14,11.295678,84800
2012-03-22,15.02,15.02,14.72,14.8,11.042009,117700
2012-03-23,14.83,15.09,14.71,15.09,11.258374,112100
2012-03-26,15.16,15.36,14.84,14.88,11.101697,143200
2012-03-27,14.95,15.07,14.65,14.68,10.95248,138900
2012-03-28,14.71,14.73,14.48,14.51,10.825646,142300
2012-03-29,14.45,14.62,14.21,14.5,10.818186,128800
2012-03-30,14.56,14.67,14.28,14.28,10.654047,183000
2012-04-02,14.28,14.4,14.1,14.23,10.616742,149700
2012-04-03,14.2,14.29,13.91,13.97,10.422762,231400
2012-04-04,13.83,13.88,13.72,13.85,10.333232,226600
2012-04-05,13.8,13.88,13.73,13.87,10.348154,212700
2012-04-09,13.7,13.73,13.53,13.6,10.146712,191000
2012-04-10,13.56,13.61,13.32,13.41,10.004956,616000
2012-04-11,13.38,13.6,13.3,13.44,10.027338,363900
2012-04-12,13.42,13.64,13.38,13.47,10.049721,347900
2012-04-13,13.41,13.5,13.26,13.43,10.019877,133300
2012-04-16,13.54,13.57,13.36,13.38,9.982574,162900
2012-04-17,13.47,13.55,13.3,13.31,9.930348,223100
2012-04-18,13.23,13.3,13.06,13.06,9.743828,211100
2012-04-19,13.12,13.12,12.87,13.06,9.743828,138100
2012-04-20,13.16,13.22,13.02,13.08,9.758749,122000
2012-04-23,12.98,13.07,12.79,13.05,9.736366,222900
2012-04-24,13.01,13.18,12.96,13.09,9.76621,123300
2012-04-25,13.16,13.52,13.09,13.48,10.057182,247100
