Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,20.83,21.719999,20.77,21.540001,15.051656,782500
2012-02-22,21.469999,21.469999,21,21.049999,14.709258,637900
2012-02-23,21.110001,21.360001,21.040001,21.299999,14.883949,405400
2012-02-24,21.360001,21.389999,21.219999,21.26,14.855998,308400
2012-02-27,21.1,21.65,21,21.629999,15.11454,629600
2012-02-28,21.639999,21.74,21.309999,21.629999,15.11454,623800
2012-02-29,21.889999,22.360001,21.790001,21.98,15.35912,873500
2012-03-01,22.059999,22.780001,21.959999,22.5,15.722478,1308300
2012-03-02,22.530001,22.549999,22.110001,22.200001,15.512847,900300
2012-03-05,21.700001,21.870001,21.370001,21.719999,15.430439,870000
2012-03-06,21.35,21.35,20.610001,20.75,14.741325,978000
2012-03-07,20.719999,20.85,20.48,20.73,14.727113,700300
2012-03-08,21.01,21.27,20.709999,21.049999,14.954458,557300
2012-03-09,21.26,21.440001,21.15,21.360001,15.174686,520000
2012-03-12,21.35,21.41,21,21.18,15.046811,368800
2012-03-13,21.26,21.889999,21.190001,21.889999,15.551215,475400
2012-03-14,21.879999,22.83,21.879999,22.75,16.162178,1421400
2012-03-15,22.799999,23.23,22.459999,23.23,16.503183,1055000
2012-03-16,23.27,23.790001,23.27,23.620001,16.780247,841900
2012-03-19,23.639999,24.040001,23.33,23.389999,16.61685,762500
2012-03-20,23.1,23.42,22.620001,23.33,16.574217,645800
2012-03-21,23.459999,23.67,23.200001,23.58,16.751827,639900
2012-03-22,23.280001,23.58,23.17,23.51,16.702105,1158500
2012-03-23,23.440001,23.67,23.280001,23.610001,16.773144,619300
2012-03-26,23.889999,24.41,23.77,24.299999,17.263334,729600
2012-03-27,24.35,24.389999,24.08,24.110001,17.128351,545000
2012-03-28,24.15,24.26,23.76,24.049999,17.085728,628200
2012-03-29,23.82,23.82,23.040001,23.65,16.801556,1045700
2012-03-30,23.77,23.940001,23.559999,23.690001,16.829971,606100
2012-04-02,23.719999,24.34,23.59,24.23,17.213602,626100
2012-04-03,24.209999,24.26,23.799999,23.93,17.000477,654800
2012-04-04,23.51,23.780001,23.35,23.370001,16.60264,673500
2012-04-05,23.299999,23.73,23.299999,23.709999,16.844187,512400
2012-04-09,23.280001,23.389999,22.84,22.84,16.226109,697200
2012-04-10,22.84,22.950001,22.120001,22.42,15.927735,829900
2012-04-11,22.620001,22.959999,22.559999,22.879999,16.254536,459100
