Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,34.740002,35.130001,34.630001,34.880001,26.762785,5437400
2012-02-22,34.84,35.68,34.799999,35.599998,27.315229,4420700
2012-02-23,35.73,36.630001,35.470001,36.490002,27.998117,7104200
2012-02-24,36.73,37.369999,36.549999,36.959999,28.358738,7573100
2012-02-27,36.599998,36.77,36.049999,36.099998,27.698868,6310000
2012-02-28,36.07,36.669998,36.060001,36.450001,27.967422,4336900
2012-02-29,36.82,37.009998,35.82,35.939999,27.576107,5734800
2012-03-01,35.950001,36.459999,35.720001,36.380001,28.000191,6502400
2012-03-02,36.220001,36.32,35.59,35.84,27.584579,3517900
2012-03-05,35.689999,35.700001,34.860001,35.049999,26.976547,5858500
2012-03-06,34.060001,34.150002,32.919998,33.34,25.660437,7826400
2012-03-07,33.459999,34.110001,33.259998,33.799999,26.014477,5222300
2012-03-08,34.240002,34.82,33.93,34.540001,26.584015,4911600
2012-03-09,34.759998,34.91,34.360001,34.529999,26.576321,3806900
2012-03-12,34.18,34.41,33.43,33.5,25.783573,4415700
2012-03-13,33.610001,34.400002,33.509998,34.380001,26.460875,3939400
2012-03-14,33.720001,34.009998,32.73,32.959999,25.367956,7815600
2012-03-15,33,33.57,32.77,33.200001,25.552675,4431900
2012-03-16,33.369999,33.689999,33.25,33.34,25.660437,4549900
2012-03-19,33.419998,34.110001,33.220001,33.93,26.114529,4216900
2012-03-20,33.48,33.540001,33.07,33.290001,25.621944,3998300
2012-03-21,33.540001,33.540001,32.990002,33.380001,25.691214,3577600
2012-03-22,32.689999,32.950001,32.18,32.360001,24.90617,5039400
2012-03-23,32.5,32.919998,32.380001,32.82,25.260204,3597500
2012-03-26,33.25,33.490002,33.130001,33.41,25.714308,3130600
2012-03-27,33.48,33.5,32.919998,33,25.398748,2818800
2012-03-28,32.790001,32.919998,32.380001,32.509998,25.02161,4735800
2012-03-29,32.220001,32.560001,31.73,32.540001,25.044701,4423100
2012-03-30,32.75,32.799999,32.119999,32.700001,25.167849,3230000
2012-04-02,32.59,33.59,32.490002,33.41,25.714308,4394800
2012-04-03,33.25,33.34,32.830002,33.040001,25.429529,4187300
2012-04-04,32.419998,32.880001,31.040001,31.379999,24.151896,9647900
2012-04-05,31.309999,31.5,30.370001,30.629999,23.57465,8620800
2012-04-09,30.09,30.85,30,30.42,23.413025,3643400
2012-04-10,30.469999,30.6,29.290001,29.52,22.720333,5880000
2012-04-11,29.969999,30.290001,29.76,29.959999,23.058981,4831300
2012-04-12,30.16,31.209999,29.91,31.09,23.928698,5661200
2012-04-13,31,31,30.450001,30.530001,23.497686,5060800
2012-04-16,30.790001,31.08,30.469999,30.790001,23.697794,5850400
2012-04-17,31.440001,32.189999,31.280001,31.68,24.382792,5982900
2012-04-18,31.4,31.82,31.09,31.540001,24.275045,3823400
2012-04-19,31.52,32,31.299999,31.59,24.313522,3674200
2012-04-20,31.969999,32.099998,31.129999,31.200001,24.013359,5415100
2012-04-23,30.66,31.4,30.360001,31.290001,24.082632,4760300
2012-04-24,31.34,31.74,31.200001,31.41,24.174986,3699300
2012-04-25,31.83,32.060001,31.299999,32,24.629078,5060100
2012-04-26,31.75,32.209999,31.68,31.99,24.621389,3856700
2012-04-27,31.99,32.279999,31.700001,32.27,24.836899,4010800
2012-04-30,32.09,33.200001,32.060001,33.040001,25.429529,5530000
2012-05-01,33.48,33.77,33.279999,33.419998,25.722002,4731900
2012-05-02,33.119999,33.220001,32.509998,32.689999,25.160151,4066600
2012-05-03,32.709999,32.77,31.6,31.6,24.32122,5963500
2012-05-04,31.01,31.27,30.09,30.35,23.359154,7430100
2012-05-07,30.02,30.51,29.9,30.4,23.397629,5164200
2012-05-08,29.940001,30.139999,29.290001,29.799999,22.935835,7437600
2012-05-09,29.120001,29.66,28.73,29.049999,22.358585,6117700
2012-05-10,29.4,29.780001,29.120001,29.209999,22.481735,5449400
2012-05-11,28.93,29.59,28.610001,28.700001,22.089211,6878900
2012-05-14,28.07,28.370001,27.82,27.93,21.496571,6732900
2012-05-15,28.01,28.16,27.389999,27.49,21.157919,6379600
2012-05-16,27.49,28.08,27.030001,27.129999,20.880842,6366700
2012-05-17,27.360001,27.450001,26.9,27.01,20.788486,4958800
2012-05-18,27.389999,27.48,26.709999,26.860001,20.673037,5233800
2012-05-21,26.959999,27.93,26.950001,27.879999,21.458084,3571100
2012-05-22,27.65,28.309999,27.32,27.75,21.358034,5951800
2012-05-23,27.35,27.889999,26.709999,27.889999,21.46579,5134800
2012-05-24,28.280001,28.280001,27.33,27.799999,21.396515,4599000
2012-05-25,27.639999,28.18,27.530001,28.030001,21.57354,3235900
2012-05-29,28.35,29.110001,28.290001,28.530001,21.958368,3990200
2012-05-30,27.68,27.809999,27.26,27.33,21.034773,5675400
2012-05-31,27.440001,27.57,26.530001,26.99,20.870077,8905000
2012-06-01,26.299999,26.77,26,26.41,20.421587,5737200
2012-06-04,26.52,26.67,25.950001,26.620001,20.583971,6309600
2012-06-05,26.719999,27.48,26.59,27.27,21.086586,4938700
2012-06-06,27.84,28.48,27.73,28.469999,22.014488,4831600
2012-06-07,29.15,29.219999,28.4,28.5,22.037683,7160900
2012-06-08,27.82,28.5,27.67,28.290001,21.875305,4424400
2012-06-11,28.76,28.780001,27.370001,27.42,21.202574,3884700
2012-06-12,27.790001,28.23,27.41,28.200001,21.805714,4345700
2012-06-13,27.940001,28.59,27.75,28.049999,21.689724,4316600
2012-06-14,28.209999,28.379999,27.790001,27.879999,21.558273,4859400
2012-06-15,28.059999,28.52,27.969999,28.4,21.96036,3992500
2012-06-18,28,28.92,27.83,28.58,22.099539,5190200
2012-06-19,28.940001,29.74,28.92,29.639999,22.919189,4964200
2012-06-20,29.629999,29.709999,28.76,29.059999,22.470707,5317200
2012-06-21,28.75,28.950001,26.889999,26.91,20.808212,7268200
2012-06-22,27.25,27.629999,27.059999,27.540001,21.295362,3529600
2012-06-25,26.950001,27.1,26.700001,26.959999,20.846874,3511900
2012-06-26,27.040001,27.23,26.790001,27.049999,20.916464,3244200
2012-06-27,27.17,27.59,26.98,27.530001,21.287636,3061900
2012-06-28,27.209999,27.4,26.77,27.360001,21.156181,3909600
2012-06-29,28.58,28.959999,28.51,28.950001,22.385651,5950300
2012-07-02,28.950001,29,28.35,28.959999,22.393381,2207100
2012-07-03,29.389999,30.469999,29.299999,30.299999,23.429539,5606500
2012-07-05,30.389999,30.48,29.91,29.99,23.189833,4056700
2012-07-06,29.33,29.459999,28.67,28.83,22.292854,5736900
2012-07-09,28.709999,28.870001,28.360001,28.59,22.107279,3586600
2012-07-10,28.83,29.1,27.799999,28.08,21.712923,4883600
2012-07-11,28.18,28.879999,28.16,28.68,22.176874,4587000
2012-07-12,28.16,28.540001,28.049999,28.33,21.906233,4801200
2012-07-13,28.549999,29.129999,28.48,29.01,22.432045,3337500
2012-07-16,28.959999,29.450001,28.76,29.309999,22.664024,2503800
2012-07-17,29.559999,29.719999,28.98,29.620001,22.903728,4146800
2012-07-18,29.49,30.040001,29.43,29.9,23.120241,5294800
2012-07-19,30.120001,30.629999,30.110001,30.34,23.46047,5647300
2012-07-20,29.889999,30.139999,29.77,30.07,23.251686,4331900
2012-07-23,29.280001,29.969999,28.5,29.780001,23.027451,7118700
2012-07-24,29.700001,29.91,28.91,29.16,22.548037,5841300
2012-07-25,29.610001,30.41,29.280001,30.41,23.514597,7478800
2012-07-26,30.91,31.66,30.860001,31.530001,24.380636,6598800
2012-07-27,31.76,31.93,31.290001,31.700001,24.512093,5215800
2012-07-30,31.549999,31.639999,31.16,31.35,24.241461,3450000
2012-07-31,31.219999,31.43,30.48,30.540001,23.61512,3730800
2012-08-01,30.82,31.18,30.469999,30.639999,23.692442,3633500
2012-08-02,30.219999,30.780001,29.9,30.360001,23.475931,4206700
