Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,42.529999,42.889999,42.32,42.52,33.670918,86500
2012-02-22,42.509998,42.68,42.189999,42.349998,33.536297,92400
2012-02-23,42.43,42.970001,42.43,42.900002,33.971832,113900
2012-02-24,42.830002,42.900002,42.349998,42.66,33.78178,103200
2012-02-27,42.369999,42.709999,41.810001,42.48,33.63924,122900
2012-02-28,42.290001,42.619999,41.759998,42.310001,33.504623,175100
2012-02-29,42.459999,42.93,42.259998,42.650002,33.773865,277700
2012-03-01,42.869999,42.93,42.32,42.57,33.710514,356400
2012-03-02,42.639999,42.82,42.290001,42.529999,33.678829,322500
2012-03-05,42.380001,43.119999,42.25,43.09,34.122295,253400
2012-03-06,42.689999,42.939999,42.330002,42.68,33.797615,210100
2012-03-07,42.709999,42.75,42.259998,42.700001,33.813457,163500
2012-03-08,42.860001,42.98,42.5,42.830002,33.916405,139000
2012-03-09,42.82,43.380001,42.75,43.16,34.177715,160000
2012-03-12,43.240002,43.439999,43.09,43.220001,34.225235,119400
2012-03-13,43.459999,43.619999,43.02,43.619999,34.541988,252100
2012-03-14,43.639999,43.639999,42.880001,42.990002,34.043098,114100
2012-03-15,43.080002,43.080002,42.470001,43.009998,34.058933,133600
2012-03-16,43.009998,43.220001,42.849998,42.91,33.979752,256000
2012-03-19,42.939999,43.25,42.439999,42.849998,33.932224,174200
2012-03-20,42.59,42.860001,42.529999,42.599998,33.734249,107200
2012-03-21,42.57,42.669998,42.400002,42.400002,33.57589,138300
2012-03-22,42.25,42.400002,41.889999,42.25,33.457111,139300
2012-03-23,42.299999,42.450001,42.02,42.389999,33.567966,187300
2012-03-26,42.720001,43.209999,42.639999,42.990002,34.043098,155800
2012-03-27,43.110001,43.110001,42.84,42.860001,33.940166,106500
2012-03-28,42.889999,43,42.290001,42.59,33.726353,187400
2012-03-29,42.34,42.849998,42.220001,42.77,33.868889,140700
2012-03-30,43.009998,43.009998,42.639999,42.740002,33.845119,205800
2012-04-02,42.68,43.330002,42.560001,43.330002,34.312344,147600
2012-04-03,43.209999,43.52,42.919998,43.290001,34.28067,139200
2012-04-04,42.98,42.98,42.59,42.68,33.797615,105100
2012-04-05,42.450001,42.66,42.299999,42.52,33.670918,123000
2012-04-09,41.919998,42.279999,41.919998,42.009998,33.267052,141800
2012-04-10,42,42.049999,41.43,41.459999,32.831524,224500
2012-04-11,41.740002,41.740002,41.290001,41.32,32.72065,272400
2012-04-12,41.279999,41.68,40.880001,41.419998,32.799835,196600
2012-04-13,41.25,41.529999,41.119999,41.119999,32.562271,173200
2012-04-16,41.130001,41.529999,41.049999,41.32,32.72065,172800
2012-04-17,41.52,42.209999,41.490002,41.959999,33.227459,179800
2012-04-18,41.84,41.84,41.27,41.360001,32.752316,87800
2012-04-19,41.360001,41.41,40.759998,41.07,32.522682,105100
2012-04-20,41.459999,41.830002,41.380001,41.549999,32.902782,180400
2012-04-23,41.09,41.32,40.84,41.220001,32.641472,199800
2012-04-24,41.150002,41.540001,41.139999,41.5,32.86319,266600
2012-04-25,41.889999,41.900002,41.669998,41.799999,33.10075,282400
2012-04-26,41.779999,41.799999,41.599998,41.790001,33.092838,296200
2012-04-27,41.919998,42,41.619999,42,33.259148,290700
2012-04-30,41.84,42.139999,41.650002,42.02,33.274975,208000
2012-05-01,41.950001,42.900002,41.759998,42.290001,33.488785,250400
2012-05-02,42,42.049999,41.52,41.970001,33.235378,222000
2012-05-03,41.82,42.029999,41.560001,41.630001,32.966141,158900
2012-05-04,41.5,41.779999,41.43,41.450001,32.823601,230400
2012-05-07,41.610001,42.57,41.029999,42.380001,33.560059,287000
2012-05-08,42.259998,43.150002,42.130001,42.84,33.924324,436700
2012-05-09,42.509998,42.779999,42.259998,42.619999,33.750099,183000
2012-05-10,42.889999,43.419998,42.759998,43.169998,34.185638,235500
2012-05-11,42.610001,42.98,42.48,42.66,34.014217,203000
2012-05-14,42.310001,42.799999,42.049999,42.419998,34.058372,194300
2012-05-15,42.290001,42.759998,42.23,42.41,34.050339,123000
2012-05-16,42.5,42.619999,42.299999,42.360001,34.010201,93200
2012-05-17,42.349998,42.580002,42.049999,42.080002,33.785385,151200
2012-05-18,42.02,42.310001,41.68,41.740002,33.512405,155100
2012-05-21,41.77,41.939999,41.470001,41.880001,33.624828,159800
2012-05-22,41.91,42.080002,41.799999,41.939999,33.672993,218000
2012-05-23,41.66,41.990002,41.25,41.580002,33.383945,143000
2012-05-24,41.540001,41.990002,41.450001,41.91,33.648914,94000
2012-05-25,41.82,41.990002,41.650002,41.790001,33.552547,92700
2012-05-29,41.98,42.23,41.619999,42.009998,33.729187,114900
2012-05-30,41.75,42.040001,41.57,41.740002,33.512405,165300
2012-05-31,41.790001,42.220001,41.669998,41.98,33.705109,247000
2012-06-01,41.34,42.130001,39.459999,41.860001,33.608761,291100
2012-06-04,41.900002,42.099998,41.689999,41.959999,33.689049,136500
2012-06-05,41.759998,42.32,41.759998,42.27,33.937935,184100
2012-06-06,42.459999,43.200001,42.25,43.18,34.668564,201100
2012-06-07,43.650002,43.650002,42.970001,43.150002,34.644478,259200
2012-06-08,43.009998,44,42.91,43.849998,35.206493,325300
2012-06-11,44.130001,44.279999,43.669998,43.709999,35.094101,276400
2012-06-12,43.830002,43.990002,43.419998,43.880001,35.230579,206000
2012-06-13,43.84,44.400002,43.740002,44.009998,35.334949,197900
2012-06-14,44.130001,44.220001,43.889999,44.16,35.455391,113300
2012-06-15,44.389999,44.43,44.09,44.18,35.471458,272600
2012-06-18,44.060001,44.360001,43.779999,44.139999,35.439327,109300
2012-06-19,44.169998,44.639999,44.060001,44.400002,35.648087,181900
2012-06-20,44.279999,44.5,43.939999,44.040001,35.359039,80600
2012-06-21,43.93,44.150002,43.41,43.450001,34.885349,120800
2012-06-22,43.68,43.939999,43.549999,43.830002,35.190445,258000
2012-06-25,43.349998,43.639999,43.169998,43.389999,34.837166,139200
2012-06-26,43.470001,43.599998,43.189999,43.349998,34.805058,121300
2012-06-27,43.529999,44.189999,43.529999,44.119999,35.423283,145200
2012-06-28,43.84,44.040001,43.290001,43.599998,35.005772,294400
2012-06-29,44.09,44.169998,43.560001,43.650002,35.045929,388800
2012-07-02,43.580002,43.98,43.34,43.830002,35.190445,575000
2012-07-03,43.869999,43.98,43.48,43.77,35.142277,577000
2012-07-05,43.669998,44.139999,43.630001,43.98,35.310879,124400
2012-07-06,43.580002,44.18,43.470001,44.110001,35.415245,147700
2012-07-09,43.970001,44.560001,43.970001,44.529999,35.752468,276900
2012-07-10,44.66,45.130001,44.619999,44.830002,35.993324,160800
2012-07-11,44.779999,45.040001,44.689999,44.939999,36.08165,122900
2012-07-12,44.75,45.290001,44.580002,45.259998,36.33857,182800
2012-07-13,45.419998,45.869999,45.34,45.740002,36.723957,161100
2012-07-16,45.560001,45.860001,45.41,45.799999,36.772129,133100
2012-07-17,45.93,45.98,45.27,45.759998,36.740002,129300
2012-07-18,45.830002,46.009998,45.650002,45.939999,36.884529,136600
2012-07-19,45.990002,46.080002,45.310001,45.549999,36.571392,101100
2012-07-20,45.32,45.82,45.27,45.599998,36.611549,192700
2012-07-23,45.139999,45.52,45.049999,45.209999,36.298424,130100
2012-07-24,45.18,45.18,44.349998,44.450001,35.688236,133300
2012-07-25,44.310001,44.310001,43.599998,44.119999,35.423283,138200
2012-07-26,44.630001,44.700001,44.009998,44.310001,35.575832,139600
2012-07-27,44.5,45.299999,44.369999,45.060001,36.177982,122300
2012-07-30,44.91,45.389999,44.799999,44.98,36.11375,114400
2012-07-31,44.959999,45.25,44.450001,44.66,35.856834,168600
2012-08-01,44.82,45.619999,44.209999,44.23,35.511589,237700
2012-08-02,44.029999,44.049999,43.360001,43.599998,35.005772,184400
2012-08-03,43.959999,44.759998,43.959999,44.59,35.80064,169100
2012-08-06,44.700001,44.830002,44.34,44.450001,35.688236,104400
2012-08-07,44.77,44.990002,44.389999,44.509998,35.736397,118500
2012-08-08,44.09,44.369999,43.279999,44.040001,35.359039,448100
2012-08-09,43.869999,44.099998,43.290001,43.349998,34.805058,312600
2012-08-10,43.259998,43.849998,43.09,43.689999,35.078033,246800
