Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,65.169998,65.739998,64.830002,64.910004,62.52581,252100
2012-02-22,64.800003,65.519997,64.300003,65.290001,62.891834,211700
2012-02-23,65.309998,65.720001,64.739998,64.970001,62.583599,223400
2012-02-24,64.93,65.889999,64.809998,65.18,62.785873,231600
2012-02-27,64.68,65.010002,63.450001,63.98,61.629955,294900
2012-02-28,64.029999,64.68,63.669998,63.959999,61.649231,184600
2012-02-29,63.990002,65.099998,63.57,63.799999,61.495003,367100
2012-03-01,64.029999,64.860001,63.740002,64,61.68779,182000
2012-03-02,64.019997,64.160004,62.029999,62.32,60.068478,412900
2012-03-05,62.139999,62.709999,61.759998,62.610001,60.348007,298600
2012-03-06,61.84,61.860001,60.34,60.439999,58.25639,381300
2012-03-07,60.509998,61.099998,60.419998,60.619999,58.429905,317200
2012-03-08,61.23,63.099998,61.23,62.91,60.637173,272500
2012-03-09,63,64.290001,62.689999,63.619999,61.321514,393300
2012-03-12,63.869999,64.089996,62.450001,62.77,60.502209,150800
2012-03-13,62.790001,64.400002,62.599998,64.389999,62.063698,306600
2012-03-14,64.18,64.559998,63.98,64.32,61.996216,354500
2012-03-15,64.300003,64.919998,63.650002,64.790001,62.449253,222100
2012-03-16,65.139999,65.620003,64.279999,64.370003,62.044434,396400
2012-03-19,64.410004,65,63.919998,64.370003,62.044434,285000
2012-03-20,63.790001,63.880001,62.959999,63.25,60.964882,308800
2012-03-21,63.470001,63.5,61.799999,62.849998,60.57933,350200
2012-03-22,62.200001,63.240002,61.939999,63.060001,60.781738,310900
2012-03-23,63.27,64.519997,62.779999,64.43,62.102242,361700
2012-03-26,65.150002,65.989998,65.150002,65.540001,63.172165,282100
2012-03-27,65.419998,65.800003,64.93,65.150002,62.796242,316200
2012-03-28,65,65.589996,64.050003,64.629997,62.295025,348100
2012-03-29,64.050003,64.129997,62.84,63.48,61.186581,253700
2012-03-30,64.019997,64.019997,62.619999,62.66,60.396198,441100
2012-04-02,62.380001,64.050003,62.209999,63.98,61.668514,329400
2012-04-03,63.720001,64.019997,62.939999,63.529999,61.234753,257400
2012-04-04,62.540001,63.049999,62.09,62.330002,60.078117,202800
2012-04-05,61.970001,62.619999,61.759998,62.029999,59.788952,198300
2012-04-09,60.369999,60.790001,60.040001,60.5,58.314224,371100
2012-04-10,60.330002,60.580002,58.43,58.509998,56.396137,354200
2012-04-11,59.130001,59.950001,58.849998,59.439999,57.292526,392800
2012-04-12,59.450001,61.939999,59.400002,61.380001,59.16243,485100
2012-04-13,61.040001,61.240002,60.470001,60.490002,58.304604,201600
2012-04-16,61,61.57,60.259998,60.93,58.728699,241100
2012-04-17,61.529999,62.490002,61.34,61.860001,59.625103,357800
2012-04-18,61.490002,62.639999,61.470001,62.25,60.001003,198900
2012-04-19,62.209999,62.5,61.290001,61.439999,59.220268,274700
2012-04-20,62.060001,63.23,61.98,61.98,59.740761,260200
2012-04-23,61.389999,61.43,60.470001,61.040001,58.834709,338800
2012-04-24,61.23,62,60.790001,61.029999,58.825081,453500
2012-04-25,61.91,63.360001,61.91,63.32,61.032341,507200
2012-04-26,63.130001,63.59,62.700001,62.75,60.482948,226600
2012-04-27,63.119999,64.660004,62.720001,64.529999,62.19865,379600
2012-04-30,64.269997,64.269997,62.75,62.82,60.550419,219000
2012-05-01,62.720001,63.950001,62.419998,63.09,60.810658,256600
2012-05-02,62.380001,63.43,62.139999,63.41,61.119106,343800
2012-05-03,64,66.889999,64,65.989998,63.605881,925000
2012-05-04,65.400002,65.510002,63.740002,63.889999,61.581764,445900
2012-05-07,63.419998,64.029999,63.349998,63.709999,61.408268,224000
2012-05-08,62.900002,64.18,62.57,64.080002,61.764908,350700
2012-05-09,63.349998,63.950001,62.360001,62.529999,60.270897,353700
2012-05-10,63.119999,63.119999,62.09,62.580002,60.319092,249500
2012-05-11,62.27,63.970001,62,63.68,61.379353,336800
2012-05-14,63.040001,64.610001,62.869999,63.869999,61.562481,393200
2012-05-15,63.73,64.129997,62.720001,62.830002,60.560059,219000
2012-05-16,63.189999,63.619999,62.439999,62.529999,60.270897,197400
2012-05-17,62.529999,62.790001,60.5,60.5,58.314224,240300
2012-05-18,60.580002,61.310001,59.380001,59.610001,57.456394,224700
2012-05-21,59.630001,61.32,59.630001,61.220001,59.008224,257900
2012-05-22,61.349998,62.610001,61.349998,62.209999,59.962463,383700
2012-05-23,61.490002,62.400002,61.119999,61.830002,59.59618,418000
2012-05-24,62.02,62.669998,61.23,62.5,60.241974,265300
2012-05-25,62.689999,62.709999,61.43,61.689999,59.461243,203300
2012-05-29,62.389999,62.459999,61.5,62.110001,59.866074,187000
2012-05-30,61.509998,62.099998,60.540001,60.68,58.525425,220600
2012-05-31,60.57,60.869999,59.130001,59.84,57.715256,389700
2012-06-01,57.450001,59.049999,56.73,57.110001,55.082172,535500
