Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,21.27,21.33,20.780001,20.82,19.898785,2004200
2012-02-22,20.75,20.75,20.59,20.709999,19.79365,1543700
2012-02-23,20.700001,20.77,20.469999,20.629999,19.717192,1484800
2012-02-24,20.629999,20.780001,20.5,20.77,19.850996,1385000
2012-02-27,20.360001,20.91,20.360001,20.790001,19.870111,1116500
2012-02-28,20.77,20.950001,20.709999,20.879999,19.956129,813900
2012-02-29,20.879999,21.389999,20.879999,21.33,20.386221,3369900
2012-03-01,21.32,21.370001,21.030001,21.27,20.328875,1358700
2012-03-02,21.280001,21.450001,20.950001,21.26,20.319317,901700
2012-03-05,21.139999,21.139999,20.809999,20.940001,20.013472,774600
2012-03-06,20.629999,20.75,20.32,20.450001,19.545156,974700
2012-03-07,20.42,20.540001,20.309999,20.370001,19.468695,1311500
2012-03-08,20.59,20.73,20.540001,20.690001,19.774536,1409000
2012-03-09,20.84,21.07,20.75,20.77,19.850996,783000
2012-03-12,20.73,20.82,20.559999,20.629999,19.717192,391800
2012-03-13,20.700001,21.139999,20.700001,21.129999,20.195066,1020100
2012-03-14,21.139999,21.18,20.82,20.9,19.975245,1171200
2012-03-15,20.950001,21.18,20.870001,21.15,20.214182,938000
2012-03-16,21.209999,21.379999,20.98,21.02,20.089935,840100
2012-03-19,20.950001,21.209999,20.9,21.17,20.233297,618100
2012-03-20,20.98,21.190001,20.82,20.9,19.975245,676100
2012-03-21,21.01,21.059999,20.76,20.889999,19.965689,1281600
2012-03-22,20.67,20.959999,20.66,20.940001,20.013472,1083300
2012-03-23,20.950001,21.190001,20.809999,21.15,20.214182,694100
2012-03-26,21.360001,21.58,21.309999,21.58,20.625156,1140100
2012-03-27,21.629999,21.690001,21.299999,21.379999,20.434004,837900
2012-03-28,21.290001,21.33,20.809999,21.299999,20.357548,1643400
2012-03-29,21.110001,21.120001,20.77,20.940001,20.013472,2400600
2012-03-30,21.059999,21.17,20.879999,21.08,20.14728,1739000
2012-04-02,21.110001,21.73,21,21.73,20.768518,1681400
2012-04-03,21.639999,21.639999,21.190001,21.34,20.395777,1607700
2012-04-04,21,21.16,20.969999,21.129999,20.195066,1158700
2012-04-05,21.07,21.379999,21,21.200001,20.261971,783800
2012-04-09,20.860001,21.15,20.67,20.99,20.06126,1274700
2012-04-10,20.9,20.93,20.360001,20.41,19.506926,2138500
2012-04-11,20.629999,20.700001,20.299999,20.379999,19.478251,860900
2012-04-12,20.4,20.700001,20.389999,20.67,19.755419,512900
2012-04-13,20.530001,20.559999,20.01,20.08,19.191526,934400
2012-04-16,20.219999,20.459999,20.09,20.360001,19.459137,1041600
2012-04-17,20.66,20.709999,20.459999,20.5,19.592941,952500
2012-04-18,20.42,20.52,20.280001,20.360001,19.459137,546200
2012-04-19,20.35,20.43,20.16,20.190001,19.296659,717800
2012-04-20,20.299999,20.530001,20.15,20.299999,19.401791,705700
2012-04-23,20.07,20.299999,19.92,20.26,19.363562,1128100
2012-04-24,20.25,20.469999,20.190001,20.26,19.363562,1121800
2012-04-25,20.43,20.469999,20.040001,20.219999,19.325333,1217900
2012-04-26,20.200001,20.51,20.040001,20.459999,19.554708,1572600
2012-04-27,20.959999,21.83,20.629999,21.74,20.778078,4065100
2012-04-30,21.73,22.049999,21.66,21.969999,20.9979,3106200
2012-05-01,22.030001,22.469999,22,22.280001,21.294186,2379100
2012-05-02,22.030001,22.24,21.98,22.15,21.169937,3022000
2012-05-03,22.209999,22.209999,21.49,21.74,20.778078,1905500
2012-05-04,21.610001,21.67,21.360001,21.379999,20.434004,1238500
2012-05-07,21.299999,21.43,21.16,21.389999,20.443563,2691700
2012-05-08,21.190001,21.459999,21.07,21.41,20.462681,1104300
2012-05-09,21.040001,21.379999,20.870001,21.32,20.376657,1251000
2012-05-10,21.559999,21.629999,21.02,21.07,20.137722,1053800
2012-05-11,20.870001,21.049999,20.290001,20.5,19.592941,1689600
2012-05-14,20.209999,20.59,20.209999,20.34,19.440022,1680700
2012-05-15,20.280001,20.42,19.83,19.93,19.048162,1804000
2012-05-16,20.08,20.209999,19.67,19.77,18.895243,1409400
2012-05-17,19.85,19.950001,19.450001,19.559999,18.694536,1453100
2012-05-18,19.549999,19.870001,19.51,19.65,18.780554,1520100
2012-05-21,19.629999,20.26,19.469999,20.23,19.334888,1949500
2012-05-22,20.629999,20.629999,19.9,20.030001,19.14374,2629000
2012-05-23,20.18,20.27,19.559999,19.969999,19.086393,2568200
2012-05-24,20.07,20.74,19.780001,19.92,19.038607,1414600
2012-05-25,19.83,19.92,19.469999,19.58,18.833723,1764800
2012-05-29,19.85,20.030001,19.66,19.870001,19.112671,2247000
2012-05-30,19.6,19.6,19.200001,19.25,18.516302,1280700
2012-05-31,19.27,19.280001,18.860001,18.99,18.266209,1739200
2012-06-01,18.799999,19.02,18.690001,18.75,18.035357,1805200
2012-06-04,18.84,19.1,18.780001,18.98,18.256592,1607200
2012-06-05,18.940001,19.110001,18.790001,19.030001,18.304688,2263900
2012-06-06,19.139999,19.49,18.959999,19.370001,18.631725,2709300
2012-06-07,19.5,19.950001,19.280001,19.35,18.61249,1564600
2012-06-08,19.4,19.549999,19.129999,19.5,18.756775,1677800
2012-06-11,19.620001,19.75,18.84,18.879999,18.160402,1558100
2012-06-12,19.049999,19.379999,18.860001,19.379999,18.641346,1455000
2012-06-13,19.219999,19.73,19.209999,19.620001,18.8722,1290300
