Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.940001,17.049999,16.91,16.91,11.698524,14900
2012-02-22,17,17.059999,16.959999,17.02,11.774623,30600
2012-02-23,16.940001,16.969999,16.9,16.950001,11.726196,45700
2012-02-24,17.040001,17.1,17.01,17.040001,11.78846,27600
2012-02-27,16.91,16.950001,16.84,16.85,11.657015,27700
2012-02-28,16.98,17.200001,16.98,17.059999,11.802295,30500
2012-02-29,17.26,17.33,17.030001,17.18,11.885313,48200
2012-03-01,17.190001,17.719999,17.190001,17.52,12.120529,44000
2012-03-02,17.469999,17.549999,17.42,17.49,12.099773,22000
2012-03-05,17.26,17.299999,17.200001,17.25,11.933739,14800
2012-03-06,17,17.09,16.690001,16.74,11.580915,28300
2012-03-07,16.809999,16.870001,16.610001,16.84,11.650097,34800
2012-03-08,16.959999,17.120001,16.959999,17.120001,11.843804,30800
2012-03-09,17.27,17.27,17.110001,17.18,11.885313,7700
2012-03-12,17.02,17.02,16.92,16.950001,11.726196,5600
2012-03-13,17.139999,17.34,17.129999,17.34,11.996003,39000
2012-03-14,17.309999,17.4,17.25,17.32,11.982165,25100
2012-03-15,17.26,17.48,17.26,17.42,12.051347,14400
2012-03-16,17.379999,17.389999,17.280001,17.33,11.989084,6300
2012-03-19,17.35,17.35,17.209999,17.24,11.926822,32300
2012-03-20,17.040001,17.040001,16.860001,16.940001,11.719278,213200
2012-03-21,16.91,17.040001,16.91,17.040001,11.78846,44900
2012-03-22,17.049999,17.15,16.870001,16.950001,11.726196,271900
2012-03-23,16.98,17.17,16.92,17.139999,11.857639,424500
2012-03-26,17.059999,17.190001,17.059999,17.190001,11.89223,13300
2012-03-27,17.290001,17.450001,17.200001,17.26,11.940657,62600
2012-03-28,17.209999,17.209999,17.02,17.07,11.809213,18600
2012-03-29,16.860001,17,16.629999,16.690001,11.546326,83700
2012-03-30,16.76,16.83,16.700001,16.83,11.643179,21100
2012-04-02,16.690001,16.75,16.639999,16.719999,11.56708,123300
2012-04-03,16.690001,16.700001,16.23,16.299999,11.276518,43600
2012-04-04,16.030001,16.040001,15.9,15.99,11.062057,33700
2012-04-05,15.96,16.33,15.96,16.17,11.186584,50900
2012-04-09,16.01,16.08,15.97,16.040001,11.096649,16400
2012-04-10,16.030001,16.08,15.85,15.93,11.020549,28300
2012-04-11,16.280001,16.32,16.200001,16.24,11.23501,24100
2012-04-12,16.219999,16.34,16.219999,16.32,11.290355,83100
2012-04-13,16.41,16.450001,16.299999,16.35,11.31111,50900
2012-04-16,16.309999,16.360001,16.219999,16.299999,11.276518,73800
2012-04-17,16.190001,16.379999,16.120001,16.379999,11.331864,24500
2012-04-18,16.23,16.23,16.07,16.129999,11.15891,53000
2012-04-19,16.110001,16.190001,16.08,16.08,11.12432,27200
2012-04-20,15.99,16.129999,15.99,16.049999,11.103565,31800
2012-04-23,15.91,15.91,15.64,15.71,10.86835,57900
2012-04-24,15.76,15.84,15.73,15.8,10.930614,63600
2012-04-25,15.95,15.95,15.89,15.95,11.034385,17100
2012-04-26,15.83,16.09,15.76,16.09,11.131239,10200
2012-04-27,15.96,16,15.84,15.98,11.05514,24300
2012-04-30,15.9,16.120001,15.89,16.1,11.138157,78000
2012-05-01,16.030001,16.18,16.030001,16.120001,11.151994,10200
2012-05-02,15.83,16.389999,15.83,16.280001,11.262683,34000
2012-05-03,16.32,16.43,16.290001,16.290001,11.269601,15000
2012-05-04,16.309999,16.34,16.08,16.18,11.193501,14200
2012-05-07,15.99,16.209999,15.98,16.17,11.186584,8700
2012-05-08,16.07,16.09,15.97,16.040001,11.096649,6200
2012-05-09,15.84,15.95,15.77,15.95,11.034385,11000
2012-05-10,16.07,16.07,15.85,15.92,11.013632,331200
2012-05-11,15.72,15.84,15.71,15.8,10.930614,4300
2012-05-14,15.63,15.65,15.42,15.51,10.729988,23800
2012-05-15,16.01,16.09,15.78,15.96,11.041303,197000
2012-05-16,15.87,15.96,15.42,15.67,10.840678,202600
2012-05-17,15.86,15.92,15.7,15.73,10.882186,169800
2012-05-18,15.69,15.69,15.46,15.48,10.709234,111100
2012-05-21,15.61,15.82,15.61,15.74,10.889104,44500
2012-05-22,15.81,15.89,15.74,15.77,10.909859,46000
2012-05-23,15.6,15.63,15.4,15.58,10.778415,62000
2012-05-24,15.51,15.6,15.47,15.5,10.723069,52000
2012-05-25,15.4,15.4,15.14,15.21,10.522445,60100
2012-05-29,15.6,15.89,15.57,15.81,10.937531,63900
2012-05-30,15.61,15.7,15.59,15.6,10.792252,71800
2012-05-31,15.66,15.7,15.47,15.53,10.743825,40700
2012-06-01,15.1,15.24,15.05,15.08,10.432509,67400
2012-06-04,15.07,15.07,14.82,14.94,10.335655,53500
2012-06-05,14.96,15.12,14.87,14.9,10.307983,250500
2012-06-06,15,15.22,15,15.21,10.522445,82000
2012-06-07,15.32,15.44,14.88,15.21,10.522445,110900
2012-06-08,15,15.05,14.85,15,10.377165,83900
2012-06-11,15.18,15.18,14.96,14.99,10.370246,109000
2012-06-12,15.03,15.15,14.95,15.06,10.418674,115000
2012-06-13,15.01,15.13,14.87,15.1,10.446345,96800
2012-06-14,14.49,14.49,14.15,14.28,9.879061,103100
2012-06-15,14.33,14.49,14.28,14.48,10.017422,49100
2012-06-18,14.41,14.55,14.41,14.55,10.065849,7500
2012-06-19,14.57,14.72,14.55,14.66,10.141949,10800
2012-06-20,14.66,14.85,14.63,14.77,10.218049,43800
2012-06-21,14.63,14.66,14.25,14.3,9.892897,41300
2012-06-22,14.43,14.52,14.38,14.5,10.031259,90300
2012-06-25,14.34,14.35,14.23,14.35,9.927487,45000
2012-06-26,14.43,14.62,14.36,14.6,10.10044,81700
2012-06-27,14.73,14.77,14.69,14.73,10.190374,40100
2012-06-28,14.62,14.7,14.51,14.64,10.128113,37400
2012-06-29,14.93,15.07,14.9,15,10.377165,48000
2012-07-02,15.02,15.07,14.99,15.05,10.411756,24100
2012-07-03,15.16,15.25,15.16,15.22,10.529363,18900
2012-07-05,15.16,15.21,14.91,15.11,10.453264,34200
2012-07-06,14.96,15.04,14.85,14.99,10.370246,61500
2012-07-09,14.97,15.05,14.93,15.04,10.404837,53400
2012-07-10,14.95,15.09,14.84,14.87,10.287229,70800
2012-07-11,14.92,15.06,14.89,14.97,10.35641,44100
2012-07-12,14.7,14.87,14.7,14.83,10.259557,31200
2012-07-13,14.81,14.92,14.8,14.9,10.307983,6200
2012-07-16,14.77,14.77,14.63,14.67,10.148867,17700
2012-07-17,14.75,14.75,14.62,14.67,10.148867,40800
2012-07-18,14.56,14.71,14.53,14.69,10.162703,28400
2012-07-19,14.76,14.91,14.74,14.74,10.197294,35400
2012-07-20,14.71,14.77,14.66,14.69,10.162703,14100
2012-07-23,14.24,14.41,14.16,14.4,9.962078,45900
2012-07-24,14.39,14.45,14.26,14.34,9.920569,22300
2012-07-25,14.35,14.41,14.3,14.34,9.920569,26600
2012-07-26,14.47,14.5,14.4,14.5,10.031259,40200
2012-07-27,14.77,14.92,14.75,14.9,10.307983,30100
2012-07-30,14.76,14.91,14.76,14.86,10.280312,43200
2012-07-31,15.07,15.13,14.97,15.03,10.397919,45900
2012-08-01,15.07,15.21,15.07,15.21,10.522445,33600
2012-08-02,15.11,15.12,14.94,15.12,10.460182,21500
2012-08-03,15.32,15.5,15.32,15.38,10.640053,12500
2012-08-06,15.3,15.44,15.26,15.32,10.598544,30000
2012-08-07,15.27,15.44,15.27,15.4,10.653889,7100
2012-08-08,15.22,15.39,15.22,15.39,10.646972,54000
2012-08-09,15.35,15.49,15.35,15.49,10.716152,38200
2012-08-10,15.43,15.5,15.33,15.5,10.723069,14000
2012-08-13,15.37,15.46,15.31,15.45,10.688479,40800
2012-08-14,15.54,15.65,15.52,15.53,10.743825,31300
2012-08-15,15.52,15.57,15.52,15.57,10.771497,3500
2012-08-16,15.6,15.62,15.57,15.62,10.806087,18700
2012-08-17,15.58,15.61,15.55,15.61,10.799169,20900
2012-08-20,15.54,15.64,15.52,15.63,10.813005,12900
2012-08-21,15.74,15.76,15.59,15.64,10.819924,18200
2012-08-22,15.57,15.64,15.52,15.63,10.813005,18300
2012-08-23,15.64,15.65,15.51,15.58,10.778415,16800
2012-08-24,15.52,15.75,15.52,15.72,10.875268,16200
2012-08-27,15.68,15.68,15.56,15.6,10.792252,17300
2012-08-28,15.44,15.56,15.43,15.53,10.743825,22400
2012-08-29,15.52,15.57,15.39,15.47,10.702315,17400
2012-08-30,15.44,15.44,15.39,15.41,10.660808,18600
2012-08-31,15.55,15.6,15.55,15.58,10.778415,27100
2012-09-04,15.64,15.64,15.46,15.58,10.778415,21600
2012-09-05,15.39,15.49,15.22,15.47,10.702315,25500
2012-09-06,15.64,15.64,15.5,15.6,10.792252,19300
2012-09-07,15.65,15.8,15.65,15.7,10.861432,14900
2012-09-10,15.71,15.82,15.71,15.73,10.882186,4400
2012-09-11,15.87,15.95,15.84,15.84,10.958285,9900
2012-09-12,15.99,16,15.94,15.96,11.041303,23600
2012-09-13,15.98,16.15,15.95,16.15,11.172748,46000
2012-09-14,16.309999,16.440001,16.309999,16.35,11.31111,13100
