Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,28.879999,29.17,28.110001,28.370001,16.879827,280900
2012-02-22,28.32,28.540001,27.879999,28.219999,16.790575,262100
2012-02-23,28.35,28.65,27.200001,27.48,16.350283,466500
2012-02-24,27.440001,27.450001,25.57,25.68,15.279304,1348200
2012-02-27,25.49,26.5,24.25,26.379999,15.695795,1014900
2012-02-28,26.370001,26.84,26.110001,26.450001,15.737444,379600
2012-02-29,26.549999,27.049999,26.549999,26.860001,15.981391,279100
2012-03-01,26.99,27.190001,25.959999,26,15.469699,306700
2012-03-02,25.889999,26.4,25.799999,25.91,15.416153,234400
2012-03-05,25.74,25.85,25.09,25.35,15.082958,282300
2012-03-06,25.09,25.25,24.67,24.959999,14.850909,361100
2012-03-07,24.889999,25.200001,24.34,24.530001,14.595067,459300
2012-03-08,24.719999,25.040001,24.530001,24.639999,14.660518,288800
2012-03-09,25,25.209999,24.620001,24.870001,14.797365,554900
2012-03-12,25.15,25.860001,25,25.51,15.178154,355900
2012-03-13,25.799999,25.99,25.5,25.82,15.362598,407100
2012-03-14,25.85,25.99,25.200001,25.25,15.023458,187200
2012-03-15,25.17,25.5,25,25.219999,15.005609,326600
2012-03-16,25.370001,25.610001,24.91,25.190001,14.987756,300100
2012-03-19,25.24,25.49,25,25.129999,14.952057,253400
2012-03-20,25.15,25.35,25.1,25.23,15.011558,221900
2012-03-21,25.4,26.17,25.26,25.969999,15.451848,265800
2012-03-22,25.969999,26.790001,25.82,26.65,15.856439,216400
2012-03-23,26.65,27.950001,26.639999,27.75,16.510927,375500
2012-03-26,28,28.27,27.110001,27.32,16.255083,379900
2012-03-27,27.27,27.41,26.57,26.629999,15.844542,267600
2012-03-28,26.629999,26.77,25.700001,26.07,15.511348,209200
2012-03-29,25.98,26.790001,25.950001,26.059999,15.505397,199200
2012-03-30,26.15,26.43,25.91,26.299999,15.648197,159800
2012-04-02,26.5,26.65,26.209999,26.32,15.660094,217900
2012-04-03,26.59,27.190001,26.43,26.67,15.868342,342700
