Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,21.129999,21.219999,21.030001,21.15,21.15,25500
2012-02-22,21.200001,21.32,21,21.17,21.17,40800
2012-02-23,21.17,21.33,21.049999,21.059999,21.059999,70300
2012-02-24,21.25,21.25,21.08,21.24,21.24,49100
2012-02-27,21.24,21.24,20.709999,20.860001,20.860001,81500
2012-02-28,20.950001,20.99,20.780001,20.9,20.9,31600
2012-02-29,20.98,21.1,20.84,20.9,20.9,30800
2012-03-01,21.01,21.190001,20.959999,21.15,21.15,27000
2012-03-02,21.049999,21.4,21.049999,21.4,21.4,31700
2012-03-05,21.450001,21.450001,21.07,21.120001,21.120001,19300
2012-03-06,21,21.27,20.959999,21.25,21.25,22000
2012-03-07,21.35,21.360001,21.1,21.110001,21.110001,22200
2012-03-08,21.26,21.290001,21.07,21.09,21.09,29600
2012-03-09,21.450001,21.450001,20.809999,20.82,20.82,38300
2012-03-12,20.799999,20.85,20.16,20.26,20.26,80400
2012-03-13,20.389999,20.42,20.129999,20.33,20.33,31600
2012-03-14,20.33,20.379999,19.799999,19.799999,19.799999,49000
2012-03-15,19.959999,19.959999,19.690001,19.879999,19.879999,56500
2012-03-16,19.93,19.93,19.58,19.65,19.65,35400
2012-03-19,19.68,19.82,19.559999,19.67,19.67,28600
2012-03-20,19.77,19.77,19.43,19.43,19.43,38100
2012-03-21,19.48,19.549999,19.42,19.49,19.49,22900
2012-03-22,19.52,19.65,19.48,19.65,19.65,29100
2012-03-23,19.700001,19.700001,19.639999,19.66,19.66,30800
2012-03-26,19.700001,19.700001,19.52,19.67,19.67,23800
2012-03-27,19.700001,19.98,19.6,19.969999,19.969999,29600
2012-03-28,20.02,20.190001,19.969999,20.190001,20.190001,70100
2012-03-29,20.26,20.35,20.200001,20.32,20.32,29200
2012-03-30,20.450001,20.469999,20.15,20.209999,20.209999,43400
2012-04-02,20.360001,20.450001,20.110001,20.33,20.33,41900
2012-04-03,20.18,20.299999,19.940001,20.08,20.08,48900
2012-04-04,20.08,20.15,19.9,19.99,19.99,34600
2012-04-05,20.08,20.26,19.98,20,20,37100
2012-04-09,20.040001,20.07,19.9,19.959999,19.959999,27100
2012-04-10,20,20.18,19.83,19.83,19.83,28800
2012-04-11,19.91,20.35,19.85,20.15,20.15,36400
2012-04-12,20.190001,20.27,19.92,19.959999,19.959999,21000
2012-04-13,19.950001,20.16,19.91,20.08,20.08,20400
2012-04-16,20.200001,20.24,20.1,20.15,20.15,18100
2012-04-17,20.049999,20.18,20.049999,20.07,20.07,24000
2012-04-18,20.17,20.469999,20.129999,20.379999,20.379999,37900
2012-04-19,20.49,20.49,20.15,20.32,20.32,29700
2012-04-20,20.42,20.42,20.23,20.24,20.24,18300
2012-04-23,20.27,20.5,20.24,20.5,20.5,30900
2012-04-24,20.540001,20.67,20.5,20.549999,20.549999,16700
2012-04-25,20.629999,20.75,20.58,20.74,20.74,16700
2012-04-26,20.780001,20.84,20.450001,20.5,20.5,35200
2012-04-27,20.5,20.530001,20.309999,20.379999,20.379999,18800
2012-04-30,20.33,20.549999,20.219999,20.549999,20.549999,25000
2012-05-01,20.709999,20.73,20.440001,20.58,20.58,34900
2012-05-02,20.690001,20.690001,20.49,20.67,20.67,16000
2012-05-03,20.57,20.67,20.43,20.48,20.48,18000
2012-05-04,20.5,20.540001,20.27,20.27,20.27,18700
2012-05-07,20.370001,20.41,20.209999,20.26,20.26,18000
2012-05-08,20.35,20.35,20.200001,20.200001,20.200001,9900
2012-05-09,20.200001,20.27,20.17,20.27,20.27,16000
2012-05-10,20.33,20.51,20.33,20.48,20.48,26800
2012-05-11,20.32,20.549999,20.32,20.530001,20.530001,16000
2012-05-14,20.530001,20.73,20.530001,20.700001,20.700001,34000
2012-05-15,20.67,20.75,20.65,20.709999,20.709999,21000
2012-05-16,20.74,21.16,20.719999,21.129999,21.129999,46500
2012-05-17,21.129999,21.129999,20.969999,21.08,21.08,46000
2012-05-18,21.16,21.4,21.16,21.35,21.35,27700
2012-05-21,21.4,21.48,21.25,21.48,21.48,28200
2012-05-22,21.49,21.49,21.24,21.370001,21.370001,46000
2012-05-23,21.370001,21.370001,21.1,21.23,21.23,30000
2012-05-24,21.35,21.35,21.040001,21.190001,21.190001,20400
2012-05-25,21.299999,21.389999,21.200001,21.25,21.25,15600
2012-05-29,21.360001,21.360001,21.07,21.110001,21.110001,15700
2012-05-30,21.23,21.290001,21.030001,21.219999,21.219999,18900
2012-05-31,21.18,21.18,20.969999,20.99,20.99,26600
2012-06-01,21.01,21.02,20.92,21,21,18700
2012-06-04,21,21,20.68,20.76,20.76,23600
2012-06-05,20.83,21.01,20.629999,21.01,21.01,23600
2012-06-06,21.02,21.15,20.889999,21.15,21.15,21100
2012-06-07,21.209999,21.35,21.09,21.16,21.16,15800
2012-06-08,21.27,21.32,21.02,21.120001,21.120001,16700
2012-06-11,21,21.15,20.690001,20.84,20.84,17100
2012-06-12,20.940001,21.049999,20.83,21.049999,21.049999,13200
2012-06-13,20.969999,21.120001,20.889999,20.889999,20.889999,13100
2012-06-14,21.030001,21.030001,20.75,20.9,20.9,20400
2012-06-15,20.9,21.129999,20.82,20.969999,20.969999,27300
2012-06-18,20.889999,20.969999,20.700001,20.74,20.74,24800
2012-06-19,20.879999,20.93,20.620001,20.67,20.67,14900
2012-06-20,20.790001,20.790001,20.530001,20.76,20.76,16200
2012-06-21,20.799999,21.200001,20.790001,21.200001,21.200001,25500
2012-06-22,21.18,21.190001,20.99,21,21,20600
2012-06-25,21.01,21.120001,20.950001,21.07,21.07,20400
2012-06-26,20.98,21.200001,20.98,21.16,21.16,30400
2012-06-27,21.24,21.32,21.209999,21.26,21.26,25500
2012-06-28,21.34,21.5,21.290001,21.48,21.48,15700
2012-06-29,21.709999,21.709999,21.49,21.700001,21.700001,45300
2012-07-02,21.780001,22.02,21.780001,21.959999,21.959999,27300
2012-07-03,22.040001,22.139999,21.98,22.040001,22.040001,13400
2012-07-05,22.15,22.18,22.040001,22.08,22.08,18600
2012-07-06,22.17,22.5,22.120001,22.33,22.33,14600
2012-07-09,22.33,22.67,22.23,22.309999,22.309999,27600
2012-07-10,22.200001,22.370001,22,22.07,22.07,46300
2012-07-11,22.07,22.24,21.799999,21.99,21.99,38400
2012-07-12,21.969999,21.969999,21.639999,21.68,21.68,28300
2012-07-13,21.790001,21.809999,21.52,21.6,21.6,30800
2012-07-16,21.719999,21.75,21.51,21.540001,21.540001,20600
2012-07-17,21.690001,21.700001,21.5,21.620001,21.620001,41500
2012-07-18,21.709999,21.860001,21.49,21.690001,21.690001,42900
2012-07-19,21.68,21.799999,21.6,21.719999,21.719999,21000
2012-07-20,21.790001,21.91,21.4,21.43,21.43,89900
2012-07-23,21.629999,21.65,21.18,21.32,21.32,40500
2012-07-24,21.32,21.43,21.049999,21.24,21.24,43900
2012-07-25,21.290001,21.58,21.25,21.5,21.5,33900
2012-07-26,21.360001,21.74,21.360001,21.58,21.58,37200
2012-07-27,21.629999,21.799999,21.49,21.700001,21.700001,138500
2012-07-30,21.719999,21.77,21.59,21.73,21.73,69300
2012-07-31,21.75,21.85,21.6,21.85,21.85,55900
2012-08-01,21.93,22.049999,21.83,21.85,21.85,27500
2012-08-02,21.969999,21.969999,21.67,21.75,21.75,25800
2012-08-03,21.9,22.450001,21.530001,21.75,21.75,28300
2012-08-06,21.9,21.9,21.59,21.67,21.67,17300
2012-08-07,21.85,22.049999,21.780001,21.950001,21.950001,26800
2012-08-08,22.07,22.15,22,22.15,22.15,15900
2012-08-09,22.190001,22.190001,21.959999,22.040001,22.040001,22200
2012-08-10,22.07,22.1,21.360001,21.5,21.5,52800
2012-08-13,21.32,21.4,21.25,21.4,21.4,19400
2012-08-14,21.48,21.530001,21.290001,21.530001,21.530001,14300
