Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,683790336,693942656,674115776,690956672,685923200,0
2012-02-22,694181568,704572800,692031680,692987136,687938944,0
2012-02-23,692509440,693584384,674951808,688567936,683551744,0
2012-02-24,690359488,707797632,685223616,703497856,698372992,0
2012-02-27,693584384,695734272,686537472,692628864,687583296,0
2012-02-28,694539904,699317440,673518528,692748288,687701888,0
2012-02-29,688209600,688209600,676504512,684984704,679994688,0
2012-03-01,683432000,702781184,683432000,692628864,687583296,0
2012-03-02,689762304,698242496,685820800,690001152,684974656,0
2012-03-05,687851264,687851264,650227904,662052352,657229440,0
2012-03-06,646405824,651900032,612126720,619770816,615256896,0
2012-03-07,618695872,635775744,615351552,629326016,624742336,0
2012-03-08,632550848,649391808,625742784,645091968,640393536,0
2012-03-09,645211392,645211392,627056640,640792192,636125120,0
2012-03-12,639000576,647839104,629684288,629684288,625097920,0
2012-03-13,631953664,653691648,628131584,649033472,644306368,0
2012-03-14,644614208,661932928,639120000,648197376,643476480,0
2012-03-15,647480768,647958528,628489920,628489920,623912512,0
2012-03-16,634700736,674474048,630042624,672204736,667308800,0
2012-03-19,666949376,680804352,666949376,678773888,673830336,0
2012-03-20,666232768,674832384,659902464,668860416,663988992,0
2012-03-21,673876864,675668480,665277248,665516096,660668928,0
2012-03-22,663246784,668382656,660738560,667188288,662328960,0
2012-03-23,670413120,678534976,670413120,673638016,668731648,0
2012-03-26,679251648,692748288,646405824,657274816,652487360,0
2012-03-27,655363776,662410688,653930496,656558144,651776192,0
2012-03-28,653930496,653930496,645211392,648555712,643832000,0
2012-03-29,644733696,646764160,632312000,642105984,637429312,0
2012-03-30,647719680,647719680,631236992,633625792,629010880,0
2012-04-02,630281472,638283968,628251008,632789760,628180928,0
2012-04-03,627892736,633984128,604363136,605318656,600909952,0
2012-04-04,597196800,604363136,585252864,604363136,599961472,0
2012-04-05,602093824,611887872,599107840,608304640,603874176,0
2012-04-09,596002432,603168768,582505728,591822016,587511424,0
2012-04-10,588000000,588000000,557304064,562678848,558580736,0
2012-04-11,567814720,594091392,564231552,586805568,582531584,0
2012-04-12,589194368,619054208,589194368,614873856,610395392,0
2012-04-13,607826880,617620928,597674560,613321088,608854080,0
2012-04-16,616307072,619173632,609737920,618457024,613952640,0
2012-04-17,616784832,616784832,606274176,611887872,607431360,0
