Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.1,22.43,22.01,22.200001,8.80554,158200
2012-02-22,22.049999,22.049999,21.610001,21.66,8.591352,97400
2012-02-23,21.57,21.969999,21.57,21.799999,8.646883,180800
2012-02-24,21.950001,21.950001,21.75,21.780001,8.63895,131400
2012-02-27,21.75,21.809999,21.65,21.66,8.591352,62600
2012-02-28,21.790001,22.139999,21.610001,21.65,8.587385,72300
2012-02-29,21.77,21.77,21.6,21.700001,8.607221,49800
2012-03-01,21.75,22,21.65,21.969999,8.714314,44000
2012-03-02,22,22.25,22,22.110001,8.76984,108100
2012-03-05,22.17,22.17,21.58,21.84,8.66275,97000
2012-03-06,21.58,21.85,21.41,21.6,8.567554,60000
2012-03-07,21.58,21.91,21.58,21.83,8.658785,28400
2012-03-08,21.9,21.950001,21.74,21.82,8.654815,30800
2012-03-09,21.85,22.129999,21.85,22.07,8.753977,37100
2012-03-12,21.940001,22,21.58,21.76,8.631019,79800
2012-03-13,21.91,21.98,21.73,21.84,8.66275,68100
2012-03-14,21.99,22.15,21.82,21.870001,8.674646,35800
2012-03-15,21.84,21.950001,21.75,21.83,8.658785,40800
2012-03-16,21.93,21.93,21.440001,21.549999,8.547721,58500
2012-03-19,21.6,21.66,21.26,21.34,8.464426,87900
2012-03-20,21.25,21.85,21.1,21.77,8.634983,89400
2012-03-21,21.83,21.879999,21.5,21.709999,8.611185,56500
2012-03-22,21.57,21.610001,21.1,21.299999,8.44856,73400
2012-03-23,21.219999,21.51,21.07,21.440001,8.504089,61500
2012-03-26,21.700001,22.120001,21.68,21.959999,8.710346,58700
2012-03-27,22.08,22.15,21.879999,22.129999,8.777778,66900
2012-03-28,22.15,22.15,21.98,22.139999,8.781743,56300
2012-03-29,22.01,22.15,21.870001,22.030001,8.738111,46200
2012-03-30,22.030001,22.15,21.950001,22.110001,8.76984,48400
2012-04-02,22.030001,22.219999,22,22.200001,8.80554,49200
2012-04-03,22.25,22.35,22.08,22.129999,8.777778,68100
2012-04-04,22.190001,22.25,22,22.030001,8.738111,25000
2012-04-05,22.34,22.34,22,22.110001,8.76984,26700
2012-04-09,22,22.120001,21.950001,21.98,8.718278,60800
2012-04-10,21.92,22.02,21.5,21.559999,8.551688,40300
2012-04-11,21.74,21.790001,21.049999,21.120001,8.377165,83400
