Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.5,16.639999,16.309999,16.639999,8.998464,70000
2012-02-22,16.639999,16.639999,16.450001,16.6,8.976832,24300
2012-02-23,16.52,16.6,16.469999,16.6,8.976832,110300
2012-02-24,16.620001,16.620001,16.389999,16.43,8.8849,54700
2012-02-27,16.370001,16.549999,16.129999,16.16,8.738894,111100
2012-02-28,16.16,16.48,16.16,16.379999,8.857861,79400
2012-02-29,16.379999,16.459999,16.17,16.25,8.78756,22300
2012-03-01,16.24,16.4,16.16,16.370001,8.852452,42000
2012-03-02,16.43,16.43,16.290001,16.379999,8.857861,27100
2012-03-05,16.459999,16.48,16.370001,16.41,8.874083,21000
2012-03-06,16.4,16.43,16.299999,16.309999,8.820006,24600
2012-03-07,16.309999,16.549999,16.309999,16.540001,8.944386,40300
2012-03-08,16.57,16.58,16.32,16.469999,8.906534,32900
2012-03-09,16.5,16.52,16.450001,16.49,8.917346,16000
2012-03-12,16.549999,16.559999,16.360001,16.459999,8.901126,33900
2012-03-13,16.49,16.549999,16.440001,16.49,8.917346,19300
2012-03-14,16.469999,16.469999,16.27,16.27,8.798376,28600
2012-03-15,16.27,16.299999,16.15,16.190001,8.755116,30600
2012-03-16,16.120001,16.309999,16,16.09,8.701037,85200
2012-03-19,16.1,16.1,15.51,15.52,8.392797,120900
2012-03-20,15.55,15.92,15.55,15.92,8.609107,72400
2012-03-21,15.81,15.97,15.5,15.52,8.451193,88200
2012-03-22,15.48,15.72,15.43,15.51,8.445745,45500
2012-03-23,15.51,15.6,15.47,15.5,8.440301,58300
2012-03-26,15.64,15.68,15.46,15.46,8.418516,62800
2012-03-27,15.47,15.74,15.47,15.61,8.500199,58100
2012-03-28,15.49,15.7,15.49,15.55,8.467528,33200
2012-03-29,15.56,15.73,15.56,15.66,8.527426,21300
2012-03-30,15.66,15.9,15.66,15.9,8.658116,35900
2012-04-02,15.88,15.91,15.61,15.72,8.560095,84100
2012-04-03,15.73,15.82,15.59,15.65,8.521981,105100
2012-04-04,15.62,15.73,15.61,15.71,8.554657,36400
2012-04-05,15.65,15.69,15.4,15.47,8.423965,54300
2012-04-09,15.43,15.54,15.28,15.29,8.325949,85300
2012-04-10,15.29,15.35,15.22,15.32,8.342287,31700
