Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,17.83,18.32,17.74,18,14.870508,490600
2012-02-22,17.969999,18.200001,17.690001,17.77,14.680497,293100
2012-02-23,17.75,17.969999,17.379999,17.9,14.787897,294100
2012-02-24,17.959999,18.02,17.65,17.75,14.663975,232700
2012-02-27,17.620001,17.879999,17.4,17.629999,14.564838,363200
2012-02-28,17.620001,17.790001,17.309999,17.370001,14.35004,424600
2012-02-29,17.440001,17.76,16.84,16.870001,13.936971,694900
2012-03-01,17,17.5,17,17.059999,14.093936,596100
2012-03-02,17.040001,17.299999,16.790001,16.92,13.978281,700400
2012-03-05,16.969999,17.200001,16.74,16.85,13.920451,672200
2012-03-06,16.530001,16.91,16.5,16.85,13.920451,1012700
2012-03-07,16.959999,17.280001,16.76,17.15,14.168293,670500
2012-03-08,17.41,17.58,17.15,17.440001,14.407873,476000
2012-03-09,17.42,18.209999,17.389999,17.709999,14.630926,611300
2012-03-12,17.620001,17.85,17.280001,17.34,14.32526,567000
2012-03-13,17.34,18.049999,17.34,17.99,14.965819,561600
2012-03-14,17.93,17.969999,17.48,17.639999,14.674652,826900
2012-03-15,17.700001,17.98,17.4,17.809999,14.816073,538300
2012-03-16,17.860001,18.24,17.709999,18,14.974135,1586300
2012-03-19,18,18.82,18,18.620001,15.489916,721200
2012-03-20,18.41,18.459999,18,18.389999,15.298576,455000
2012-03-21,18.389999,18.43,18.02,18.129999,15.082277,368900
2012-03-22,17.85,17.860001,17.49,17.690001,14.716252,466700
2012-03-23,17.690001,18.049999,17.49,17.959999,14.940857,374200
2012-03-26,18.219999,18.309999,17.91,18.280001,15.207067,511500
2012-03-27,18.42,18.790001,18.360001,18.459999,15.356805,685000
2012-03-28,18.5,18.5,18.02,18.34,15.256983,637500
2012-03-29,18.15,18.879999,17.799999,18.809999,15.647975,882500
2012-03-30,19.15,19.27,18.9,19.18,15.95577,999700
2012-04-02,19.23,20,19.030001,19.75,16.429962,1359700
2012-04-03,19.75,19.75,19,19.25,16.014002,832500
2012-04-04,18.91,19.07,18.690001,18.889999,15.71452,772500
2012-04-05,18.73,19.030001,18.719999,18.75,15.598057,800300
2012-04-09,18.290001,18.5,18.129999,18.379999,15.290262,689500
2012-04-10,18.280001,18.280001,17.700001,17.75,14.766164,968200
2012-04-11,18.059999,18.280001,17.860001,17.969999,14.94918,497900
2012-04-12,17.98,18.74,17.98,18.67,15.531507,540700
2012-04-13,18.6,18.6,18.07,18.139999,15.090604,583200
2012-04-16,18.360001,18.629999,18.049999,18.379999,15.290262,472100
2012-04-17,18.559999,19.02,18.5,18.709999,15.564776,400800
2012-04-18,18.559999,18.68,18.290001,18.290001,15.215384,563500
2012-04-19,18.32,18.370001,17.77,17.959999,14.940857,700200
2012-04-20,18.190001,18.389999,17.879999,17.92,14.90758,483900
2012-04-23,17.5,17.719999,17.16,17.629999,14.666338,612900
2012-04-24,17.68,17.959999,17.5,17.74,14.757843,338600
2012-04-25,18.09,18.280001,17.799999,17.99,14.965819,413300
2012-04-26,17.879999,18.040001,17.700001,17.98,14.957494,437300
2012-04-27,18.1,18.1,17.719999,17.99,14.965819,388900
2012-04-30,17.9,18,17.6,17.84,14.841028,520900
2012-05-01,17.879999,18.450001,17.809999,17.879999,14.874309,876400
2012-05-02,17.709999,17.879999,17.41,17.84,14.841028,554900
2012-05-03,17.82,18,17.559999,17.74,14.757843,661600
2012-05-04,17.6,17.77,17.280001,17.360001,14.441722,737900
2012-05-07,17.27,17.6,17.049999,17.51,14.566509,686000
2012-05-08,17.299999,17.65,17.049999,17.6,14.641375,700200
2012-05-09,17.24,17.950001,17.16,17.65,14.682971,706500
2012-05-10,17.879999,18.08,17.51,17.83,14.832713,658000
2012-05-11,17.59,18.040001,17.5,17.709999,14.732882,619700
2012-05-14,17.43,17.700001,17.35,17.58,14.624744,730600
2012-05-15,17.5,17.65,17.190001,17.26,14.358533,699600
2012-05-16,17.32,17.610001,17.049999,17.110001,14.233749,667000
2012-05-17,17.15,17.299999,16.629999,16.66,13.859395,616200
